split,policy,risk_n_days,risk_mean,risk_std,risk_sharpe,risk_sortino,risk_max_dd,risk_total,diag_n,diag_win,diag_E,diag_n_long,diag_E_long,diag_n_short,diag_E_short,diag_long_share,d_sharpe_vs_base,d_sharpe_lo,d_sharpe_hi,d_sortino_vs_base,d_sortino_lo,d_sortino_hi,d_sharpe_vs_wide,d_sharpe_vs_wide_lo,d_sharpe_vs_wide_hi,d_sortino_vs_wide,d_sortino_vs_wide_lo,d_sortino_vs_wide_hi
IS,uncond_base,2595,-8.181454720616596,15.753925244658053,-8.244076654163448,-10.202504242080751,-21230.60000000007,-21230.875000000065,9552,0.2716708542713568,-2.222662793132335,4848,-2.024847875412548,4704,-2.42653326955783,0.507537688442211,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
IS,uncond_wide,2595,-4.572839595375696,22.92663751309324,-3.1662548896262432,-4.554934810392121,-11897.237499999932,-11866.51874999993,9552,0.3832705192629815,-1.2423072393216008,4848,-0.9940748762376184,4704,-1.498138552295909,0.507537688442211,5.077821764537205,4.520998102127915,5.635913606259288,5.647569431688632,4.991811985855854,6.372486929370308,,,,,,
IS,regime_width,2595,-7.013578998073213,17.770005004100884,-6.265452089110262,-8.043484753914386,-18199.96249999998,-18200.23749999999,9552,0.3208752093802345,-1.9053849979061963,4848,-1.6723494224422466,4704,-2.145554315476186,0.507537688442211,1.9786245650531864,1.6236248939167834,2.347421281001553,2.1590194881663667,1.7719520688181043,2.5823840273288026,-3.099197199484019,-3.5626551775573567,-2.642395470378466,-3.4885499435222656,-4.056194749950008,-2.96272494521773
IS,high_only_base,2379,-4.523024379991622,11.269682951279789,-6.3711451697836745,-8.69027965378727,-10769.50000000007,-10760.275000000069,4933,0.2475167241029799,-2.1812842083924724,2482,-2.0294772360999294,2451,-2.3350112199102577,0.5031421041962295,1.9061467550072448,1.0311203128774076,2.7149837985994187,1.743943598058273,1.027694167020179,2.4669581920632035,,,,,,
Validation,uncond_base,775,-16.75666129032249,36.512247303990605,-7.2853294745991475,-10.90870662925633,-13187.624999999938,-12986.412499999931,3062,0.2929457870672763,-4.241153657740017,1521,-3.6505095332018107,1541,-4.824132057105761,0.4967341606792946,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
Validation,uncond_wide,775,-6.853879032258154,50.26102895381045,-2.1647379466273757,-3.917437176588888,-5727.96250000006,-5311.7562500000695,3062,0.3984323971260614,-1.7347342423253003,1521,-0.7937869822485305,1541,-2.6634693380921832,0.4967341606792946,5.120591527971772,4.17542475001999,6.09761020368541,6.991269452667441,5.669328156104566,8.454350931104896,,,,,,
Validation,regime_width,775,-12.34384677419351,39.5165908732789,-4.958739820112377,-7.73951599982359,-9807.274999999976,-9566.48124999997,3062,0.3435662965382103,-3.124259062704105,1521,-2.765877712031553,1541,-3.477989130434768,0.4967341606792946,2.326589654486771,1.665991124285348,3.038924135560453,3.169190629432739,2.339152701119832,4.082438559319266,-2.794001873485001,-3.532427592255149,-2.117723551917308,-3.822078823234702,-4.931740771324465,-2.773833792905379
Validation,high_only_base,756,-8.812136243386188,20.562112852692007,-6.803207779155756,-10.446695934409465,-6643.474999999957,-6661.9749999999585,1565,0.2613418530351438,-4.2568530351437435,761,-3.553153745072241,804,-4.922916666666646,0.4862619808306709,0.5138304535463138,-0.7171418362454481,1.7130779824252362,0.611058606023791,-1.0455839331806955,2.2332791138445462,,,,,,
