session,T_offset,horizon,universe,split,n,win,E
LONDON,15,90,LOW_trap,Validation,100,0.44,-3.48
LONDON,15,90,LOW_trap,OOS,126,0.5317460317460317,-1.5119047619047619
LONDON,15,90,LOW_trap,Y2025,74,0.5405405405405406,2.300675675675676
LONDON,15,90,LOW_trap,Y2026,52,0.5192307692307693,-6.9375
LONDON,15,90,HIGH_long,IS,369,0.5392953929539296,0.048102981029810296
LONDON,15,90,HIGH_long,Validation,147,0.46938775510204084,-1.4642857142857142
LONDON,15,90,HIGH_long,OOS,37,0.5405405405405406,-3.2364864864864864
LONDON,15,90,HIGH_long,Y2025,29,0.5172413793103449,-9.706896551724139
LONDON,15,90,HIGH_long,Y2026,8,0.625,20.21875
LONDON,15,120,ALL_trap,IS,1240,0.5040322580645161,-0.32883064516129035
LONDON,15,120,ALL_trap,Validation,403,0.46153846153846156,-2.5893300248138957
LONDON,15,120,ALL_trap,OOS,222,0.5135135135135135,1.4189189189189189
LONDON,15,120,ALL_trap,Y2025,138,0.572463768115942,8.91304347826087
LONDON,15,120,ALL_trap,Y2026,84,0.4166666666666667,-10.892857142857142
LONDON,15,120,HIGH_trap,IS,369,0.5284552845528455,0.7696476964769647
LONDON,15,120,HIGH_trap,Validation,147,0.4217687074829932,-6.253401360544218
LONDON,15,120,HIGH_trap,OOS,37,0.4864864864864865,0.6554054054054054
LONDON,15,120,HIGH_trap,Y2025,29,0.5172413793103449,5.258620689655173
LONDON,15,120,HIGH_trap,Y2026,8,0.375,-16.03125
LONDON,15,120,LOW_trap,IS,472,0.4724576271186441,-1.3522245762711864
LONDON,15,120,LOW_trap,Validation,100,0.47,1.7625
LONDON,15,120,LOW_trap,OOS,126,0.5079365079365079,-2.746031746031746
LONDON,15,120,LOW_trap,Y2025,74,0.5540540540540541,4.33445945945946
LONDON,15,120,LOW_trap,Y2026,52,0.4423076923076923,-12.822115384615385
LONDON,15,120,HIGH_long,IS,369,0.5338753387533876,-0.04878048780487805
LONDON,15,120,HIGH_long,Validation,147,0.48299319727891155,-1.5595238095238095
LONDON,15,120,HIGH_long,OOS,37,0.5135135135135135,-5.195945945945946
LONDON,15,120,HIGH_long,Y2025,29,0.4827586206896552,-14.172413793103448
LONDON,15,120,HIGH_long,Y2026,8,0.625,27.34375
LONDON,30,15,ALL_trap,IS,1266,0.49842022116903634,-0.040086887835703
LONDON,30,15,ALL_trap,Validation,437,0.5491990846681922,1.257437070938215
LONDON,30,15,ALL_trap,OOS,205,0.5121951219512195,2.0085365853658534
LONDON,30,15,ALL_trap,Y2025,122,0.45901639344262296,0.2581967213114754
LONDON,30,15,ALL_trap,Y2026,83,0.5903614457831325,4.581325301204819
LONDON,30,15,HIGH_trap,IS,518,0.49613899613899615,-0.3267374517374517
LONDON,30,15,HIGH_trap,Validation,213,0.5633802816901409,1.40962441314554
LONDON,30,15,HIGH_trap,OOS,43,0.627906976744186,6.959302325581396
LONDON,30,15,HIGH_trap,Y2025,31,0.6129032258064516,6.185483870967742
LONDON,30,15,HIGH_trap,Y2026,12,0.6666666666666666,8.958333333333334
LONDON,30,15,LOW_trap,IS,330,0.509090909090909,0.22954545454545455
LONDON,30,15,LOW_trap,Validation,77,0.6233766233766234,3.8863636363636362
LONDON,30,15,LOW_trap,OOS,89,0.5168539325842697,1.1938202247191012
LONDON,30,15,LOW_trap,Y2025,45,0.4444444444444444,0.016666666666666666
LONDON,30,15,LOW_trap,Y2026,44,0.5909090909090909,2.397727272727273
LONDON,30,15,HIGH_long,IS,518,0.4826254826254826,-0.2697876447876448
LONDON,30,15,HIGH_long,Validation,213,0.43661971830985913,-1.1654929577464788
LONDON,30,15,HIGH_long,OOS,43,0.6744186046511628,4.412790697674419
LONDON,30,15,HIGH_long,Y2025,31,0.6774193548387096,2.6048387096774195
LONDON,30,15,HIGH_long,Y2026,12,0.6666666666666666,9.083333333333334
LONDON,30,30,ALL_trap,IS,1266,0.504739336492891,0.14257503949447078
LONDON,30,30,ALL_trap,Validation,437,0.5789473684210527,3.0028604118993134
LONDON,30,30,ALL_trap,OOS,205,0.5414634146341464,2.7670731707317073
LONDON,30,30,ALL_trap,Y2025,122,0.5245901639344263,1.4549180327868851
LONDON,30,30,ALL_trap,Y2026,83,0.5662650602409639,4.695783132530121
LONDON,30,30,HIGH_trap,IS,518,0.5308880308880309,0.029922779922779922
LONDON,30,30,HIGH_trap,Validation,213,0.568075117370892,3.6208920187793425
LONDON,30,30,HIGH_trap,OOS,43,0.627906976744186,7.395348837209302
LONDON,30,30,HIGH_trap,Y2025,31,0.6451612903225806,8.137096774193548
LONDON,30,30,HIGH_trap,Y2026,12,0.5833333333333334,5.479166666666667
LONDON,30,30,LOW_trap,IS,330,0.4575757575757576,0.13636363636363635
LONDON,30,30,LOW_trap,Validation,77,0.6493506493506493,5.616883116883117
LONDON,30,30,LOW_trap,OOS,89,0.5842696629213483,1.2106741573033708
LONDON,30,30,LOW_trap,Y2025,45,0.5111111111111111,-0.8277777777777777
LONDON,30,30,LOW_trap,Y2026,44,0.6590909090909091,3.2954545454545454
LONDON,30,30,HIGH_long,IS,518,0.4942084942084942,-0.47393822393822393
LONDON,30,30,HIGH_long,Validation,213,0.47417840375586856,-0.6514084507042254
LONDON,30,30,HIGH_long,OOS,43,0.5813953488372093,-1.186046511627907
LONDON,30,30,HIGH_long,Y2025,31,0.5806451612903226,-4.088709677419355
LONDON,30,30,HIGH_long,Y2026,12,0.5833333333333334,6.3125
LONDON,30,60,ALL_trap,IS,1266,0.4913112164296998,0.04265402843601896
LONDON,30,60,ALL_trap,Validation,437,0.5446224256292906,4.44279176201373
LONDON,30,60,ALL_trap,OOS,205,0.5073170731707317,-1.1353658536585365
LONDON,30,60,ALL_trap,Y2025,122,0.5327868852459017,1.3627049180327868
LONDON,30,60,ALL_trap,Y2026,83,0.46987951807228917,-4.807228915662651
LONDON,30,60,HIGH_trap,IS,518,0.5,0.036196911196911194
LONDON,30,60,HIGH_trap,Validation,213,0.5446009389671361,5.215962441314554
LONDON,30,60,HIGH_trap,OOS,43,0.5348837209302325,6.5523255813953485
LONDON,30,60,HIGH_trap,Y2025,31,0.6129032258064516,14.806451612903226
LONDON,30,60,HIGH_trap,Y2026,12,0.3333333333333333,-14.770833333333334
LONDON,30,60,LOW_trap,IS,330,0.48787878787878786,-0.09848484848484848
LONDON,30,60,LOW_trap,Validation,77,0.5974025974025974,7.207792207792208
LONDON,30,60,LOW_trap,OOS,89,0.48314606741573035,-3.99438202247191
LONDON,30,60,LOW_trap,Y2025,45,0.5111111111111111,-3.0055555555555555
LONDON,30,60,LOW_trap,Y2026,44,0.45454545454545453,-5.005681818181818
LONDON,30,60,HIGH_long,IS,518,0.5057915057915058,-0.5777027027027027
LONDON,30,60,HIGH_long,Validation,213,0.47417840375586856,-0.4671361502347418
LONDON,30,60,HIGH_long,OOS,43,0.5581395348837209,-5.587209302325581
LONDON,30,60,HIGH_long,Y2025,31,0.5806451612903226,-5.838709677419355
LONDON,30,60,HIGH_long,Y2026,12,0.5,-4.9375
LONDON,30,90,ALL_trap,IS,1266,0.49921011058451814,0.02883096366508689
LONDON,30,90,ALL_trap,Validation,437,0.540045766590389,4.528032036613272
LONDON,30,90,ALL_trap,OOS,205,0.5170731707317073,3.1304878048780487
LONDON,30,90,ALL_trap,Y2025,122,0.5327868852459017,2.8647540983606556
LONDON,30,90,ALL_trap,Y2026,83,0.4939759036144578,3.5210843373493974
LONDON,30,90,HIGH_trap,IS,518,0.5115830115830116,-0.4985521235521235
LONDON,30,90,HIGH_trap,Validation,213,0.539906103286385,5.015258215962441
LONDON,30,90,HIGH_trap,OOS,43,0.627906976744186,5.883720930232558
LONDON,30,90,HIGH_trap,Y2025,31,0.7419354838709677,15.806451612903226
LONDON,30,90,HIGH_trap,Y2026,12,0.3333333333333333,-19.75
LONDON,30,90,LOW_trap,IS,330,0.5,0.5651515151515152
LONDON,30,90,LOW_trap,Validation,77,0.5974025974025974,7.340909090909091
LONDON,30,90,LOW_trap,OOS,89,0.4943820224719101,-0.13764044943820225
LONDON,30,90,LOW_trap,Y2025,45,0.5111111111111111,-0.9555555555555556
LONDON,30,90,LOW_trap,Y2026,44,0.4772727272727273,0.6988636363636364
LONDON,30,90,HIGH_long,IS,518,0.48841698841698844,-0.5226833976833977
LONDON,30,90,HIGH_long,Validation,213,0.48826291079812206,-2.738262910798122
LONDON,30,90,HIGH_long,OOS,43,0.5348837209302325,-3.0348837209302326
LONDON,30,90,HIGH_long,Y2025,31,0.5483870967741935,-2.2419354838709675
LONDON,30,90,HIGH_long,Y2026,12,0.5,-5.083333333333333
LONDON,30,120,ALL_trap,IS,1266,0.49842022116903634,0.4980252764612954
LONDON,30,120,ALL_trap,Validation,437,0.5446224256292906,5.284324942791762
LONDON,30,120,ALL_trap,OOS,205,0.5170731707317073,4.032926829268293
LONDON,30,120,ALL_trap,Y2025,122,0.5081967213114754,3.0655737704918034
LONDON,30,120,ALL_trap,Y2026,83,0.5301204819277109,5.454819277108434
LONDON,30,120,HIGH_trap,IS,518,0.5096525096525096,-0.14478764478764478
LONDON,30,120,HIGH_trap,Validation,213,0.5539906103286385,5.474178403755869
LONDON,30,120,HIGH_trap,OOS,43,0.627906976744186,8.837209302325581
LONDON,30,120,HIGH_trap,Y2025,31,0.7419354838709677,18.983870967741936
LONDON,30,120,HIGH_trap,Y2026,12,0.3333333333333333,-17.375
LONDON,30,120,LOW_trap,IS,330,0.5121212121212121,1.0492424242424243
LONDON,30,120,LOW_trap,Validation,77,0.5714285714285714,6.409090909090909
LONDON,30,120,LOW_trap,OOS,89,0.5056179775280899,-1.9325842696629214
LONDON,30,120,LOW_trap,Y2025,45,0.4666666666666667,-3.011111111111111
LONDON,30,120,LOW_trap,Y2026,44,0.5454545454545454,-0.8295454545454546
LONDON,30,120,HIGH_long,IS,518,0.5096525096525096,0.12065637065637065
LONDON,30,120,HIGH_long,Validation,213,0.4460093896713615,-1.8849765258215962
LONDON,30,120,HIGH_long,OOS,43,0.5813953488372093,-4.476744186046512
