metric,contrast,split,horizon,n_C,n_B,p_C,p_B,delta,p_value
DOWN_CLOSE,C_vs_B,IS,4,38,2312,0.6052631578947368,0.47621107266435986,0.12905208523037698,0.11419086908827492
DOWN_CLOSE,C_vs_B,IS,8,32,2069,0.5,0.46157564040599325,0.03842435959400675,0.6652767652628404
DOWN_CLOSE,C_vs_B,IS,16,20,1665,0.35,0.4732732732732733,-0.12327327327327331,0.27230375148580244
DOWN_CLOSE,C_vs_B,Validation,4,18,1310,0.5555555555555556,0.47022900763358777,0.08532654792196781,0.4713546224259817
DOWN_CLOSE,C_vs_B,Validation,8,18,1218,0.5,0.46223316912972084,0.037766830870279156,0.7497226481604269
DOWN_CLOSE,C_vs_B,Validation,16,14,1070,0.42857142857142855,0.4457943925233645,-0.017222963951935955,0.8975037542214828
DOWN_CLOSE,C_vs_B,OOS,4,17,719,0.4117647058823529,0.4756606397774687,-0.06389593389511578,0.6020364632884898
DOWN_CLOSE,C_vs_B,OOS,8,15,672,0.3333333333333333,0.4419642857142857,-0.10863095238095238,0.40183089243045966
DOWN_CLOSE,C_vs_B,OOS,16,13,584,0.5384615384615384,0.4469178082191781,0.09154373024236034,0.5116057247740513
