metric,contrast,split,horizon,n_C,n_A,p_C,p_A,delta,p_value
DOWN_CLOSE,C_vs_A,IS,4,38,792,0.6052631578947368,0.42676767676767674,0.1784954811270601,0.03015057404235577
DOWN_CLOSE,C_vs_A,IS,8,32,718,0.5,0.4136490250696379,0.08635097493036209,0.3324356194941982
DOWN_CLOSE,C_vs_A,IS,16,20,515,0.35,0.42524271844660194,-0.07524271844660196,0.5038880377573154
DOWN_CLOSE,C_vs_A,Validation,4,18,349,0.5555555555555556,0.5128939828080229,0.04266157274753268,0.723964562398534
DOWN_CLOSE,C_vs_A,Validation,8,18,327,0.5,0.4954128440366973,0.004587155963302725,0.9697708018476672
DOWN_CLOSE,C_vs_A,Validation,16,14,273,0.42857142857142855,0.5091575091575091,-0.08058608058608058,0.556404301999639
DOWN_CLOSE,C_vs_A,OOS,4,17,220,0.4117647058823529,0.4909090909090909,-0.07914438502673798,0.5293010743561992
DOWN_CLOSE,C_vs_A,OOS,8,15,207,0.3333333333333333,0.4782608695652174,-0.1449275362318841,0.2774007759545811
DOWN_CLOSE,C_vs_A,OOS,16,13,162,0.5384615384615384,0.48148148148148145,0.05698005698005698,0.6924780328749063
