metric,contrast,split,horizon,n_C,n_A,p_C,p_A,delta,p_value
FAIL_CLEAR_ND,C_vs_A,IS,4,38,792,0.5789473684210527,0.4823232323232323,0.09662413609782033,0.24439077888222283
FAIL_CLEAR_ND,C_vs_A,IS,8,32,718,0.46875,0.30779944289693595,0.16095055710306405,0.055069489938947
FAIL_CLEAR_ND,C_vs_A,IS,16,20,515,0.35,0.17281553398058253,0.17718446601941745,0.06718787925304093
FAIL_CLEAR_ND,C_vs_A,Validation,4,18,349,0.5555555555555556,0.5243553008595988,0.031200254695956775,0.7960089635007392
FAIL_CLEAR_ND,C_vs_A,Validation,8,18,327,0.3888888888888889,0.345565749235474,0.04332313965341489,0.7071293107873109
FAIL_CLEAR_ND,C_vs_A,Validation,16,14,273,0.14285714285714285,0.20512820512820512,-0.06227106227106227,0.7427163449204615
FAIL_CLEAR_ND,C_vs_A,OOS,4,17,220,0.47058823529411764,0.44545454545454544,0.025133689839572204,0.8408499241353469
FAIL_CLEAR_ND,C_vs_A,OOS,8,15,207,0.3333333333333333,0.357487922705314,-0.024154589371980673,0.8503437923899011
FAIL_CLEAR_ND,C_vs_A,OOS,16,13,162,0.38461538461538464,0.20987654320987653,0.1747388414055081,0.1675956072690945
