metric,contrast,split,horizon,n_C,n_B,p_C,p_B,delta,p_value
FAIL_CLEAR_ND,C_vs_B,IS,4,38,2312,0.5789473684210527,0.444636678200692,0.13431069022036063,0.09857033559849904
FAIL_CLEAR_ND,C_vs_B,IS,8,32,2069,0.46875,0.32576123731271145,0.14298876268728855,0.0873043947412313
FAIL_CLEAR_ND,C_vs_B,IS,16,20,1665,0.35,0.23903903903903903,0.11096096096096095,0.2900948611058319
FAIL_CLEAR_ND,C_vs_B,Validation,4,18,1310,0.5555555555555556,0.45190839694656487,0.10364715860899071,0.3803087355223065
FAIL_CLEAR_ND,C_vs_B,Validation,8,18,1218,0.3888888888888889,0.3333333333333333,0.05555555555555558,0.6198621730020182
FAIL_CLEAR_ND,C_vs_B,Validation,16,14,1070,0.14285714285714285,0.23738317757009345,-0.0945260347129506,0.5391286966865569
FAIL_CLEAR_ND,C_vs_B,OOS,4,17,719,0.47058823529411764,0.4534075104311544,0.017180724862963237,0.8881609528838132
FAIL_CLEAR_ND,C_vs_B,OOS,8,15,672,0.3333333333333333,0.32142857142857145,0.011904761904761862,1.0
FAIL_CLEAR_ND,C_vs_B,OOS,16,13,584,0.38461538461538464,0.2363013698630137,0.14831401475237094,0.20546568297217693
