session_date,time,year,side,width,width_atr,magnitude_atr,speed_atr
2010-06-07,2010-06-07 10:28:00-04:00,2010,short,5.5,2.2222222222222223,0.8080808080808081,1.3131313131313131
2010-06-07,2010-06-07 11:36:00-04:00,2010,long,6.0,3.404255319148936,0.9929078014184397,1.4184397163120568
2010-06-07,2010-06-07 12:28:00-04:00,2010,short,3.25,2.680412371134021,1.0309278350515465,1.0309278350515465
2010-06-07,2010-06-07 13:18:00-04:00,2010,long,3.0,2.0168067226890756,0.5042016806722689,1.1764705882352942
2010-06-14,2010-06-14 11:07:00-04:00,2010,long,3.25,2.280701754385965,0.7017543859649122,1.0526315789473684
2010-06-21,2010-06-21 11:17:00-04:00,2010,long,4.25,2.931034482758621,1.0344827586206897,1.206896551724138
2010-06-28,2010-06-28 11:27:00-04:00,2010,long,3.5,2.6415094339622645,0.5660377358490566,1.509433962264151
2010-07-05,2010-07-05 10:02:00-04:00,2010,short,1.0,1.9047619047619047,0.9523809523809523,1.9047619047619047
2010-07-06,2010-07-06 10:30:00-04:00,2010,short,4.25,2.677165354330709,1.1023622047244095,1.4173228346456694
2010-07-12,2010-07-12 10:10:00-04:00,2010,short,4.0,2.406015037593985,1.5037593984962405,1.3533834586466165
2010-07-12,2010-07-12 11:05:00-04:00,2010,short,3.75,2.1739130434782608,1.1594202898550725,1.5942028985507246
2010-07-19,2010-07-19 11:37:00-04:00,2010,short,3.0,2.4489795918367343,0.6122448979591836,1.4285714285714284
2010-07-26,2010-07-26 10:21:00-04:00,2010,short,5.25,2.6923076923076925,0.8974358974358975,1.153846153846154
2010-08-02,2010-08-02 10:39:00-04:00,2010,short,3.5,2.7722772277227725,1.3861386138613863,1.9801980198019802
2010-08-09,2010-08-09 10:55:00-04:00,2010,short,2.5,2.439024390243903,1.2195121951219514,1.707317073170732
2010-08-09,2010-08-09 14:30:00-04:00,2010,long,1.5,2.553191489361702,1.276595744680851,2.127659574468085
2010-08-16,2010-08-16 10:31:00-04:00,2010,long,5.5,2.972972972972973,0.6756756756756757,1.081081081081081
2010-08-23,2010-08-23 13:00:00-04:00,2010,short,2.0,2.191780821917808,1.36986301369863,2.191780821917808
2010-08-30,2010-08-30 10:47:00-04:00,2010,long,3.75,2.727272727272727,0.5454545454545454,1.2727272727272727
2010-09-07,2010-09-07 10:57:00-04:00,2010,long,4.0,3.265306122448979,1.0204081632653061,1.2244897959183672
2010-09-13,2010-09-13 10:31:00-04:00,2010,long,3.0,3.0,0.5,1.25
2010-09-20,2010-09-20 10:43:00-04:00,2010,short,3.0,2.7906976744186047,0.6976744186046512,2.0930232558139537
2010-09-27,2010-09-27 12:01:00-04:00,2010,long,3.25,3.1707317073170733,1.2195121951219514,1.707317073170732
2010-10-04,2010-10-04 10:35:00-04:00,2010,short,4.0,2.6229508196721314,1.1475409836065575,1.8032786885245902
2010-10-04,2010-10-04 11:59:00-04:00,2010,short,2.5,2.1052631578947367,3.1578947368421053,3.1578947368421053
2010-10-04,2010-10-04 13:00:00-04:00,2010,long,2.5,2.1052631578947367,1.263157894736842,1.4736842105263157
2010-10-11,2010-10-11 13:49:00-04:00,2010,long,3.75,6.521739130434783,7.82608695652174,2.173913043478261
2010-10-11,2010-10-11 14:35:00-04:00,2010,long,1.5,3.076923076923077,0.5128205128205129,1.0256410256410258
2010-10-18,2010-10-18 11:08:00-04:00,2010,short,3.0,2.608695652173913,0.6521739130434783,2.173913043478261
2010-10-25,2010-10-25 10:00:00-04:00,2010,long,4.0,2.3529411764705883,1.3235294117647058,2.058823529411765
2010-10-25,2010-10-25 11:05:00-04:00,2010,short,3.25,2.524271844660194,1.7475728155339805,1.3592233009708736
2010-10-25,2010-10-25 12:42:00-04:00,2010,long,2.25,2.6865671641791042,0.8955223880597015,1.4925373134328357
2010-11-01,2010-11-01 10:34:00-04:00,2010,short,3.75,3.0,1.2,1.8
2010-11-01,2010-11-01 12:48:00-04:00,2010,short,2.25,2.6865671641791042,0.8955223880597015,1.4925373134328357
2010-11-08,2010-11-08 11:01:00-05:00,2010,short,2.5,2.2222222222222223,0.6666666666666666,1.1111111111111112
2010-11-15,2010-11-15 13:27:00-05:00,2010,long,3.25,3.3766233766233764,8.571428571428571,1.8181818181818181
2010-11-22,2010-11-22 10:55:00-05:00,2010,long,4.75,2.857142857142857,0.6015037593984962,1.0526315789473684
2010-11-29,2010-11-29 12:07:00-05:00,2010,long,3.25,2.6,1.4,1.8
2010-11-29,2010-11-29 13:06:00-05:00,2010,short,2.25,2.6865671641791042,1.1940298507462686,1.791044776119403
2010-11-29,2010-11-29 14:20:00-05:00,2010,long,2.0,2.4615384615384617,0.9230769230769231,1.2307692307692308
2010-12-06,2010-12-06 12:25:00-05:00,2010,short,1.75,2.295081967213115,0.6557377049180328,1.639344262295082
2010-12-13,2010-12-13 10:31:00-05:00,2010,long,3.25,2.988505747126437,0.6896551724137931,1.3793103448275863
2010-12-20,2010-12-20 11:25:00-05:00,2010,long,4.0,4.705882352941177,3.235294117647059,1.1764705882352942
2010-12-20,2010-12-20 12:04:00-05:00,2010,short,1.5,2.6666666666666665,1.7777777777777777,1.3333333333333333
2010-12-27,2010-12-27 10:13:00-05:00,2010,long,2.5,2.857142857142857,1.1428571428571428,1.1428571428571428
2010-12-27,2010-12-27 10:53:00-05:00,2010,short,1.5,2.3529411764705883,0.7843137254901962,1.1764705882352942
