resolver,session,T_offset,outcome,universe,split,n,win,E
disp_follow,NY_PM,60,H60,ALL,Validation,318,0.5,2.1367924528301887
disp_follow,NY_PM,60,H60,ALL,OOS,144,0.4791666666666667,11.796875
disp_follow,NY_PM,60,H60,HIGH,IS,455,0.45714285714285713,-0.4604395604395604
disp_follow,NY_PM,60,H60,HIGH,Validation,198,0.4696969696969697,1.9078282828282829
disp_follow,NY_PM,60,H60,HIGH,OOS,87,0.5287356321839081,26.094827586206897
disp_follow,NY_PM,60,SESS_END,ALL,IS,794,0.5088161209068011,-0.7034005037783375
disp_follow,NY_PM,60,SESS_END,ALL,Validation,318,0.5125786163522013,5.1572327044025155
disp_follow,NY_PM,60,SESS_END,ALL,OOS,144,0.4791666666666667,16.13888888888889
disp_follow,NY_PM,60,SESS_END,HIGH,IS,455,0.5428571428571428,2.0983516483516484
disp_follow,NY_PM,60,SESS_END,HIGH,Validation,198,0.5404040404040404,7.30050505050505
disp_follow,NY_PM,60,SESS_END,HIGH,OOS,87,0.5402298850574713,26.798850574712645
disp_follow,NY_PM,90,H30,ALL,IS,794,0.44584382871536526,-0.5059823677581864
disp_follow,NY_PM,90,H30,ALL,Validation,306,0.5163398692810458,2.7598039215686274
disp_follow,NY_PM,90,H30,ALL,OOS,123,0.3902439024390244,-6.810975609756097
disp_follow,NY_PM,90,H30,HIGH,IS,436,0.4288990825688073,-0.2631880733944954
disp_follow,NY_PM,90,H30,HIGH,Validation,176,0.5170454545454546,4.832386363636363
disp_follow,NY_PM,90,H30,HIGH,OOS,70,0.38571428571428573,-10.996428571428572
disp_follow,NY_PM,90,H60,ALL,IS,794,0.482367758186398,-1.0963476070528968
disp_follow,NY_PM,90,H60,ALL,Validation,306,0.5588235294117647,9.440359477124183
disp_follow,NY_PM,90,H60,ALL,OOS,123,0.43902439024390244,-6.914634146341464
disp_follow,NY_PM,90,H60,HIGH,IS,436,0.48623853211009177,-1.084862385321101
disp_follow,NY_PM,90,H60,HIGH,Validation,176,0.5965909090909091,11.627840909090908
disp_follow,NY_PM,90,H60,HIGH,OOS,70,0.37142857142857144,-18.664285714285715
disp_follow,NY_PM,90,SESS_END,ALL,IS,794,0.4836272040302267,-1.8835012594458438
disp_follow,NY_PM,90,SESS_END,ALL,Validation,306,0.5359477124183006,11.390522875816993
disp_follow,NY_PM,90,SESS_END,ALL,OOS,123,0.4634146341463415,-2.813008130081301
disp_follow,NY_PM,90,SESS_END,HIGH,IS,436,0.49311926605504586,-3.5430045871559632
disp_follow,NY_PM,90,SESS_END,HIGH,Validation,176,0.5681818181818182,14.289772727272727
disp_follow,NY_PM,90,SESS_END,HIGH,OOS,70,0.42857142857142855,-5.771428571428571
disp_follow,NY_PM,120,H30,ALL,IS,794,0.47103274559193953,-0.5865869017632241
