resolver,session,T_offset,outcome,tier,HIGH_IS_n,HIGH_IS_win,ALL_IS_win,lift_win_IS,lift_win_Val,lift_win_OOS,HIGH_OOS_win
disp_follow,NY_PM,60,SESS_END,soft,455,0.5428571428571428,0.5088161209068011,0.034041021950341754,0.027825424051839187,0.061063218390804586,0.5402298850574713
path_follow,NY_PM,60,SESS_END,soft,455,0.5428571428571428,0.5088161209068011,0.034041021950341754,0.027825424051839187,0.061063218390804586,0.5402298850574713
