split,n,p_target_first,p_adverse_first,p_unresolved,delta_fp
IS,2203,0.1575124829777576,0.36768043576940534,0.47480708125283705,-0.21016795279164774
Validation,727,0.17881705639614856,0.3741403026134801,0.4470426409903714,-0.19532324621733152
OOS,389,0.13110539845758354,0.38046272493573263,0.4884318766066838,-0.2493573264781491
ALL,3319,0.15908406146429646,0.3705935522747816,0.470322386260922,-0.21150949081048512
