split,regime,horizon,book,n,mae_mean,mae_p50,mae_p90,mfe_mean,mfe_p50,mfe_p90
OOS,HIGH,30,coinflip,2334,35.87639245929734,22.0,84.0,37.55848329048843,22.75,86.92500000000007
OOS,nonHIGH,30,coinflip,4203,30.838389245776828,19.5,71.95000000000005,31.469545562693316,19.75,72.95000000000005
OOS,ALL,30,coinflip,6537,32.63718066391311,20.25,75.85000000000014,33.64356738565091,20.5,78.25
