candidate,eligible,gate,required_win_rate,stop_dollars,n,net_dollars,win_rate,payoff,profit_factor,trades_per_month,largest_day_dollars,largest_day_pct,train_n,inner_n
fixed_2r,True,pass,0.48204764649545523,175.0,2180,6121.0,0.5009174311926605,1.0826402851818726,1.0866205803479823,15.683453237410072,348.0,0.05685345531775854,1491,689
fixed_1p5r,True,pass,0.49530101984993796,175.0,2180,2565.5,0.5022935779816514,1.0269125395152792,1.036377171215881,15.683453237410072,260.5,0.10153966088481778,1491,689
fixed_1r,True,pass,0.5102052664159731,175.0,2180,772.0,0.5110091743119266,0.9677018526696946,1.0112756696754595,15.683453237410072,173.0,0.22409326424870465,1491,689
partial_midpoint_1p5r,False,win rate 0.5716 below required 0.5779,0.5778857003528146,175.0,2180,-909.75,0.5715596330275229,0.7372498529650728,0.9835260351118637,15.683453237410072,270.375,,1491,689
timeboxed_1r_30m,False,win rate 0.4491 below required 0.4885,0.48853761206435486,175.0,2180,-4149.0,0.44908256880733943,1.054973502912807,0.8599659112003645,15.683453237410072,173.0,,1491,689
