state,observations,pct,total
TRENDING,463512,33.64021218549756,1377851
CHOP_RANGE,456826,33.15496378055392,1377851
COMPRESSION,172868,12.546204197696268,1377851
EXPANSION,97773,7.096050298617194,1377851
HIGH_ACTIVITY,91279,6.624736636980341,1377851
TRANSITION_MIXED,62401,4.5288641514938845,1377851
LOW_ACTIVITY,33192,2.408968749160831,1377851
