bin_col,bin,horizon,n_c,n_d,eligible,share_c,share_d,mean_S_c,mean_S_d,return_rate_c,return_rate_d,return_diff,return_diff_ci_lo,return_diff_ci_hi,return_sign,opposite_rate_c,opposite_rate_d,opposite_diff,opposite_diff_ci_lo,opposite_diff_ci_hi,opposite_sign
s_tercile,NA,30,0,1,False,0.0,1.0,,,,0.0,,,,0,,1.0,,,,0
s_tercile,S_T1,30,7085,2067,True,0.7741477272727273,0.22585227272727273,-0.5312599564429166,-0.7026766854701751,0.49527170077628796,0.6202225447508466,0.12495084397455863,0.1012201878912429,0.14907370429406622,1,0.6781933662667607,0.5418480890179004,-0.13634527724886036,-0.16037850858219965,-0.11226085960665307,-1
s_tercile,S_T2,30,8087,1337,True,0.8581281833616299,0.14187181663837012,0.012338667850337423,0.004722828045500108,0.45925559540002475,0.5893792071802543,0.13012361178022952,0.101883260022781,0.158852190461341,1,0.7251143811054779,0.5818997756170531,-0.1432146054884248,-0.17117013166245748,-0.11489264737720156,-1
s_tercile,S_T3,30,7388,1826,True,0.8018233123507705,0.19817668764922944,0.5102367107452871,0.6870021344720475,0.547509474824039,0.7228915662650602,0.17538209144102124,0.15233627424599122,0.19922289965173343,1,0.6460476448294532,0.49671412924424974,-0.14933351558520347,-0.17474327399032788,-0.12400144463570677,-1
sign_bin,ABOVE_OR_AT,30,11885,2549,True,0.8234030760703893,0.17659692392961066,0.35514325925597856,0.518940938602766,0.5173748422381153,0.6865437426441742,0.16916890040605892,0.14930234014055813,0.18953278187659872,1,0.674884307951199,0.5217732444095724,-0.15311106354162662,-0.1742317678630134,-0.1319753005794556,-1
sign_bin,BELOW,30,10675,2681,True,0.799266247379455,0.20073375262054508,-0.3855215739356917,-0.5648761069461059,0.47953161592505855,0.6117120477433793,0.13218043181832073,0.11159748476197039,0.15305443871623794,1,0.6951756440281031,0.5501678478179783,-0.14500779621012472,-0.16571737276227963,-0.12422709408157015,-1
sign_bin,NA,30,0,1,False,0.0,1.0,,,,0.0,,,,0,,1.0,,,,0
s_tercile,NA,60,0,1,False,0.0,1.0,,,,0.0,,,,0,,1.0,,,,0
s_tercile,S_T1,60,6446,1903,True,0.7720685111989459,0.22793148880105402,-0.5278470912074262,-0.7058607491543203,0.7058641017685386,0.791382028376248,0.0855179266077094,0.0645824474089392,0.10732815706075192,1,0.8236115420415762,0.7514450867052023,-0.07216645533637389,-0.09331657240102283,-0.05026956968899564,-1
s_tercile,S_T2,60,7369,1218,True,0.8581576802142774,0.1418423197857226,0.012540156769700432,0.003910145460344766,0.6844890758583254,0.7742200328407225,0.08973095698239708,0.06472655458589474,0.11622710327528546,1,0.8530329759804587,0.7931034482758621,-0.059929527704596586,-0.08325509829153407,-0.03499099697076209,-1
s_tercile,S_T3,60,6752,1667,True,0.80199548639981,0.19800451360019006,0.5102530757783991,0.6795326798316187,0.732968009478673,0.8446310737852429,0.11166306430656991,0.09192606216576613,0.1326170771838978,1,0.816202606635071,0.7486502699460108,-0.06755233668906024,-0.08987273578472232,-0.04433295174122677,-1
sign_bin,ABOVE_OR_AT,60,10848,2317,True,0.824003038359286,0.17599696164071402,0.3556150803985312,0.5155046350011048,0.7138643067846607,0.8243418213206732,0.11047751453601251,0.09323693364322833,0.12858633049665355,1,0.8293694690265486,0.7652136383254208,-0.06415583070112785,-0.08244248956639388,-0.04514551541892882,-1
sign_bin,BELOW,60,9719,2471,True,0.797292863002461,0.20270713699753898,-0.38302063578502543,-0.5666263498535907,0.6995575676509929,0.7879401052205585,0.0883825375695656,0.07022053708815039,0.10724488209215369,1,0.8343450972322255,0.7571833265884257,-0.07716177064379981,-0.09529509603255253,-0.058402872376298355,-1
sign_bin,NA,60,0,1,False,0.0,1.0,,,,0.0,,,,0,,1.0,,,,0
