arm,split,n_trades,n_long,n_short,mean_gross,mean_net,median_net,hit_rate_net_gt_0,sum_net,frac_full_horizon,eligible_gate
PRIMARY_D,IS,3496,1874,1622,-0.13629862700228834,-1.1362986270022883,-1.0,0.39473684210526316,-3972.5,0.9625286041189931,True
PRIMARY_D,Validation,818,402,416,-0.2833129584352078,-1.2833129584352079,-1.25,0.460880195599022,-1049.75,0.9523227383863081,True
PRIMARY_D,OOS,506,282,224,1.8868577075098814,0.8868577075098815,0.25,0.5059288537549407,448.75,0.9644268774703557,True
PRIMARY_D,ALL,4820,2558,2262,0.05114107883817427,-0.9488589211618257,-1.0,0.41763485477178425,-4573.5,0.9609958506224067,True
CONTROL_C,IS,3320,1861,1459,0.40323795180722893,-0.5967620481927711,-1.0,0.4018072289156627,-1981.25,0.9668674698795181,True
CONTROL_C,Validation,741,397,344,-0.37044534412955465,-1.3704453441295548,-2.75,0.4399460188933873,-1015.5,0.9541160593792173,True
CONTROL_C,OOS,413,252,161,-2.6634382566585955,-3.6634382566585955,-2.0,0.4600484261501211,-1513.0,0.9443099273607748,True
CONTROL_C,ALL,4474,2510,1964,-0.007990612427358068,-1.007990612427358,-1.25,0.41350022351363436,-4509.75,0.9626732230666071,True
