contrast_tag,covariate,smd_before,smd_after,mean_a_before,mean_b_before,mean_a_after,mean_b_after
ExpExit_C_vs_D,wait_to_event,-0.724488377420332,-0.43961230259566797,17.20355584821796,6.907047279214987,11.359803771270888,5.35720097640358
ExpExit_C_vs_D,origin_run_bars,-0.3341191242730655,-0.23942054186278058,27.96230142398551,20.195896520963426,17.798099034186723,13.070789259560618
ExpExit_C_vs_D,pre_range_atr,-0.5733304406071439,-0.378035659933702,3.781431461744017,2.5252220011472177,2.9026718434254755,2.031888825161665
ExpExit_C_vs_D,pre_er,0.41572118238951505,0.15104212826808877,0.3495429591962878,0.4940585979596109,0.5575276210713903,0.6136385706013986
ExpExit_C_vs_D,dist_mid_atr,-0.3151064724622243,-0.3141311742882634,0.9332282366441048,0.6754226494944091,0.8495388310406508,0.5751162224577115
ExpExit_C_vs_D,dist_edge_atr,-0.5125302831045083,-0.28706469208336877,0.9574874942279037,0.5871883510791998,0.601797090672087,0.440828190123121
CompExit_A_vs_B,wait_to_event,-0.1665836769873219,-0.10384009552404659,5.762576753204783,4.768524106484276,6.246477677813614,5.522556390977444
CompExit_A_vs_B,origin_run_bars,0.10474285015591334,-0.01701032763778372,16.420984595497146,18.64406893314558,16.697844169071466,16.33847117794486
CompExit_A_vs_B,pre_range_atr,-0.038657769120842116,-0.052662688324786044,2.2419396866166146,2.193533863097755,2.30900603817181,2.2343270108903632
CompExit_A_vs_B,pre_er,0.22752195778846337,0.13182918409630745,0.5880875569785835,0.6673078458175816,0.5882525486090882,0.6328054761855415
CompExit_A_vs_B,dist_mid_atr,0.08969183688440537,0.0182901229976244,0.7030954602493842,0.7566518514059557,0.7744421124981328,0.7865772573367895
CompExit_A_vs_B,dist_edge_atr,-0.22518613491885148,-0.15191656450377578,0.4178743830589231,0.3401150801429216,0.3800609065877721,0.3305862481083922
