metric_family,horizon,split,n_c,n_d,eligible,return_rate_c,return_rate_d,return_diff,return_diff_ci_lo,return_diff_ci_hi,opposite_rate_c,opposite_rate_d,opposite_diff,opposite_diff_ci_lo,opposite_diff_ci_hi,origin_cell,feature,n,mean,p10,p25,p50,p75,p90,frac_gt_0,frac_gt_5,frac_gt_10,frac_gt_15,frac_gt_20,n_reached,n_events,frac_reached,rate,note
excursion,5,,,,,,,,,,,,,,,D_EXP_LOW_DIR,abs_net,4853.0,7.134865031939007,0.5,1.0,3.0,8.0,18.5,0.9664125283329899,0.35545023696682465,0.2025551205439934,0.133113538017721,0.08881104471460952,,,,,
excursion,15,,,,,,,,,,,,,,,POOLED,max_up,9054.0,11.83764082173625,0.75,2.0,5.25,13.5,30.0,0.9739341727413298,0.505853766291142,0.31776010603048377,0.22774464325160151,0.17075325822840734,,,,,
excursion,15,,,,,,,,,,,,,,,POOLED,max_down,9054.0,12.632593328915396,0.5,1.75,5.0,14.25,33.25,0.9660923348796112,0.49801192842942343,0.32803180914512925,0.23757455268389663,0.1878727634194831,,,,,
excursion,15,,,,,,,,,,,,,,,POOLED,abs_max_excursion,9054.0,19.311160812900376,2.75,4.5,10.0,25.0,46.75,1.0,0.7045504749282085,0.49657609896178484,0.3863485752153744,0.31256903026286725,,,,,
excursion,15,,,,,,,,,,,,,,,POOLED,net_displacement,9054.0,-0.2805113761873205,-18.5,-4.75,0.25,5.25,17.0,0.5133642588910978,0.2510492599955821,0.1581621382814226,0.1112215595316987,0.08504528385244091,,,,,
excursion,15,,,,,,,,,,,,,,,POOLED,hl_range,9054.0,24.470234150651645,3.75,6.0,13.0,33.25,57.5,1.0,0.7986525292688315,0.5738899933730948,0.45604152860614094,0.3833664678595096,,,,,
excursion,15,,,,,,,,,,,,,,,POOLED,abs_net,9054.0,12.14598519991164,0.75,2.0,5.0,13.75,31.75,0.9869670863706649,0.4928208526618069,0.31853324497459684,0.2307267506074663,0.17914733819306383,,,,,
excursion,15,,,,,,,,,,,,,,,C_EXP_HIGH_DIR,max_up,4348.0,11.191927322907084,0.75,1.75,5.0,13.0625,29.5,0.9668813247470102,0.49103035878564855,0.31186752529898804,0.22171113155473782,0.16145354185832567,,,,,
excursion,15,,,,,,,,,,,,,,,C_EXP_HIGH_DIR,max_down,4348.0,12.854300827966881,0.5,1.75,5.25,14.75,35.0,0.9622815087396505,0.5041398344066237,0.33233670653173875,0.24701011959521618,0.20124195032198713,,,,,
excursion,15,,,,,,,,,,,,,,,C_EXP_HIGH_DIR,abs_max_excursion,4348.0,19.089638914443423,2.75,4.5,10.0,26.0,45.75,1.0,0.7076816927322908,0.4990800367985281,0.3916743330266789,0.3189972401103956,,,,,
