dow,dow_i,dimension,state,observations,pct,dow_n
Friday,4,directionality,LOW_DIRECTIONALITY,90134,33.92922346067991,265653
Friday,4,directionality,HIGH_DIRECTIONALITY,85358,32.13138944412448,265653
Friday,4,volatility,HIGH_VOLATILITY,107602,40.504718561431645,265653
Friday,4,volatility,NORMAL_VOLATILITY,81800,30.792048273499642,265653
Friday,4,volatility,LOW_VOLATILITY,76251,28.703233165068717,265653
Friday,4,volume,NORMAL_VOLUME,96377,36.279281619255194,265653
Friday,4,volume,HIGH_VOLUME,88576,33.34274410603306,265653
Friday,4,volume,LOW_VOLUME,80700,30.377974274711747,265653
Friday,4,range,COMPRESSION,94930,35.73458609539512,265653
Friday,4,range,NORMAL_RANGE,88336,33.2524006881157,265653
Friday,4,range,EXPANSION,82387,31.01301321648918,265653
Friday,4,composite,CHOP_RANGE,90134,33.92922346067991,265653
Friday,4,composite,TRENDING,85358,32.13138944412448,265653
Friday,4,composite,COMPRESSION,34192,12.870925605959654,265653
Friday,4,composite,EXPANSION,19053,7.172138089914287,265653
Friday,4,composite,HIGH_ACTIVITY,17781,6.693317974952287,265653
Friday,4,composite,TRANSITION_MIXED,12115,4.560460450286652,265653
Friday,4,composite,LOW_ACTIVITY,7020,2.642544974082732,265653
