cell,horizon,n_valid,rate_still_compressed,rate_reached_normal,rate_reached_expansion,rate_still_expanded,rate_left_expansion,abs_net_atr_median,max_range_atr_median,er_forward_median,max_up_atr_median,max_down_atr_median,time_to_expansion_median,time_to_leave_compression_median,time_to_leave_expansion_median,expansion_is_directional_mean,expansion_is_two_sided_mean
A_COMP_LOW_DIR,5,45807,0.8328639727552557,0.20099548104001572,0.010849870107188858,0.009168904315934246,0.999650708407012,0.9541420118343195,2.1458625525946706,0.42168674698795183,0.9734513274336283,0.9419904204364024,4.0,3.0,1.0,0.6519114688128773,0.02012072434607646
A_COMP_LOW_DIR,15,44296,0.6466046595629402,0.4461125158027813,0.08321293119017519,0.0679971103485642,0.9998193967852628,1.6556071227279132,3.7209302325581395,0.22852903772785077,1.682738803749442,1.6505465956297862,11.0,6.0,1.0,0.5995659251220835,0.06294085729788389
A_COMP_LOW_DIR,30,42107,0.45142137886812167,0.6856579666088773,0.25435200797967084,0.19913553565915407,0.9999287529389412,2.2993882691615686,5.1923076923076925,0.1590909090909091,2.3492723492723493,2.288135593220339,20.0,11.0,1.0,0.5703081232492997,0.10028011204481793
A_COMP_LOW_DIR,60,38150,0.3105897771952818,0.9129226736566186,0.5730275229357799,0.35066841415465266,1.0,3.1612052936672868,7.196261682242991,0.11188091249862012,3.2673267326732676,3.1471377582321205,33.0,16.0,1.0,0.5415580257078816,0.11939069575957184
B_COMP_MIDHIGH_DIR,5,51719,0.7875635646474216,0.25733289506757673,0.01757574585742184,0.014868810301823314,0.999555289158723,0.9677419354838709,2.176165803108808,0.41818181818181815,0.9836065573770493,0.9622641509433961,4.0,2.0,1.0,0.856985698569857,0.0022002200220022
B_COMP_MIDHIGH_DIR,15,49937,0.6172577447583956,0.48931653883893705,0.10695476300138174,0.08640887518273024,0.9998197729138715,1.6678105696636925,3.741444866920152,0.22873345935727787,1.6950306330837304,1.6483516483516485,10.0,5.0,1.0,0.7290769518816701,0.03108032203707171
B_COMP_MIDHIGH_DIR,30,47559,0.43665762526545976,0.7095397295990243,0.27977880106814695,0.2192224394962047,0.9999158939422612,2.2995283018867925,5.210312075983718,0.15862068965517243,2.3543123543123543,2.2961730449251245,18.0,9.0,1.0,0.6454231173906508,0.0701938974898542
B_COMP_MIDHIGH_DIR,60,43016,0.3163706527803608,0.9186581737028082,0.5880370094848428,0.3472428863678631,0.999930258508462,3.143988458585091,7.183945989480279,0.1113967480346399,3.251532633962446,3.165736658753892,31.0,14.0,1.0,0.5760426961850168,0.10630559399090729
C_EXP_HIGH_DIR,5,29383,0.03005139025967396,0.29248204744239864,0.9346901269441514,0.7531565871422251,0.2936051458326243,0.974477958236659,2.2085889570552144,0.4117647058823529,1.0,0.974025974025974,1.0,1.0,2.0,0.8123725604427614,0.0016749198951354501
C_EXP_HIGH_DIR,15,28683,0.15416797406129065,0.5395879092145173,0.9487152668828226,0.5580308893769829,0.5417146044695464,1.6666666666666665,3.8023450586264653,0.2222222222222222,1.7180616740088106,1.6875,1.0,1.0,5.0,0.8092753197118918,0.0024621490518888724
C_EXP_HIGH_DIR,30,27716,0.2687978063212585,0.743866358781931,0.958940684081397,0.41975754077067395,0.7470414201183432,2.356780888030888,5.3454193321204295,0.15602836879432624,2.3616972440120483,2.4,1.0,1.0,8.0,0.8063059673414101,0.0036496350364963502
C_EXP_HIGH_DIR,60,25736,0.3166770282872241,0.9335172520982281,0.9766086415915449,0.34476997202362447,0.9362371774945601,3.2524931023447703,7.423204612965228,0.11016949152542373,3.280878565768621,3.333333333333333,1.0,1.0,12.0,0.8003899100819607,0.006564812604440201
D_EXP_LOW_DIR,5,11054,0.014022073457571919,0.3024244617333092,0.9385742717568301,0.7636149810023521,0.303781436584042,0.910594984459511,2.125506072874494,0.4,0.9739239817773848,0.9302325581395349,1.0,1.0,2.0,0.008963855421686748,0.6621686746987951
D_EXP_LOW_DIR,15,10842,0.10450101457295702,0.551743220807969,0.9585869765725881,0.5870688064932669,0.5533111971960892,1.5789473684210527,3.7131630648330063,0.21428571428571427,1.702999702999703,1.6273245042201332,1.0,1.0,5.0,0.013566823823727509,0.6556335995381507
D_EXP_LOW_DIR,30,10524,0.2620676548840745,0.7738502470543519,0.9678829342455341,0.41752185480805776,0.7761307487647282,2.246123891252614,5.1923076923076925,0.15240998838559816,2.4083929399702173,2.239576753688594,1.0,1.0,8.0,0.017965835460435894,0.65197329668172
D_EXP_LOW_DIR,60,9837,0.32896208193554943,0.9542543458371455,0.984141506556877,0.3346548744535936,0.9556775439666565,3.090909090909091,7.148014440433213,0.10843373493975904,3.393665158371041,3.0201342281879193,1.0,1.0,12.0,0.025307302964569775,0.6442516268980477
