contrast_tag,dropped_factor,horizon,return_diff,opposite_diff,retained_frac,n_strata
ExpExit_C_vs_D,origin_run_bars_tercile,30,0.13655052214068758,-0.14674370028907602,0.48339631475102834,315
ExpExit_C_vs_D,pre_range_atr_tercile,30,0.12039188353779597,-0.12052103513500835,0.39791994114302914,328
ExpExit_C_vs_D,pre_er_tercile,30,0.121802209670732,-0.15050825195150092,0.5023241815202488,325
ExpExit_C_vs_D,dist_mid_atr_tercile,30,0.12794931471892906,-0.13014071361754975,0.458047687522991,316
CompExit_A_vs_B,origin_run_bars_tercile,30,-0.05480354107887141,0.0385338171269788,0.7418168292279715,437
CompExit_A_vs_B,pre_range_atr_tercile,30,-0.037252618469027714,0.022874964164702596,0.6839973549346999,483
CompExit_A_vs_B,pre_er_tercile,30,-0.03785356928552796,0.023511043285169786,0.6444040337245825,434
CompExit_A_vs_B,dist_mid_atr_tercile,30,-0.039387181289577224,0.023073849922395983,0.6963547693833692,434
