feature,mean_c,mean_d,smd_d_minus_c,n_c_finite,n_d_finite
duration_bars,20.488628836387722,6.6818644412782415,-0.9011711173452585,4529,4913
te_er_60,0.08626278037074685,0.05319899804662483,-1.0919800135771256,4529,4913
excursion_atr,4.444518458432299,2.4798210800742537,-0.8355072174532995,4529,4913
pre_er,0.35915353908641506,0.5027617735387448,0.4136588579486956,4266,3731
max_ext_atr,2.877264408741359,1.1936858606245806,-0.8158593006461753,4529,4913
late_share,0.4937291696446321,0.4877345611584188,-0.022286668223603028,3727,2638
