contrast_tag,label,primary_contrast,design,u_n_a,u_n_b,u_horizon,u_return_rate_a,u_return_rate_b,u_return_diff,u_return_diff_ci_lo,u_return_diff_ci_hi,u_opposite_rate_a,u_opposite_rate_b,u_opposite_diff,u_opposite_diff_ci_lo,u_opposite_diff_ci_hi,horizon,return_diff,opposite_diff,n_a,n_b,retained_frac,n_strata,return_rate_a,return_rate_b,opposite_rate_a,opposite_rate_b,n_a_total,n_b_total
ExpExit_C_vs_D,D_minus_C,True,unmatched,22560.0,5231.0,30.0,0.49946808510638296,0.6480596444274517,0.1485915593210687,0.13419884050803105,0.16317839253437064,0.6844858156028368,0.5364175109921621,-0.14806830461067477,-0.16286428766141017,-0.13324928403719372,30,0.1485915593210687,-0.14806830461067477,22560,5231,1.0,,,,,,,
ExpExit_C_vs_D,D_minus_C,True,CEM,,,,,,,,,,,,,,30,0.1263799360245961,-0.12768263086895207,5803,2242,0.26903655151657024,234.0,0.5646193993141647,0.6909993353387608,0.626938224405801,0.499255593536849,24298.0,5605.0
ExpExit_C_vs_D,D_minus_C,True,unmatched,20567.0,4789.0,60.0,0.7071036125832645,0.8053873460012528,0.09828373341798835,0.08565744020840058,0.11130057102254673,0.8317207176544951,0.7611192315723533,-0.07060148608214178,-0.08354536157758384,-0.05732049081509466,60,0.09828373341798835,-0.07060148608214178,20567,4789,1.0,,,,,,,
ExpExit_C_vs_D,D_minus_C,True,CEM,,,,,,,,,,,,,,60,0.06987865311044858,-0.05390038424358999,5204,2033,0.2420158512523827,213.0,0.7418736401053222,0.8117522932157707,0.8105306973413885,0.7566303130977986,24298.0,5605.0
CompExit_A_vs_B,B_minus_A,False,unmatched,8618.0,13599.0,30.0,0.5954977953121374,0.5329803662033973,-0.06251742910874014,-0.07587231603340243,-0.049216975277197296,0.5025527964724994,0.5448194720200015,0.042266675547502075,0.028804258242343943,0.0557430389883198,30,-0.06251742910874014,0.042266675547502075,8618,13599,1.0,,,,,,,
CompExit_A_vs_B,B_minus_A,False,CEM,,,,,,,,,,,,,,30,-0.030729462865633803,0.019999562772860222,5329,7100,0.513679947098694,404.0,0.5796246190982068,0.548895156232573,0.5161099726058688,0.5361095353787289,9283.0,14913.0
CompExit_A_vs_B,B_minus_A,False,unmatched,7932.0,12445.0,60.0,0.7818961169944528,0.7538770590598634,-0.028019057934589475,-0.03989990528414159,-0.016247654664251408,0.712178517397882,0.7443149859381277,0.032136468540245766,0.01953176389183688,0.04467030227473042,60,-0.028019057934589475,0.032136468540245766,7932,12445,1.0,,,,,,,
CompExit_A_vs_B,B_minus_A,False,CEM,,,,,,,,,,,,,,60,-0.008974775701829339,0.005791014742086983,4828,6439,0.4656554802446685,373.0,0.7741348890858797,0.7651601133840504,0.7260818692997213,0.7318728840418082,9283.0,14913.0
