candidate,eligible,gate,combined_pf,combined_net,largest_day_pct,Train_n,Train_net_dollars,Train_win_rate,Train_payoff,Train_profit_factor,Train_trades_per_month,Train_largest_day_pct,Inner Validation_n,Inner Validation_net_dollars,Inner Validation_win_rate,Inner Validation_payoff,Inner Validation_profit_factor,Inner Validation_trades_per_month,Inner Validation_largest_day_pct
vwap_fade_1p5r,False,win rate 0.459 below payoff-implied 0.478,0.9258346701645853,-4184.0,,400,149.5,0.4825,1.0834455403461527,1.0101690303710507,6.451612903225806,1.491638795986622,648,-4333.5,0.4444444444444444,1.1201394049816604,0.8961115239853283,18.0,
opening_range_fade,False,win rate 0.701 below payoff-implied 0.721,0.9043276582730145,-4692.25,,1490,-504.0,0.7201342281879195,0.378790039226117,0.9746803647233176,14.466019417475728,,689,-4188.25,0.6589259796806967,0.4432229311938856,0.8562689819660598,19.13888888888889,
vwap_fade_1r,False,win rate 0.484 below payoff-implied 0.513,0.8879819397930913,-6004.0,,400,590.5,0.4975,1.0525283278439057,1.0420554091588918,6.451612903225806,0.2506350550381033,648,-6594.5,0.47530864197530864,0.9198692352329463,0.8332933072110219,18.0,
high_state_vwap_fade_1r,False,win rate 0.472 below payoff-implied 0.503,0.8855642209135763,-3954.5,,325,1628.5,0.5076923076923077,1.1231243697602697,1.1582220063152782,5.327868852459017,0.09088117899907891,401,-5583.0,0.44389027431421446,0.9645451994354238,0.7699060336300693,11.13888888888889,
extension_5m_fade_1p5r,False,win rate 0.477 below payoff-implied 0.508,0.8834284348579452,-7804.0,,1622,-3114.5,0.4808877928483354,0.9626697920021525,0.8917843678879797,15.74757281553398,,771,-4689.5,0.4695201037613489,0.9910084105203052,0.8771272484311747,21.416666666666668,
