candidate,session_date,year,period,side,signal_ts,entry_ts,exit_ts,entry,exit,stop_points,target_points,exit_kind,gross_points,net_dollars
opening_range_fade,2010-09-07,2010,Train,long,2010-09-07 10:04:00-04:00,2010-09-07 10:05:00-04:00,2010-09-07 14:15:00-04:00,1858.25,1864.5,87.5,6.25,target,6.25,10.5
extension_5m_fade_1p5r,2010-09-07,2010,Train,short,2010-09-07 11:59:00-04:00,2010-09-07 12:00:00-04:00,2010-09-07 15:55:00-04:00,1862.75,1855.25,100.0,150.0,time,7.5,13.0
opening_range_fade,2010-09-13,2010,Train,short,2010-09-13 10:32:00-04:00,2010-09-13 10:33:00-04:00,2010-09-13 12:23:00-04:00,1917.0,1911.25,87.5,5.75,target,5.75,9.5
extension_5m_fade_1p5r,2010-09-13,2010,Train,long,2010-09-13 12:09:00-04:00,2010-09-13 12:10:00-04:00,2010-09-13 15:55:00-04:00,1914.75,1921.0,100.0,150.0,time,6.25,10.5
extension_5m_fade_1p5r,2010-09-20,2010,Train,long,2010-09-20 12:04:00-04:00,2010-09-20 12:05:00-04:00,2010-09-20 15:55:00-04:00,1973.0,1988.25,100.0,150.0,time,15.25,28.5
opening_range_fade,2010-09-27,2010,Train,long,2010-09-27 11:22:00-04:00,2010-09-27 11:23:00-04:00,2010-09-27 13:40:00-04:00,2013.0,2017.0,87.5,4.0,target,4.0,6.0
extension_5m_fade_1p5r,2010-09-27,2010,Train,long,2010-09-27 11:14:00-04:00,2010-09-27 11:15:00-04:00,2010-09-27 15:55:00-04:00,2012.0,2008.0,100.0,150.0,time,-4.0,-10.0
opening_range_fade,2010-10-04,2010,Train,long,2010-10-04 10:02:00-04:00,2010-10-04 10:03:00-04:00,2010-10-04 10:08:00-04:00,1986.0,1990.5,87.5,4.5,target,4.5,7.0
extension_5m_fade_1p5r,2010-10-04,2010,Train,long,2010-10-04 11:14:00-04:00,2010-10-04 11:15:00-04:00,2010-10-04 15:55:00-04:00,1979.25,1971.75,100.0,150.0,time,-7.5,-17.0
opening_range_fade,2010-10-11,2010,Train,short,2010-10-11 10:06:00-04:00,2010-10-11 10:07:00-04:00,2010-10-11 10:45:00-04:00,2031.5,2027.5,87.5,4.0,target,4.0,6.0
extension_5m_fade_1p5r,2010-10-11,2010,Train,short,2010-10-11 13:39:00-04:00,2010-10-11 13:40:00-04:00,2010-10-11 15:55:00-04:00,2033.0,2024.0,100.0,150.0,time,9.0,16.0
opening_range_fade,2010-10-18,2010,Train,short,2010-10-18 10:12:00-04:00,2010-10-18 10:13:00-04:00,2010-10-18 10:27:00-04:00,2098.5,2094.0,87.5,4.5,target,4.5,7.0
extension_5m_fade_1p5r,2010-10-18,2010,Train,long,2010-10-18 11:19:00-04:00,2010-10-18 11:20:00-04:00,2010-10-18 15:55:00-04:00,2091.75,2101.0,100.0,150.0,time,9.25,16.5
opening_range_fade,2010-10-25,2010,Train,short,2010-10-25 10:01:00-04:00,2010-10-25 10:02:00-04:00,2010-10-25 10:37:00-04:00,2121.75,2116.625,87.5,5.125,target,5.125,8.25
extension_5m_fade_1p5r,2010-10-25,2010,Train,long,2010-10-25 12:24:00-04:00,2010-10-25 12:25:00-04:00,2010-10-25 15:55:00-04:00,2112.0,2112.75,100.0,150.0,time,0.75,-0.5
opening_range_fade,2010-11-01,2010,Train,short,2010-11-01 10:08:00-04:00,2010-11-01 10:09:00-04:00,2010-11-01 10:35:00-04:00,2143.25,2137.375,87.5,5.875,target,5.875,9.75
extension_5m_fade_1p5r,2010-11-01,2010,Train,long,2010-11-01 11:14:00-04:00,2010-11-01 11:15:00-04:00,2010-11-01 15:55:00-04:00,2129.0,2125.0,100.0,150.0,time,-4.0,-10.0
opening_range_fade,2010-11-08,2010,Train,short,2010-11-08 11:02:00-05:00,2010-11-08 11:03:00-05:00,2010-11-08 15:55:00-05:00,2181.5,2183.75,87.5,3.375,time,-2.25,-6.5
extension_5m_fade_1p5r,2010-11-08,2010,Train,long,2010-11-08 13:34:00-05:00,2010-11-08 13:35:00-05:00,2010-11-08 15:55:00-05:00,2185.25,2183.75,100.0,150.0,time,-1.5,-5.0
opening_range_fade,2010-11-15,2010,Train,long,2010-11-15 10:04:00-05:00,2010-11-15 10:05:00-05:00,2010-11-15 13:26:00-05:00,2134.25,2142.625,87.5,8.375,target,8.375,14.75
extension_5m_fade_1p5r,2010-11-15,2010,Train,short,2010-11-15 11:44:00-05:00,2010-11-15 11:45:00-05:00,2010-11-15 15:55:00-05:00,2139.25,2128.25,100.0,150.0,time,11.0,20.0
opening_range_fade,2010-11-22,2010,Train,short,2010-11-22 10:17:00-05:00,2010-11-22 10:18:00-05:00,2010-11-22 10:31:00-05:00,2147.0,2135.75,87.5,11.25,target,11.25,20.5
extension_5m_fade_1p5r,2010-11-22,2010,Train,long,2010-11-22 12:29:00-05:00,2010-11-22 12:30:00-05:00,2010-11-22 15:55:00-05:00,2127.5,2149.25,100.0,150.0,time,21.75,41.5
opening_range_fade,2010-11-26,2010,Train,short,2010-11-26 10:32:00-05:00,2010-11-26 10:33:00-05:00,2010-11-26 13:03:00-05:00,2156.25,2148.875,87.5,7.375,target,7.375,12.75
extension_5m_fade_1p5r,2010-11-26,2010,Train,long,2010-11-26 13:04:00-05:00,2010-11-26 13:05:00-05:00,2010-11-26 13:14:00-05:00,2148.75,2145.25,100.0,150.0,time,-3.5,-9.0
opening_range_fade,2010-11-29,2010,Train,long,2010-11-29 10:05:00-05:00,2010-11-29 10:06:00-05:00,2010-11-29 14:30:00-05:00,2121.25,2134.125,87.5,12.875,target,12.875,23.75
extension_5m_fade_1p5r,2010-11-29,2010,Train,long,2010-11-29 11:49:00-05:00,2010-11-29 11:50:00-05:00,2010-11-29 15:55:00-05:00,2120.75,2146.5,100.0,150.0,time,25.75,49.5
opening_range_fade,2010-12-06,2010,Train,long,2010-12-06 11:42:00-05:00,2010-12-06 11:43:00-05:00,2010-12-06 13:36:00-05:00,2184.25,2188.5,87.5,4.25,target,4.25,6.5
extension_5m_fade_1p5r,2010-12-06,2010,Train,long,2010-12-06 11:19:00-05:00,2010-12-06 11:20:00-05:00,2010-12-06 15:55:00-05:00,2186.0,2189.5,100.0,150.0,time,3.5,5.0
opening_range_fade,2010-12-13,2010,Train,short,2010-12-13 10:57:00-05:00,2010-12-13 10:58:00-05:00,2010-12-13 11:29:00-05:00,2223.5,2219.375,87.5,4.125,target,4.125,6.25
extension_5m_fade_1p5r,2010-12-13,2010,Train,long,2010-12-13 12:09:00-05:00,2010-12-13 12:10:00-05:00,2010-12-13 15:55:00-05:00,2216.75,2207.5,100.0,150.0,time,-9.25,-20.5
opening_range_fade,2010-12-20,2010,Train,long,2010-12-20 12:45:00-05:00,2010-12-20 12:46:00-05:00,2010-12-20 13:00:00-05:00,2217.75,2221.125,87.5,3.375,target,3.375,4.75
extension_5m_fade_1p5r,2010-12-20,2010,Train,short,2010-12-20 11:44:00-05:00,2010-12-20 11:45:00-05:00,2010-12-20 15:55:00-05:00,2216.0,2222.25,100.0,150.0,time,-6.25,-14.5
extension_5m_fade_1p5r,2010-12-27,2010,Train,short,2010-12-27 12:04:00-05:00,2010-12-27 12:05:00-05:00,2010-12-27 15:55:00-05:00,2216.25,2230.25,100.0,150.0,time,-14.0,-30.0
opening_range_fade,2011-01-03,2011,Train,short,2011-01-03 14:31:00-05:00,2011-01-03 14:32:00-05:00,2011-01-03 15:55:00-05:00,2254.75,2251.5,87.5,8.5,time,3.25,4.5
extension_5m_fade_1p5r,2011-01-03,2011,Train,long,2011-01-03 12:29:00-05:00,2011-01-03 12:30:00-05:00,2011-01-03 15:55:00-05:00,2261.5,2251.5,100.0,150.0,time,-10.0,-22.0
opening_range_fade,2011-01-10,2011,Train,long,2011-01-10 10:02:00-05:00,2011-01-10 10:03:00-05:00,2011-01-10 10:09:00-05:00,2265.0,2269.625,87.5,4.625,target,4.625,7.25
extension_5m_fade_1p5r,2011-01-10,2011,Train,short,2011-01-10 11:54:00-05:00,2011-01-10 11:55:00-05:00,2011-01-10 15:55:00-05:00,2275.0,2285.75,100.0,150.0,time,-10.75,-23.5
opening_range_fade,2011-01-18,2011,Train,short,2011-01-18 11:35:00-05:00,2011-01-18 11:36:00-05:00,2011-01-18 15:55:00-05:00,2318.5,2327.5,87.5,9.0,time,-9.0,-20.0
extension_5m_fade_1p5r,2011-01-18,2011,Train,short,2011-01-18 11:24:00-05:00,2011-01-18 11:25:00-05:00,2011-01-18 15:55:00-05:00,2320.25,2327.5,100.0,150.0,time,-7.25,-16.5
extension_5m_fade_1p5r,2011-01-24,2011,Train,short,2011-01-24 11:24:00-05:00,2011-01-24 11:25:00-05:00,2011-01-24 15:55:00-05:00,2285.75,2297.25,100.0,150.0,time,-11.5,-25.0
opening_range_fade,2011-01-31,2011,Train,short,2011-01-31 12:05:00-05:00,2011-01-31 12:06:00-05:00,2011-01-31 15:55:00-05:00,2275.0,2279.0,87.5,10.25,time,-4.0,-10.0
extension_5m_fade_1p5r,2011-01-31,2011,Train,short,2011-01-31 12:09:00-05:00,2011-01-31 12:10:00-05:00,2011-01-31 15:55:00-05:00,2277.25,2279.0,100.0,150.0,time,-1.75,-5.5
opening_range_fade,2011-02-07,2011,Train,short,2011-02-07 10:05:00-05:00,2011-02-07 10:06:00-05:00,2011-02-07 15:55:00-05:00,2344.25,2346.75,87.5,3.125,time,-2.5,-7.0
extension_5m_fade_1p5r,2011-02-07,2011,Train,short,2011-02-07 12:49:00-05:00,2011-02-07 12:50:00-05:00,2011-02-07 15:55:00-05:00,2358.5,2346.75,100.0,150.0,time,11.75,21.5
opening_range_fade,2011-02-14,2011,Train,short,2011-02-14 10:07:00-05:00,2011-02-14 10:08:00-05:00,2011-02-14 10:49:00-05:00,2382.75,2379.75,87.5,3.0,target,3.0,4.0
extension_5m_fade_1p5r,2011-02-14,2011,Train,short,2011-02-14 12:24:00-05:00,2011-02-14 12:25:00-05:00,2011-02-14 15:55:00-05:00,2386.25,2384.25,100.0,150.0,time,2.0,2.0
opening_range_fade,2011-02-21,2011,Train,long,2011-02-21 10:08:00-05:00,2011-02-21 10:09:00-05:00,2011-02-21 11:29:00-05:00,2379.25,2368.5,87.5,2.375,time,-10.75,-23.5
opening_range_fade,2011-02-22,2011,Train,short,2011-02-22 10:30:00-05:00,2011-02-22 10:31:00-05:00,2011-02-22 11:15:00-05:00,2360.25,2350.875,87.5,9.375,target,9.375,16.75
extension_5m_fade_1p5r,2011-02-22,2011,Train,long,2011-02-22 12:44:00-05:00,2011-02-22 12:45:00-05:00,2011-02-22 15:55:00-05:00,2334.25,2321.5,100.0,150.0,time,-12.75,-27.5
