resolver,session,T_offset,outcome,universe,split,n,win,E
struct_ticket,LONDON,90,H60,ALL,IS,1451,0.4824259131633356,0.80289455547898
struct_ticket,LONDON,90,H60,ALL,Validation,521,0.45873320537428025,-0.694337811900192
struct_ticket,LONDON,90,H60,ALL,OOS,210,0.49047619047619045,-0.42738095238095236
struct_ticket,LONDON,90,H60,HIGH,IS,709,0.5021156558533145,1.1544428772919606
struct_ticket,LONDON,90,H60,HIGH,Validation,279,0.4050179211469534,-2.1774193548387095
struct_ticket,LONDON,90,H60,HIGH,OOS,70,0.5428571428571428,3.1857142857142855
struct_ticket,LONDON,90,SESS_END,ALL,IS,1451,0.4962095106822881,0.9822536181943488
struct_ticket,LONDON,90,SESS_END,ALL,Validation,521,0.5431861804222649,3.2298464491362764
struct_ticket,LONDON,90,SESS_END,ALL,OOS,210,0.5285714285714286,9.25952380952381
struct_ticket,LONDON,90,SESS_END,HIGH,IS,709,0.5105782792665726,1.1202397743300423
struct_ticket,LONDON,90,SESS_END,HIGH,Validation,279,0.5555555555555556,3.992831541218638
struct_ticket,LONDON,90,SESS_END,HIGH,OOS,70,0.5857142857142857,17.360714285714284
struct_ticket,LONDON,120,H30,ALL,IS,1409,0.4528034066713982,0.012952448545067424
struct_ticket,LONDON,120,H30,ALL,Validation,498,0.42971887550200805,-1.4819277108433735
struct_ticket,LONDON,120,H30,ALL,OOS,189,0.37037037037037035,-6.343915343915344
struct_ticket,LONDON,120,H30,HIGH,IS,673,0.4561664190193165,0.18350668647845467
struct_ticket,LONDON,120,H30,HIGH,Validation,294,0.43197278911564624,-1.558673469387755
struct_ticket,LONDON,120,H30,HIGH,OOS,66,0.3484848484848485,-7.613636363636363
struct_ticket,LONDON,120,H60,ALL,IS,1409,0.4627395315826828,-0.053229240596167494
struct_ticket,LONDON,120,H60,ALL,Validation,498,0.43172690763052207,-1.9282128514056225
struct_ticket,LONDON,120,H60,ALL,OOS,189,0.3862433862433862,-4.591269841269841
struct_ticket,LONDON,120,H60,HIGH,IS,673,0.4279346210995542,-0.2325408618127786
struct_ticket,LONDON,120,H60,HIGH,Validation,294,0.4421768707482993,-1.316326530612245
struct_ticket,LONDON,120,H60,HIGH,OOS,66,0.3484848484848485,-9.007575757575758
struct_ticket,LONDON,120,SESS_END,ALL,IS,1409,0.48828956706884313,-0.35805535841022
struct_ticket,LONDON,120,SESS_END,ALL,Validation,498,0.5120481927710844,-3.802710843373494
struct_ticket,LONDON,120,SESS_END,ALL,OOS,189,0.47619047619047616,-8.953703703703704
struct_ticket,LONDON,120,SESS_END,HIGH,IS,673,0.4725111441307578,-1.4784546805349184
struct_ticket,LONDON,120,SESS_END,HIGH,Validation,294,0.5408163265306123,1.151360544217687
struct_ticket,LONDON,120,SESS_END,HIGH,OOS,66,0.36363636363636365,-30.893939393939394
struct_ticket,NY_PM,15,H30,ALL,IS,1357,0.4576271186440678,-0.25921149594694176
struct_ticket,NY_PM,15,H30,ALL,Validation,471,0.5286624203821656,1.8030785562632696
struct_ticket,NY_PM,15,H30,ALL,OOS,218,0.4908256880733945,5.801605504587156
struct_ticket,NY_PM,15,H30,HIGH,IS,589,0.466893039049236,0.2835314091680815
struct_ticket,NY_PM,15,H30,HIGH,Validation,229,0.5545851528384279,2.78056768558952
struct_ticket,NY_PM,15,H30,HIGH,OOS,92,0.5543478260869565,18.26086956521739
struct_ticket,NY_PM,15,H60,ALL,IS,1357,0.47015475313190863,-0.10556374355195283
struct_ticket,NY_PM,15,H60,ALL,Validation,471,0.5116772823779193,2.65552016985138
struct_ticket,NY_PM,15,H60,ALL,OOS,218,0.4541284403669725,1.8027522935779816
struct_ticket,NY_PM,15,H60,HIGH,IS,589,0.47877758913412566,0.17444821731748728
struct_ticket,NY_PM,15,H60,HIGH,Validation,229,0.4847161572052402,1.3471615720524017
struct_ticket,NY_PM,15,H60,HIGH,OOS,92,0.5108695652173914,10.869565217391305
struct_ticket,NY_PM,15,SESS_END,ALL,IS,1357,0.5254237288135594,2.6740972733971997
struct_ticket,NY_PM,15,SESS_END,ALL,Validation,471,0.5010615711252654,1.5031847133757963
struct_ticket,NY_PM,15,SESS_END,ALL,OOS,218,0.4954128440366973,7.69151376146789
struct_ticket,NY_PM,15,SESS_END,HIGH,IS,589,0.5297113752122241,2.2393887945670627
struct_ticket,NY_PM,15,SESS_END,HIGH,Validation,229,0.5152838427947598,3.081877729257642
struct_ticket,NY_PM,15,SESS_END,HIGH,OOS,92,0.5760869565217391,26.3125
struct_ticket,NY_PM,30,H30,ALL,IS,1284,0.4696261682242991,0.3940809968847352
struct_ticket,NY_PM,30,H30,ALL,Validation,477,0.5241090146750524,2.169287211740042
struct_ticket,NY_PM,30,H30,ALL,OOS,214,0.49065420560747663,12.48714953271028
struct_ticket,NY_PM,30,H30,HIGH,IS,574,0.4686411149825784,0.507404181184669
struct_ticket,NY_PM,30,H30,HIGH,Validation,223,0.5022421524663677,0.6603139013452914
struct_ticket,NY_PM,30,H30,HIGH,OOS,94,0.5425531914893617,22.92287234042553
