event,mechanism,horizon,split,ny_min,n,win,mean,median,mean_z,mfe_gt_mae,p_hit_plus_first,delta_win_vs_50,unc_long_win,delta_win_vs_unc_long,ctrl_n,ctrl_win,delta_win_vs_ctrl
CPI,impulse_cont,5,IS,510,103,0.4563106796116505,0.28640776699029125,-0.25,-0.05463205239327259,0.49514563106796117,0.5,-0.043689320388349495,0.4563106796116505,0.0,1610,0.47267080745341616,-0.01636012784176566
CPI,impulse_fade,5,IS,510,103,0.5339805825242718,-0.28640776699029125,0.25,0.05463205239327259,0.4854368932038835,0.5,0.03398058252427183,0.4563106796116505,0.07766990291262132,1610,0.4745341614906832,0.0594464210335886
CPI,surprise_dir,5,IS,510,64,0.484375,0.03515625,-0.125,0.042470465566192606,0.578125,0.6,-0.015625,0.4563106796116505,0.028064320388349495,0,,
CPI,evt_long,5,IS,510,103,0.4563106796116505,-0.3058252427184466,-0.25,-0.2465458940186242,0.44660194174757284,0.4431818181818182,-0.043689320388349495,0.4563106796116505,0.0,1610,0.47018633540372673,-0.013875655792076225
CPI,impulse_cont,10,IS,510,103,0.44660194174757284,-0.4199029126213592,-0.25,-0.18585214499313707,0.46601941747572817,0.5222222222222223,-0.05339805825242716,0.5048543689320388,-0.058252427184465994,1610,0.46770186335403724,-0.0210999216064644
CPI,impulse_fade,10,IS,510,103,0.5048543689320388,0.4199029126213592,0.25,0.18585214499313707,0.5242718446601942,0.4777777777777778,0.004854368932038833,0.5048543689320388,0.0,1610,0.48074534161490684,0.024109027317131992
CPI,surprise_dir,10,IS,510,64,0.5,-0.50390625,0.125,0.09800914512905781,0.515625,0.6140350877192983,0.0,0.5048543689320388,-0.004854368932038833,0,,
CPI,evt_long,10,IS,510,103,0.5048543689320388,0.7063106796116505,0.25,0.18700325191086234,0.49514563106796117,0.4666666666666667,0.004854368932038833,0.5048543689320388,0.0,1610,0.468944099378882,0.03591026955315685
CPI,impulse_cont,15,IS,510,103,0.49514563106796117,0.06310679611650485,0.0,0.14964427235174196,0.47572815533980584,0.5333333333333333,-0.004854368932038833,0.4563106796116505,0.03883495145631066,1610,0.4639751552795031,0.031170475788458052
CPI,impulse_fade,15,IS,510,103,0.4563106796116505,-0.06310679611650485,0.0,-0.14964427235174196,0.5048543689320388,0.4666666666666667,-0.043689320388349495,0.4563106796116505,0.0,1610,0.5012422360248447,-0.04493155641319424
CPI,surprise_dir,15,IS,510,64,0.5,-0.29296875,0.125,0.2308273236323869,0.53125,0.625,0.0,0.4563106796116505,0.043689320388349495,0,,
CPI,evt_long,15,IS,510,103,0.4563106796116505,0.1553398058252427,0.0,0.07860530542941217,0.47572815533980584,0.4666666666666667,-0.043689320388349495,0.4563106796116505,0.0,1610,0.48509316770186334,-0.028782488090212832
CPI,impulse_cont,30,IS,510,103,0.4854368932038835,-0.09951456310679611,-0.25,0.1986620032587392,0.49514563106796117,0.5393258426966292,-0.014563106796116498,0.49514563106796117,-0.009708737864077666,1610,0.47080745341614905,0.014629439787734455
CPI,impulse_fade,30,IS,510,103,0.5048543689320388,0.09951456310679611,0.25,-0.1986620032587392,0.49514563106796117,0.4606741573033708,0.004854368932038833,0.49514563106796117,0.009708737864077666,1610,0.4962732919254658,0.008581077006573012
CPI,surprise_dir,30,IS,510,64,0.421875,-2.015625,-1.0,-0.45673073117623203,0.453125,0.6363636363636364,-0.078125,0.49514563106796117,-0.07327063106796117,0,,
CPI,evt_long,30,IS,510,103,0.49514563106796117,0.6383495145631068,0.0,0.3364823387153232,0.4563106796116505,0.47191011235955055,-0.004854368932038833,0.49514563106796117,0.0,1610,0.4925465838509317,0.002599047217029471
CPI,impulse_cont,45,IS,510,103,0.4854368932038835,0.7912621359223301,-0.25,0.3779750104465941,0.5145631067961165,0.5393258426966292,-0.014563106796116498,0.5436893203883495,-0.058252427184465994,1610,0.4546583850931677,0.030778508110715808
CPI,impulse_fade,45,IS,510,103,0.5048543689320388,-0.7912621359223301,0.25,-0.3779750104465941,0.47572815533980584,0.4606741573033708,0.004854368932038833,0.5436893203883495,-0.03883495145631066,1610,0.5248447204968945,-0.019990351564855624
CPI,surprise_dir,45,IS,510,64,0.453125,-2.55859375,-0.25,-0.4592963952308511,0.453125,0.6363636363636364,-0.046875,0.5436893203883495,-0.0905643203883495,0,,
CPI,evt_long,45,IS,510,103,0.5436893203883495,2.1262135922330097,0.5,0.7339467601623607,0.49514563106796117,0.47191011235955055,0.043689320388349495,0.5436893203883495,0.0,1610,0.5080745341614907,0.03561478622685876
CPI,impulse_cont,60,IS,510,103,0.5339805825242718,-0.6456310679611651,1.75,0.800547389137421,0.5145631067961165,0.5555555555555556,0.03398058252427183,0.5728155339805825,-0.03883495145631066,1610,0.484472049689441,0.04950853283483081
CPI,impulse_fade,60,IS,510,103,0.46601941747572817,0.6456310679611651,-1.75,-0.800547389137421,0.4563106796116505,0.4444444444444444,-0.03398058252427183,0.5728155339805825,-0.10679611650485432,1610,0.506832298136646,-0.040812880660917816
CPI,surprise_dir,60,IS,510,64,0.484375,-5.84375,-0.75,-1.1788932482056904,0.53125,0.6415094339622641,-0.015625,0.5728155339805825,-0.08844053398058249,0,,
CPI,evt_long,60,IS,510,103,0.5728155339805825,5.242718446601942,2.5,1.2645289092581125,0.5339805825242718,0.49382716049382713,0.07281553398058249,0.5728155339805825,0.0,1610,0.513664596273292,0.05915093770729052
CPI,impulse_cont,5,Validation,510,36,0.5555555555555556,4.020833333333333,3.625,0.2553305253881728,0.6111111111111112,0.7931034482758621,0.05555555555555558,0.5555555555555556,0.0,533,0.5403377110694184,0.015217844486137166
CPI,impulse_fade,5,Validation,510,36,0.4444444444444444,-4.020833333333333,-3.625,-0.2553305253881728,0.3888888888888889,0.20689655172413793,-0.05555555555555558,0.5555555555555556,-0.11111111111111116,533,0.450281425891182,-0.005836981446737555
CPI,surprise_dir,5,Validation,510,27,0.7037037037037037,17.13888888888889,11.75,1.2198935322756104,0.7037037037037037,0.7619047619047619,0.20370370370370372,0.5555555555555556,0.14814814814814814,0,,
CPI,evt_long,5,Validation,510,36,0.5555555555555556,-2.826388888888889,3.625,-0.14266931553794382,0.5555555555555556,0.4827586206896552,0.05555555555555558,0.5555555555555556,0.0,533,0.4727954971857411,0.08276005836981448
CPI,impulse_cont,10,Validation,510,36,0.5833333333333334,7.673611111111111,7.0,0.6363525048253839,0.6111111111111112,0.7931034482758621,0.08333333333333337,0.5277777777777778,0.05555555555555558,533,0.5365853658536586,0.0467479674796748
CPI,impulse_fade,10,Validation,510,36,0.4166666666666667,-7.673611111111111,-7.0,-0.6363525048253839,0.3888888888888889,0.20689655172413793,-0.08333333333333331,0.5277777777777778,-0.1111111111111111,533,0.4521575984990619,-0.03549093183239521
CPI,surprise_dir,10,Validation,510,27,0.6666666666666666,19.63888888888889,10.25,1.3804228769772076,0.6666666666666666,0.7619047619047619,0.16666666666666663,0.5277777777777778,0.13888888888888884,0,,
CPI,evt_long,10,Validation,510,36,0.5277777777777778,-0.0763888888888889,2.375,0.15695518590072777,0.5,0.4827586206896552,0.02777777777777779,0.5277777777777778,0.0,533,0.48405253283302063,0.04372524494475716
CPI,impulse_cont,15,Validation,510,36,0.6388888888888888,12.51388888888889,14.625,0.9372687595661022,0.5833333333333334,0.7931034482758621,0.13888888888888884,0.5277777777777778,0.11111111111111105,533,0.551594746716698,0.08729414217219089
CPI,impulse_fade,15,Validation,510,36,0.3611111111111111,-12.51388888888889,-14.625,-0.9372687595661022,0.4166666666666667,0.20689655172413793,-0.1388888888888889,0.5277777777777778,-0.16666666666666669,533,0.44090056285178236,-0.07978945174067126
CPI,surprise_dir,15,Validation,510,27,0.7037037037037037,21.87962962962963,20.25,1.4807210645664333,0.6666666666666666,0.7619047619047619,0.20370370370370372,0.5277777777777778,0.17592592592592593,0,,
CPI,evt_long,15,Validation,510,36,0.5277777777777778,6.458333333333333,7.375,0.5719686218401322,0.5277777777777778,0.4827586206896552,0.02777777777777779,0.5277777777777778,0.0,533,0.45590994371482174,0.07186783406295605
CPI,impulse_cont,30,Validation,510,36,0.5833333333333334,13.284722222222221,18.875,1.0704392185711613,0.5833333333333334,0.7931034482758621,0.08333333333333337,0.5277777777777778,0.05555555555555558,533,0.5103189493433395,0.07301438398999383
CPI,impulse_fade,30,Validation,510,36,0.4166666666666667,-13.284722222222221,-18.875,-1.0704392185711613,0.4166666666666667,0.20689655172413793,-0.08333333333333331,0.5277777777777778,-0.1111111111111111,533,0.48405253283302063,-0.06738586616635395
CPI,surprise_dir,30,Validation,510,27,0.7037037037037037,29.25925925925926,25.25,2.281264019877586,0.6296296296296297,0.7619047619047619,0.20370370370370372,0.5277777777777778,0.17592592592592593,0,,
CPI,evt_long,30,Validation,510,36,0.5277777777777778,5.756944444444445,5.25,0.5107230525951264,0.5277777777777778,0.4827586206896552,0.02777777777777779,0.5277777777777778,0.0,533,0.4896810506566604,0.03809672712111739
CPI,impulse_cont,45,Validation,510,36,0.5833333333333334,10.479166666666666,15.875,0.8018115465268044,0.5833333333333334,0.7931034482758621,0.08333333333333337,0.4722222222222222,0.11111111111111116,533,0.5365853658536586,0.0467479674796748
CPI,impulse_fade,45,Validation,510,36,0.4166666666666667,-10.479166666666666,-15.875,-0.8018115465268044,0.4166666666666667,0.20689655172413793,-0.08333333333333331,0.4722222222222222,-0.055555555555555525,533,0.4596622889305816,-0.0429956222639149
CPI,surprise_dir,45,Validation,510,27,0.7037037037037037,36.28703703703704,30.75,2.7876441421340385,0.6296296296296297,0.7619047619047619,0.20370370370370372,0.4722222222222222,0.2314814814814815,0,,
CPI,evt_long,45,Validation,510,36,0.4722222222222222,1.2291666666666667,-7.25,0.19539285113729626,0.5277777777777778,0.4827586206896552,-0.02777777777777779,0.4722222222222222,0.0,533,0.5065666041275797,-0.03434438190535749
CPI,impulse_cont,60,Validation,510,36,0.5277777777777778,4.083333333333333,3.125,0.5127902082397555,0.5833333333333334,0.7857142857142857,0.02777777777777779,0.5277777777777778,0.0,533,0.5028142589118199,0.024963518865957934
CPI,impulse_fade,60,Validation,510,36,0.4722222222222222,-4.083333333333333,-3.125,-0.5127902082397555,0.4166666666666667,0.21428571428571427,-0.02777777777777779,0.5277777777777778,-0.05555555555555558,533,0.49343339587242024,-0.021211173650198034
CPI,surprise_dir,60,Validation,510,27,0.7037037037037037,29.046296296296298,33.75,2.2557455229618237,0.7037037037037037,0.75,0.20370370370370372,0.5277777777777778,0.17592592592592593,0,,
CPI,evt_long,60,Validation,510,36,0.5277777777777778,-2.5694444444444446,3.25,0.0885590818898738,0.4722222222222222,0.5,0.02777777777777779,0.5277777777777778,0.0,533,0.4915572232645403,0.03622055451323747
CPI,impulse_cont,5,OOS,510,15,0.4,-4.083333333333333,-10.25,-0.22341438001445646,0.4,0.42857142857142855,-0.09999999999999998,0.5333333333333333,-0.1333333333333333,316,0.5031645569620253,-0.10316455696202531
