split,N,win_rate,profit_factor,expectancy,total_pnl,max_drawdown,avg_win,avg_loss,median_R,largest_win,largest_loss,max_losing_streak,ambiguous_bars,gap_through_stops,avg_risk,median_risk,p90_risk,avg_mae_R,avg_mfe_R,avg_minutes_to_target,avg_minutes_to_stop,avg_minutes_held,exit_reasons,profile_counts
IS,730,0.33972602739726027,0.8940981093510475,-1.4195205479452055,-1036.25,-1447.0,35.27721774193548,-20.300829875518673,-1.0082305920606962,290.25,-202.75,12,0,2,25.11986301369863,14.0,55.525000000000006,0.9157823798347589,0.9894381351449871,81.21428571428571,69.3529411764706,124.0123287671233,"{'stop': 442, 'target': 168, 'time_exit': 118, 'gap_through_stop': 2}","{'C': 410, 'A': 66, 'B': 254}"
Validation,269,0.3940520446096654,1.1383250237416904,4.3317843866171,1165.25,-930.75,90.46462264150944,-51.68098159509202,-1.0026041666666667,364.25,-221.75,9,1,0,58.894052044609666,40.5,125.60000000000002,0.952767578945974,1.1270716107480947,90.07594936708861,61.825806451612905,116.37174721189591,"{'target': 79, 'stop': 155, 'time_exit': 35}","{'C': 143, 'B': 102, 'A': 24}"
OOS,148,0.36486486486486486,1.0153656252660255,0.6097972972972973,90.25,-1403.25,110.43981481481481,-62.484042553191486,-1.0022321428571428,362.75,-224.5,9,3,0,77.84628378378379,54.125,171.05,0.9561469399927536,1.2186004167808953,40.0,55.955555555555556,102.54729729729729,"{'target': 37, 'time_exit': 21, 'stop': 90}","{'C': 77, 'B': 54, 'A': 17}"
ALL,1147,0.35571054925893636,1.0091041212498701,0.19115082824760243,219.25,-1957.25,59.56311274509804,-32.587956698240866,-1.0042372881355932,364.25,-224.5,12,4,2,39.844158674803836,22.5,96.75,0.9296646583563805,1.0512859316744991,78.30985915492958,65.8995633187773,119.45074106364429,"{'stop': 687, 'target': 284, 'time_exit': 174, 'gap_through_stop': 2}","{'C': 630, 'A': 107, 'B': 410}"
