split,N,win_rate,profit_factor,expectancy,total_pnl,max_drawdown,avg_win,avg_loss,median_R,largest_win,largest_loss,max_losing_streak,ambiguous_bars,gap_through_stops,avg_risk,median_risk,p90_risk,avg_mae_R,avg_mfe_R,avg_minutes_to_target,avg_minutes_to_stop,avg_minutes_held,exit_reasons,profile_counts
IS,326,0.3282208588957055,0.7858419243986254,-1.1947852760736197,-389.5,-456.5,13.357476635514018,-8.304794520547945,-1.0177005012531328,87.25,-64.0,14,0,1,10.700153374233128,6.25,23.125,0.875582416124618,0.8038294633578397,139.0,85.18848167539267,166.98159509202455,"{'time_exit': 79, 'stop': 191, 'target': 55, 'gap_through_stop': 1}","{'C': 167, 'B': 121, 'A': 38}"
Validation,219,0.3515981735159817,1.0230471984543197,0.1906392694063927,41.75,-323.25,24.068181818181817,-12.757042253521126,-1.0129870129870129,83.75,-57.75,8,2,1,14.848173515981735,10.0,30.35000000000001,0.9387414389237154,1.0226712324025573,119.9322033898305,75.2910447761194,125.32876712328768,"{'target': 59, 'stop': 134, 'time_exit': 25, 'gap_through_stop': 1}","{'B': 78, 'C': 113, 'A': 28}"
OOS,131,0.3511450381679389,0.8941270475429485,-1.0114503816793894,-132.5,-215.25,24.32608695652174,-14.723529411764705,-1.011111111111111,93.75,-74.0,8,0,0,17.916030534351144,11.5,35.5,0.8850952548546515,0.9205775271080671,86.93939393939394,59.8974358974359,112.4885496183206,"{'stop': 78, 'target': 33, 'time_exit': 20}","{'A': 12, 'C': 72, 'B': 47}"
ALL,676,0.34023668639053256,0.9016233932503713,-0.7104289940828402,-480.25,-672.75,19.13695652173913,-10.945627802690582,-1.01360607182525,93.75,-74.0,14,2,2,13.442307692307692,8.5,28.75,0.8978871614894651,0.8973506819555808,119.65986394557824,77.00248138957816,142.92751479289942,"{'time_exit': 124, 'stop': 403, 'target': 147, 'gap_through_stop': 2}","{'C': 352, 'B': 246, 'A': 78}"
