month,N,win_rate,profit_factor,expectancy,total_pnl,profitable
2011-05,3,0.3333333333333333,0.14705882352941177,-2.4166666666666665,-7.25,False
2011-06,2,0.0,0.0,-4.5,-9.0,False
2012-03,1,0.0,0.0,-0.75,-0.75,False
2012-07,5,0.2,0.012195121951219513,-4.05,-20.25,False
2012-08,9,0.2222222222222222,0.48739495798319327,-1.6944444444444444,-15.25,False
2012-09,9,0.2222222222222222,0.3404255319148936,-1.7222222222222223,-15.5,False
2012-10,4,0.0,0.0,-4.9375,-19.75,False
2012-11,2,0.0,0.0,-6.75,-13.5,False
2013-04,9,0.3333333333333333,0.9568965517241379,-0.1388888888888889,-1.25,False
2013-05,1,0.0,0.0,-2.75,-2.75,False
2014-02,1,1.0,999.0,3.75,3.75,True
2014-03,2,0.0,0.0,-4.5,-9.0,False
2014-04,3,0.3333333333333333,0.603448275862069,-1.9166666666666667,-5.75,False
2014-06,9,0.6666666666666666,2.810810810810811,1.8611111111111112,16.75,True
2014-07,1,0.0,0.0,-2.5,-2.5,False
2014-09,4,0.5,0.2727272727272727,-1.0,-4.0,False
2015-09,6,0.6666666666666666,2.1805555555555554,3.5416666666666665,21.25,True
2015-10,6,0.0,0.0,-3.7916666666666665,-22.75,False
2016-01,4,0.5,0.9487179487179487,-0.375,-1.5,False
2016-02,14,0.42857142857142855,1.0673758865248226,0.3392857142857143,4.75,True
2016-03,1,0.0,0.0,-2.5,-2.5,False
2016-04,1,0.0,0.0,-4.0,-4.0,False
2016-05,3,0.6666666666666666,3.48,5.166666666666667,15.5,True
2016-06,2,1.0,999.0,6.125,12.25,True
2016-12,5,0.2,0.015625,-3.15,-15.75,False
2017-03,3,0.3333333333333333,1.2272727272727273,0.4166666666666667,1.25,True
2017-04,1,0.0,0.0,-5.0,-5.0,False
2017-05,3,0.3333333333333333,0.8,-0.4166666666666667,-1.25,False
2017-06,4,0.0,0.0,-3.875,-15.5,False
2017-09,3,0.3333333333333333,0.7,-0.75,-2.25,False
2017-10,3,0.3333333333333333,0.6666666666666666,-0.5833333333333334,-1.75,False
2017-11,3,0.0,0.0,-3.0,-9.0,False
2017-12,5,0.2,0.328125,-2.15,-10.75,False
2018-05,4,0.25,1.119047619047619,0.3125,1.25,True
2018-06,5,0.0,0.0,-6.4,-32.0,False
2018-07,6,0.3333333333333333,0.6197183098591549,-1.125,-6.75,False
2018-08,6,0.6666666666666666,3.4545454545454546,3.375,20.25,True
2018-09,11,0.36363636363636365,0.6204379562043796,-1.1818181818181819,-13.0,False
2018-10,3,0.0,0.0,-22.166666666666668,-66.5,False
2018-11,6,0.16666666666666666,0.4336283185840708,-2.6666666666666665,-16.0,False
2018-12,3,0.3333333333333333,0.4823529411764706,-3.6666666666666665,-11.0,False
2019-01,1,0.0,0.0,-3.25,-3.25,False
2019-02,2,0.0,0.0,-6.0,-12.0,False
2019-03,2,1.0,999.0,10.25,20.5,True
2019-05,6,0.3333333333333333,0.7578947368421053,-0.9583333333333334,-5.75,False
2019-06,3,0.3333333333333333,1.1153846153846154,0.25,0.75,True
2019-07,6,0.16666666666666666,0.3023255813953488,-3.75,-22.5,False
2019-08,14,0.42857142857142855,2.1004366812227073,4.5,63.0,True
2019-11,2,0.0,0.0,-4.75,-9.5,False
2019-12,1,1.0,999.0,8.25,8.25,True
2020-01,6,0.5,3.9166666666666665,7.291666666666667,43.75,True
2020-02,1,1.0,999.0,35.75,35.75,True
2020-03,6,0.16666666666666666,0.15267175572519084,-23.125,-138.75,False
2020-04,8,0.375,1.0476190476190477,0.625,5.0,True
2020-05,6,0.16666666666666666,0.28034682080924855,-10.375,-62.25,False
2020-06,8,0.625,2.2956521739130435,9.3125,74.5,True
2020-07,8,0.125,0.00641025641025641,-9.6875,-77.5,False
2020-08,2,0.0,0.0,-8.5,-17.0,False
2020-09,6,0.16666666666666666,0.7338403041825095,-2.9166666666666665,-17.5,False
2020-10,14,0.2857142857142857,0.5697674418604651,-5.285714285714286,-74.0,False
2020-11,1,1.0,999.0,12.75,12.75,True
2020-12,3,0.3333333333333333,0.4782608695652174,-2.0,-6.0,False
2021-01,6,0.3333333333333333,1.4383561643835616,2.6666666666666665,16.0,True
2021-03,3,0.6666666666666666,6.458333333333333,10.916666666666666,32.75,True
2021-04,4,0.5,1.2835820895522387,1.1875,4.75,True
2021-06,3,0.3333333333333333,1.488888888888889,1.8333333333333333,5.5,True
2021-07,2,1.0,999.0,9.0,18.0,True
2021-08,5,0.4,2.660377358490566,4.4,22.0,True
2021-09,3,0.3333333333333333,0.68,-0.6666666666666666,-2.0,False
2021-10,6,0.16666666666666666,0.33225806451612905,-8.625,-51.75,False
2021-11,4,0.5,1.095890410958904,0.4375,1.75,True
2021-12,8,0.375,1.1975308641975309,1.5,12.0,True
2022-01,15,0.26666666666666666,0.2650103519668737,-11.833333333333334,-177.5,False
2022-02,7,0.2857142857142857,1.0813397129186604,1.2142857142857142,8.5,True
2022-03,6,0.6666666666666666,2.0714285714285716,11.25,67.5,True
2022-04,1,0.0,0.0,-18.5,-18.5,False
2022-05,8,0.375,0.8218085106382979,-2.09375,-16.75,False
2022-06,7,0.14285714285714285,0.09414758269720101,-12.714285714285714,-89.0,False
2022-07,3,0.6666666666666666,5.183673469387755,17.083333333333332,51.25,True
2022-08,1,1.0,999.0,50.75,50.75,True
2022-09,8,0.375,1.7836538461538463,5.09375,40.75,True
2022-10,11,0.45454545454545453,3.1031746031746033,12.045454545454545,132.5,True
2022-11,4,0.0,0.0,-18.1875,-72.75,False
2022-12,8,0.375,2.005181347150259,6.0625,48.5,True
2023-01,17,0.4117647058823529,1.1629213483146068,1.2794117647058822,21.75,True
2023-02,4,0.0,0.0,-19.5,-78.0,False
2023-03,4,0.25,0.8841463414634146,-1.1875,-4.75,False
2023-04,3,0.0,0.0,-9.166666666666666,-27.5,False
2023-06,9,0.3333333333333333,0.450261780104712,-2.9166666666666665,-26.25,False
2023-07,10,0.4,0.9364161849710982,-0.275,-2.75,False
2023-08,7,0.14285714285714285,0.10505836575875487,-8.214285714285714,-57.5,False
2023-09,1,0.0,0.0,-20.75,-20.75,False
2023-10,4,0.25,0.20588235294117646,-8.4375,-33.75,False
2023-11,2,0.0,0.0,-7.0,-14.0,False
2023-12,2,0.0,0.0,-3.375,-6.75,False
2024-01,9,0.3333333333333333,1.7580645161290323,3.9166666666666665,35.25,True
2024-04,13,0.46153846153846156,1.6864111498257839,3.7884615384615383,49.25,True
2024-05,8,0.5,1.7924528301886793,2.625,21.0,True
2024-06,2,0.5,6.454545454545454,7.5,15.0,True
2024-07,3,0.0,0.0,-12.0,-36.0,False
2024-08,6,0.16666666666666666,0.6190476190476191,-3.0,-18.0,False
2024-09,11,0.45454545454545453,2.652173913043478,9.5,104.5,True
2024-10,8,0.625,3.2523364485981308,7.53125,60.25,True
2024-11,7,0.5714285714285714,3.148936170212766,7.214285714285714,50.5,True
2024-12,10,0.3,0.8125,-1.5,-15.0,False
2025-01,8,0.25,0.32,-11.6875,-93.5,False
2025-02,12,0.3333333333333333,0.9585635359116023,-0.3125,-3.75,False
2025-03,10,0.1,0.5577777777777778,-4.975,-49.75,False
2025-04,4,0.25,0.16262975778546712,-15.125,-60.5,False
2025-05,5,0.2,0.3026315789473684,-7.95,-39.75,False
2025-06,4,0.5,3.1,9.1875,36.75,True
2025-07,8,0.5,1.107843137254902,0.6875,5.5,True
2025-08,9,0.5555555555555556,1.94,5.222222222222222,47.0,True
2025-09,4,0.25,1.5875,2.9375,11.75,True
2025-10,3,0.6666666666666666,2.56,9.75,29.25,True
2025-11,9,0.3333333333333333,1.061576354679803,0.6944444444444444,6.25,True
2025-12,4,0.25,0.46564885496183206,-4.375,-17.5,False
2026-01,5,0.6,3.574074074074074,6.95,34.75,True
2026-02,13,0.3076923076923077,0.42951541850220265,-4.980769230769231,-64.75,False
2026-03,9,0.3333333333333333,1.3447488584474885,4.194444444444445,37.75,True
2026-05,1,0.0,0.0,-8.5,-8.5,False
2026-06,11,0.36363636363636365,1.0131004366812226,0.13636363636363635,1.5,True
2026-07,11,0.45454545454545453,1.077087794432548,0.8181818181818182,9.0,True
2026-08,1,0.0,0.0,-14.0,-14.0,False
