symbol,split,N,win_rate,profit_factor,expectancy,total_pnl,max_drawdown
ES,ALL,676,0.3402366863905325,0.9016233932503712,-0.7104289940828402,-480.25,-672.75
NQ,ALL,1147,0.3557105492589363,1.00910412124987,0.1911508282476024,219.25,-1957.25
ES,IS,326,0.3282208588957055,0.7858419243986254,-1.1947852760736195,-389.5,-456.5
NQ,IS,730,0.3397260273972602,0.8940981093510475,-1.4195205479452055,-1036.25,-1447.0
ES,OOS,131,0.3511450381679389,0.8941270475429485,-1.0114503816793894,-132.5,-215.25
NQ,OOS,148,0.3648648648648648,1.0153656252660257,0.6097972972972973,90.25,-1403.25
ES,Validation,219,0.3515981735159817,1.0230471984543197,0.1906392694063927,41.75,-323.25
NQ,Validation,269,0.3940520446096654,1.1383250237416904,4.3317843866171,1165.25,-930.75
