entry,stop_mode,stop_pts,tgt_mode,tgt_pts,rr,hold_h,split,n,n_elig,trig_rate,win,E_net,E_R,target_hit,stop_hit,time_exit,median_stop
reclaim_dip15,structural,,rr,,2.0,30,Discovery,212,212,1.0,0.5047169811320755,8.512971698113208,0.16356140602333533,0.14622641509433962,0.2641509433962264,0.589622641509434,33.75
reclaim_dip15,structural,,rr,,2.0,60,Discovery,212,212,1.0,0.4669811320754717,8.22995283018868,0.1505975759429571,0.2028301886792453,0.32547169811320753,0.4716981132075472,33.75
reclaim_dip15,structural,,rr,,1.5,30,Discovery,212,212,1.0,0.5141509433962265,7.03125,0.1290919144092615,0.22641509433962265,0.25471698113207547,0.5188679245283019,33.75
reclaim_dip15,structural,,rr,,2.0,15,Discovery,212,212,1.0,0.5754716981132075,6.632075471698113,0.13334002457536356,0.08490566037735849,0.18867924528301888,0.7264150943396226,33.75
reclaim_dip15,structural,,rr,,1.5,60,Discovery,212,212,1.0,0.49528301886792453,6.398584905660377,0.12025580252645346,0.28773584905660377,0.30660377358490565,0.4056603773584906,33.75
reclaim_dip15,structural,,rr,,1.5,15,Discovery,212,212,1.0,0.5849056603773585,5.736438679245283,0.11509220389727215,0.1320754716981132,0.1792452830188679,0.6886792452830188,33.75
reclaim_dip15,structural,,fixed,20.0,,60,Discovery,212,212,1.0,0.6933962264150944,4.820754716981132,0.08385859879448959,0.6509433962264151,0.22641509433962265,0.12264150943396226,33.75
reclaim_dip15,structural,,rr,,1.0,30,Discovery,212,212,1.0,0.5424528301886793,4.64622641509434,0.07585874473670991,0.35377358490566035,0.24528301886792453,0.4009433962264151,33.75
reclaim_dip15,structural,,fixed,40.0,,60,Discovery,212,212,1.0,0.5141509433962265,4.626179245283019,0.09259934944893787,0.4009433962264151,0.30660377358490565,0.29245283018867924,33.75
reclaim_dip15,structural,,fixed,20.0,,15,Discovery,212,212,1.0,0.6792452830188679,4.455188679245283,0.08128557831650676,0.5141509433962265,0.14622641509433962,0.33962264150943394,33.75
reclaim_dip15,structural,,rr,,1.0,15,Discovery,212,212,1.0,0.5943396226415094,4.4375,0.07151653381518373,0.2358490566037736,0.16981132075471697,0.5943396226415094,33.75
reclaim_dip15,structural,,fixed,40.0,,30,Discovery,212,212,1.0,0.5235849056603774,4.268867924528302,0.08202189264673232,0.33490566037735847,0.2641509433962264,0.4009433962264151,33.75
reclaim_dip15,structural,,fixed,15.0,,60,Discovery,212,212,1.0,0.7452830188679245,4.002358490566038,0.07854982073829019,0.7169811320754716,0.17452830188679244,0.10849056603773585,33.75
reclaim_dip15,structural,,fixed,20.0,,30,Discovery,212,212,1.0,0.6415094339622641,3.9080188679245285,0.06862253142534251,0.5801886792452831,0.19339622641509435,0.22641509433962265,33.75
reclaim_dip15,structural,,rr,,1.0,60,Discovery,212,212,1.0,0.5283018867924528,3.6002358490566038,0.053152309949793565,0.38207547169811323,0.28773584905660377,0.330188679245283,33.75
reclaim_dip15,structural,,fixed,40.0,,15,Discovery,212,212,1.0,0.5754716981132075,3.5672169811320753,0.06878513184642128,0.21226415094339623,0.18867924528301888,0.5990566037735849,33.75
reclaim_dip15,structural,,fixed,25.0,,60,Discovery,212,212,1.0,0.6179245283018868,3.479952830188679,0.07222126851185318,0.5471698113207547,0.25471698113207547,0.19811320754716982,33.75
reclaim_dip15,structural,,fixed,25.0,,15,Discovery,212,212,1.0,0.6273584905660378,3.4422169811320753,0.07260831289661578,0.41037735849056606,0.15566037735849056,0.4339622641509434,33.75
reclaim_dip15,structural,,fixed,25.0,,30,Discovery,212,212,1.0,0.5943396226415094,3.293632075471698,0.07149193411090143,0.5,0.22169811320754718,0.2783018867924528,33.75
reclaim_dip15,structural,,fixed,15.0,,30,Discovery,212,212,1.0,0.7075471698113207,3.2193396226415096,0.05632485956844883,0.6556603773584906,0.16037735849056603,0.18396226415094338,33.75
