entry,stop_mode,stop_pts,tgt_mode,tgt_pts,rr,hold_h,E_net_disc,E_net_val,E_net_oos,n_val,n_oos,win_val,win_oos,median_stop_val
at_open_wstop,structural,-1.0,rr,-1.0,2.0,60,-1.1942508710801394,3.8469072164948455,0.6598557692307693,485,208,0.4144329896907217,0.3173076923076923,29.75
imp20_pb5,fixed,25.0,fixed,40.0,-1.0,60,0.1925981873111782,0.1199494949494949,0.5083798882681564,396,179,0.404040404040404,0.4078212290502793,25.0
imp20_pb10,fixed,25.0,fixed,40.0,-1.0,60,0.1295731707317073,0.1199494949494949,0.5083798882681564,396,179,0.404040404040404,0.4078212290502793,25.0
