family,split,median_E,mean_E,n_cells,pct_pos
at_open,Discovery,-1.3832752613240418,-1.3748566347270617,120,0.0
at_open,OOS,-3.3076923076923075,-3.400651041666667,120,0.008333333333333333
at_open,Validation,-0.8337628865979382,-0.7304789518900344,120,0.20833333333333334
break,Discovery,-0.4661764705882353,-0.418774650150021,360,0.25
break,OOS,-3.2625698324022347,-2.462831307879714,360,0.16666666666666666
break,Validation,-2.589470284237726,-2.7636272571693388,360,0.0
impulse_pb,Discovery,-0.37347560975609756,-0.43422818156633347,720,0.26944444444444443
impulse_pb,OOS,-2.7459893048128343,-2.4813382891800027,720,0.11666666666666667
impulse_pb,Validation,-3.1751113585746102,-2.8418253621472815,720,0.005555555555555556
reclaim,Discovery,0.14718789034251528,0.20031225738284647,360,0.5194444444444445
reclaim,OOS,-3.6243557930902845,-3.673284923070945,360,0.041666666666666664
reclaim,Validation,-1.360079575596817,-1.2471579545724802,360,0.10277777777777777
