entry_style,rev,impulse,pb,dip,target,split,n,win,E_net,E_R,target_hit,stop_hit,time_exit,median_stop_dist,n_days,n_trig,trig_rate
impulse_pb,5.0,10.0,5.0,,20.0,Discovery,254,0.38188976377952755,-0.14960629921259844,-0.09448165573997726,0.30708661417322836,0.594488188976378,0.0984251968503937,9.125,367,254,0.6920980926430518
impulse_pb,5.0,10.0,5.0,,20.0,OOS,93,0.5161290322580645,-0.989247311827957,-0.12879367536855546,0.5161290322580645,0.4838709677419355,0.0,24.25,106,93,0.8773584905660378
impulse_pb,5.0,10.0,5.0,,20.0,Validation,234,0.405982905982906,-3.5256410256410255,-0.22932515535291367,0.405982905982906,0.594017094017094,0.0,19.625,258,234,0.9069767441860465
impulse_pb,5.0,10.0,5.0,,25.0,Discovery,254,0.3661417322834646,0.02952755905511811,-0.06970738208853453,0.25196850393700787,0.6062992125984252,0.14173228346456693,9.125,367,254,0.6920980926430518
impulse_pb,5.0,10.0,5.0,,25.0,OOS,93,0.4838709677419355,-0.24193548387096775,-0.06868503841307065,0.4838709677419355,0.5053763440860215,0.010752688172043012,24.25,106,93,0.8773584905660378
impulse_pb,5.0,10.0,5.0,,25.0,Validation,234,0.358974358974359,-3.871794871794872,-0.24328649380139927,0.3547008547008547,0.6410256410256411,0.004273504273504274,19.625,258,234,0.9069767441860465
impulse_pb,5.0,10.0,5.0,,30.0,Discovery,254,0.3543307086614173,0.2549212598425197,-0.04880623075981131,0.2125984251968504,0.6181102362204725,0.16929133858267717,9.125,367,254,0.6920980926430518
impulse_pb,5.0,10.0,5.0,,30.0,OOS,93,0.45161290322580644,0.41397849462365593,-0.05005377127231798,0.45161290322580644,0.5376344086021505,0.010752688172043012,24.25,106,93,0.8773584905660378
impulse_pb,5.0,10.0,5.0,,30.0,Validation,234,0.32051282051282054,-3.9882478632478633,-0.27321415059007076,0.31196581196581197,0.6752136752136753,0.01282051282051282,19.625,258,234,0.9069767441860465
impulse_pb,5.0,10.0,10.0,,20.0,Discovery,246,0.4065040650406504,0.061991869918699184,-0.06407908770994018,0.32113821138211385,0.556910569105691,0.12195121951219512,11.0,367,246,0.670299727520436
