split,BOTH,HOD_SO_FAR,LOD_SO_FAR,NEITHER
Discovery,0.00538971807628524,0.20066334991708126,0.1480099502487562,0.6459369817578773
OOS,0.021844660194174758,0.21844660194174756,0.12864077669902912,0.6310679611650486
Validation,0.03875968992248062,0.2622739018087855,0.21059431524547803,0.4883720930232558
