split,horizon_m,feature,target,n,spearman
Discovery,15,ret_per_vol,ret,890478,-0.024476176002615348
Discovery,15,ret_per_vol,absret,890478,-0.01452680869899794
Discovery,15,ret_per_vol,rv,890478,-0.023012834901678287
Discovery,15,absret_per_vol,ret,890478,0.0020227108712050144
Discovery,15,absret_per_vol,absret,890478,0.044511392448403735
Discovery,15,absret_per_vol,rv,890478,0.06782758314395135
Discovery,15,range_per_vol,ret,890504,0.0017222332416745258
Discovery,15,range_per_vol,absret,890504,0.01647618804396912
Discovery,15,range_per_vol,rv,890504,0.018863437670420882
Discovery,15,vol_x_range,ret,890504,0.009410818294756951
Discovery,15,vol_x_range,absret,890504,0.3813643644915281
Discovery,15,vol_x_range,rv,890504,0.6615918179663002
Discovery,15,ret_1m,ret,890478,-0.023076661100455115
Discovery,15,ret_1m,absret,890478,-0.014559774135144005
Discovery,15,ret_1m,rv,890478,-0.02371254940144019
Discovery,15,absret_1m,ret,890478,0.006555971200175534
Discovery,15,absret_1m,absret,890478,0.2492678515578314
Discovery,15,absret_1m,rv,890478,0.4310881223206379
Discovery,15,range_pct,ret,890504,0.011493333324852424
Discovery,15,range_pct,absret,890504,0.4100516946477449
Discovery,15,range_pct,rv,890504,0.7134394984364183
Discovery,30,volume,ret,854027,0.012560523257606433
Discovery,30,volume,absret,854027,0.30099670788638216
Discovery,30,volume,rv,854027,0.5459680937124484
Discovery,30,d_volume,ret,854027,-0.0010335680853684808
Discovery,30,d_volume,absret,854027,-0.006640847674189981
Discovery,30,d_volume,rv,854027,-0.01491192360029653
Discovery,30,vol_accel,ret,854027,0.0004460699341298954
Discovery,30,vol_accel,absret,854027,0.015044770564132566
Discovery,30,vol_accel,rv,854027,0.029845253017817038
Discovery,30,vol_z_tod,ret,854027,0.006370638460747988
Discovery,30,vol_z_tod,absret,854027,0.25552988389610554
Discovery,30,vol_z_tod,rv,854027,0.46885009474006956
Discovery,30,signed_vol_proxy,ret,854008,-0.013056918658046807
Discovery,30,signed_vol_proxy,absret,854008,-0.01576750226554469
Discovery,30,signed_vol_proxy,rv,854008,-0.022778841655450636
Discovery,30,signed_vol_proxy_sum_5,ret,844296,-0.011645644833132388
Discovery,30,signed_vol_proxy_sum_5,absret,844296,-0.03348573067003453
Discovery,30,signed_vol_proxy_sum_5,rv,844296,-0.053206868697388054
Discovery,30,signed_vol_proxy_resid,ret,854008,-0.0007329388123523771
Discovery,30,signed_vol_proxy_resid,absret,854008,0.015196055975910953
Discovery,30,signed_vol_proxy_resid,rv,854008,0.02751760705681034
Discovery,30,ret_per_vol,ret,854008,-0.01624678969383872
Discovery,30,ret_per_vol,absret,854008,-0.015837187864283495
Discovery,30,ret_per_vol,rv,854008,-0.022243955294923144
Discovery,30,absret_per_vol,ret,854008,0.0022524763761244226
Discovery,30,absret_per_vol,absret,854008,0.04617769060964638
Discovery,30,absret_per_vol,rv,854008,0.0721023263922787
Discovery,30,range_per_vol,ret,854027,0.0007767750570158344
Discovery,30,range_per_vol,absret,854027,0.022199712645719658
Discovery,30,range_per_vol,rv,854027,0.026045587487112713
Discovery,30,vol_x_range,ret,854027,0.015440429129908841
Discovery,30,vol_x_range,absret,854027,0.37152694496245436
Discovery,30,vol_x_range,rv,854027,0.6707042757347423
Discovery,30,ret_1m,ret,854008,-0.014830017526615755
Discovery,30,ret_1m,absret,854008,-0.016349667930200883
Discovery,30,ret_1m,rv,854008,-0.022868164809708765
Discovery,30,absret_1m,ret,854008,0.010530081777776555
Discovery,30,absret_1m,absret,854008,0.24475544454441042
Discovery,30,absret_1m,rv,854008,0.4394990033414733
Discovery,30,range_pct,ret,854027,0.017503576364203823
Discovery,30,range_pct,absret,854027,0.40299219589424506
Discovery,30,range_pct,rv,854027,0.7288584932342846
Discovery,60,volume,ret,781321,0.016835387889712197
Discovery,60,volume,absret,781321,0.2836510977192262
Discovery,60,volume,rv,781321,0.5238053289074198
Discovery,60,d_volume,ret,781321,-0.000724652786480316
Discovery,60,d_volume,absret,781321,-0.0070598296668236615
Discovery,60,d_volume,rv,781321,-0.014971120258954538
Discovery,60,vol_accel,ret,781321,0.0009094376264212684
Discovery,60,vol_accel,absret,781321,0.013373031837590199
Discovery,60,vol_accel,rv,781321,0.028455271374138263
