split,horizon_m,feature,target,n,spearman
Discovery,15,ret_per_vol,ret,889561,-0.007166258540576996
Discovery,15,ret_per_vol,absret,889561,-0.0165053470917893
Discovery,15,ret_per_vol,rv,889561,-0.026750574477402745
Discovery,15,absret_per_vol,ret,889561,-0.0020341416634183833
Discovery,15,absret_per_vol,absret,889561,0.0069456169090428375
Discovery,15,absret_per_vol,rv,889561,0.018166003190203818
Discovery,15,range_per_vol,ret,889615,-0.0035608576329115133
Discovery,15,range_per_vol,absret,889615,0.001705457614639337
Discovery,15,range_per_vol,rv,889615,0.00828947488969904
Discovery,15,vol_x_range,ret,889615,0.015260090643034546
Discovery,15,vol_x_range,absret,889615,0.39421382824615
Discovery,15,vol_x_range,rv,889615,0.6941312394983955
Discovery,15,ret_1m,ret,889561,-0.006610268869676623
Discovery,15,ret_1m,absret,889561,-0.016054957020553474
Discovery,15,ret_1m,rv,889561,-0.026600536133040645
Discovery,15,absret_1m,ret,889561,0.009196175715161277
Discovery,15,absret_1m,absret,889561,0.25849536871887163
Discovery,15,absret_1m,rv,889561,0.4587414118852413
Discovery,15,range_pct,ret,889615,0.015041486169748555
Discovery,15,range_pct,absret,889615,0.41733792251030993
Discovery,15,range_pct,rv,889615,0.7419483751314632
Discovery,30,volume,ret,852989,0.017775649691781158
Discovery,30,volume,absret,852989,0.3232361986291174
Discovery,30,volume,rv,852989,0.5891990381298471
Discovery,30,d_volume,ret,852989,-0.00038659164779751305
Discovery,30,d_volume,absret,852989,-0.012040915615822649
Discovery,30,d_volume,rv,852989,-0.020938333871545933
Discovery,30,vol_accel,ret,852989,0.0010509238490667698
Discovery,30,vol_accel,absret,852989,0.01899186207426332
Discovery,30,vol_accel,rv,852989,0.03598987579996497
Discovery,30,vol_z_tod,ret,852989,0.011710641854666375
Discovery,30,vol_z_tod,absret,852989,0.259694466646861
Discovery,30,vol_z_tod,rv,852989,0.4695880607828408
Discovery,30,signed_vol_proxy,ret,852959,-0.0018214888001621254
Discovery,30,signed_vol_proxy,absret,852959,-0.014675906928161097
Discovery,30,signed_vol_proxy,rv,852959,-0.024399515549047516
Discovery,30,signed_vol_proxy_sum_5,ret,843233,-0.005164093899276971
Discovery,30,signed_vol_proxy_sum_5,absret,843233,-0.03493842966569138
Discovery,30,signed_vol_proxy_sum_5,rv,843233,-0.057076425976731626
Discovery,30,signed_vol_proxy_resid,ret,852959,-0.0004968816647204218
Discovery,30,signed_vol_proxy_resid,absret,852959,0.0032239302497243444
Discovery,30,signed_vol_proxy_resid,rv,852959,0.005422642583507545
Discovery,30,ret_per_vol,ret,852959,-0.0028665995897639205
Discovery,30,ret_per_vol,absret,852959,-0.015846782551892254
Discovery,30,ret_per_vol,rv,852959,-0.025159530793162285
Discovery,30,absret_per_vol,ret,852959,-0.0024955049056350244
Discovery,30,absret_per_vol,absret,852959,0.0077905284638286835
Discovery,30,absret_per_vol,rv,852959,0.019909202024585747
Discovery,30,range_per_vol,ret,852989,-0.00366152580201407
Discovery,30,range_per_vol,absret,852989,0.0031721101394952627
Discovery,30,range_per_vol,rv,852989,0.010212271348144005
Discovery,30,vol_x_range,ret,852989,0.019255057510050314
Discovery,30,vol_x_range,absret,852989,0.38358418937378197
Discovery,30,vol_x_range,rv,852989,0.7040713375562677
Discovery,30,ret_1m,ret,852959,-0.002263118006281672
Discovery,30,ret_1m,absret,852959,-0.015338829186465147
Discovery,30,ret_1m,rv,852959,-0.024504314287023737
Discovery,30,absret_1m,ret,852959,0.01115451696944938
Discovery,30,absret_1m,absret,852959,0.25288551030735634
Discovery,30,absret_1m,rv,852959,0.4672483162545695
Discovery,30,range_pct,ret,852989,0.01929188807978232
Discovery,30,range_pct,absret,852989,0.40799817625101453
Discovery,30,range_pct,rv,852989,0.7558953426942608
Discovery,60,volume,ret,780358,0.022839931240423415
Discovery,60,volume,absret,780358,0.3047560577619211
Discovery,60,volume,rv,780358,0.5711582966011478
Discovery,60,d_volume,ret,780358,-0.0006343139238206673
Discovery,60,d_volume,absret,780358,-0.010988253888482914
Discovery,60,d_volume,rv,780358,-0.020884334931897737
Discovery,60,vol_accel,ret,780358,0.0019771398272450938
Discovery,60,vol_accel,absret,780358,0.017730429163790987
Discovery,60,vol_accel,rv,780358,0.03474068859033973
Discovery,60,vol_z_tod,ret,780358,0.01610370457191555
Discovery,60,vol_z_tod,absret,780358,0.25025103200664395
Discovery,60,vol_z_tod,rv,780358,0.46891914832664294
Discovery,60,signed_vol_proxy,ret,780346,-5.7933466526825095e-05
Discovery,60,signed_vol_proxy,absret,780346,-0.010834734615353607
Discovery,60,signed_vol_proxy,rv,780346,-0.02258147728419682
Discovery,60,signed_vol_proxy_sum_5,ret,770703,-0.0008875186572565307
Discovery,60,signed_vol_proxy_sum_5,absret,770703,-0.026900111861153785
Discovery,60,signed_vol_proxy_sum_5,rv,770703,-0.053821242955836256
Discovery,60,signed_vol_proxy_resid,ret,780346,0.001753025475719339
Discovery,60,signed_vol_proxy_resid,absret,780346,0.006275209302531631
Discovery,60,signed_vol_proxy_resid,rv,780346,0.005413892206589879
Discovery,60,ret_per_vol,ret,780346,-0.0019604509090301934
Discovery,60,ret_per_vol,absret,780346,-0.013725172189671508
Discovery,60,ret_per_vol,rv,780346,-0.023505461624178367
