resolver,session,T_offset,horizon,universe,split,n,win,E
mom5_follow,LONDON,120,30,ALL,OOS,407,0.4864864864864865,-0.9637592137592138
mom5_follow,LONDON,120,30,ALL,Y2025,254,0.4763779527559055,-2.2273622047244093
mom5_follow,LONDON,120,30,ALL,Y2026,153,0.5032679738562091,1.1339869281045751
mom5_follow,LONDON,120,30,HIGH,IS,749,0.4392523364485981,-0.1909212283044059
mom5_follow,LONDON,120,30,HIGH,Validation,339,0.5162241887905604,0.7359882005899705
mom5_follow,LONDON,120,30,HIGH,OOS,88,0.5340909090909091,1.71875
mom5_follow,LONDON,120,30,HIGH,Y2025,61,0.5081967213114754,1.6352459016393444
mom5_follow,LONDON,120,30,HIGH,Y2026,27,0.5925925925925926,1.9074074074074074
mom5_follow,LONDON,120,60,ALL,IS,2212,0.47468354430379744,-0.0543625678119349
mom5_follow,LONDON,120,60,ALL,Validation,763,0.509829619921363,1.31913499344692
mom5_follow,LONDON,120,60,ALL,OOS,407,0.44717444717444715,-3.1996314496314495
mom5_follow,LONDON,120,60,ALL,Y2025,254,0.4448818897637795,-2.1633858267716537
mom5_follow,LONDON,120,60,ALL,Y2026,153,0.45098039215686275,-4.919934640522876
mom5_follow,LONDON,120,60,HIGH,IS,749,0.4539385847797063,-0.21461949265687583
mom5_follow,LONDON,120,60,HIGH,Validation,339,0.5191740412979351,0.7138643067846607
mom5_follow,LONDON,120,60,HIGH,OOS,88,0.42045454545454547,-3.6136363636363638
mom5_follow,LONDON,120,60,HIGH,Y2025,61,0.4262295081967213,-1.8729508196721312
mom5_follow,LONDON,120,60,HIGH,Y2026,27,0.4074074074074074,-7.546296296296297
mom5_follow,NY_PM,30,30,ALL,IS,2219,0.4925642181162686,0.3671698963497071
mom5_follow,NY_PM,30,30,ALL,Validation,742,0.49865229110512127,-0.7820080862533693
mom5_follow,NY_PM,30,30,ALL,OOS,394,0.4517766497461929,-2.9263959390862944
mom5_follow,NY_PM,30,30,ALL,Y2025,245,0.4326530612244898,-4.974489795918367
mom5_follow,NY_PM,30,30,ALL,Y2026,149,0.48322147651006714,0.4412751677852349
mom5_follow,NY_PM,30,30,HIGH,IS,765,0.5071895424836601,0.19019607843137254
mom5_follow,NY_PM,30,30,HIGH,Validation,272,0.4963235294117647,0.6544117647058824
mom5_follow,NY_PM,30,30,HIGH,OOS,134,0.3880597014925373,-12.462686567164178
mom5_follow,NY_PM,30,30,HIGH,Y2025,91,0.38461538461538464,-14.486263736263735
mom5_follow,NY_PM,30,30,HIGH,Y2026,43,0.3953488372093023,-8.180232558139535
mom5_follow,NY_PM,30,60,ALL,IS,2219,0.4925642181162686,0.5648940964398378
mom5_follow,NY_PM,30,60,ALL,Validation,742,0.46900269541778977,-3.896900269541779
mom5_follow,NY_PM,30,60,ALL,OOS,394,0.4873096446700508,-5.508248730964467
mom5_follow,NY_PM,30,60,ALL,Y2025,245,0.46122448979591835,-11.708163265306123
mom5_follow,NY_PM,30,60,ALL,Y2026,149,0.5302013422818792,4.686241610738255
mom5_follow,NY_PM,30,60,HIGH,IS,765,0.4915032679738562,0.3241830065359477
mom5_follow,NY_PM,30,60,HIGH,Validation,272,0.5147058823529411,0.9917279411764706
mom5_follow,NY_PM,30,60,HIGH,OOS,134,0.43283582089552236,-18.486940298507463
mom5_follow,NY_PM,30,60,HIGH,Y2025,91,0.4175824175824176,-27.678571428571427
mom5_follow,NY_PM,30,60,HIGH,Y2026,43,0.46511627906976744,0.9651162790697675
mom5_follow,NY_PM,60,30,ALL,IS,2239,0.4859312192943278,-0.6105404198302814
mom5_follow,NY_PM,60,30,ALL,Validation,742,0.5053908355795148,-0.8015498652291105
mom5_follow,NY_PM,60,30,ALL,OOS,393,0.5165394402035624,4.037531806615776
mom5_follow,NY_PM,60,30,ALL,Y2025,245,0.5224489795918368,5.318367346938776
mom5_follow,NY_PM,60,30,ALL,Y2026,148,0.5067567567567568,1.9172297297297298
mom5_follow,NY_PM,60,30,HIGH,IS,766,0.48433420365535246,-0.9536553524804178
mom5_follow,NY_PM,60,30,HIGH,Validation,295,0.423728813559322,-6.305084745762712
