resolver,session,T_offset,outcome,universe,split,n,win,E
bar1_follow,LONDON,90,H60,ALL,IS,2022,0.5133531157270029,0.7643422354104846
bar1_follow,LONDON,90,H60,ALL,Validation,751,0.4780292942743009,-0.5645805592543276
bar1_follow,LONDON,90,H60,ALL,OOS,404,0.5123762376237624,-0.24257425742574257
bar1_follow,LONDON,90,H60,HIGH,IS,703,0.5149359886201992,0.5231152204836416
bar1_follow,LONDON,90,H60,HIGH,Validation,318,0.46540880503144655,-1.2830188679245282
bar1_follow,LONDON,90,H60,HIGH,OOS,87,0.5402298850574713,-0.0603448275862069
bar1_follow,LONDON,90,SESS_END,ALL,IS,2022,0.4723046488625124,-1.4840504451038576
bar1_follow,LONDON,90,SESS_END,ALL,Validation,751,0.5312916111850865,2.43508655126498
bar1_follow,LONDON,90,SESS_END,ALL,OOS,404,0.49504950495049505,1.6008663366336633
bar1_follow,LONDON,90,SESS_END,HIGH,IS,703,0.4751066856330014,-1.742176386913229
bar1_follow,LONDON,90,SESS_END,HIGH,Validation,318,0.559748427672956,7.580974842767295
bar1_follow,LONDON,90,SESS_END,HIGH,OOS,87,0.5632183908045977,5.545977011494253
bar1_follow,LONDON,120,H30,ALL,IS,1980,0.501010101010101,-0.00909090909090909
bar1_follow,LONDON,120,H30,ALL,Validation,752,0.49069148936170215,-0.28856382978723405
bar1_follow,LONDON,120,H30,ALL,OOS,397,0.49370277078085645,-0.7222921914357683
bar1_follow,LONDON,120,H30,HIGH,IS,677,0.5081240768094535,0.5542836041358936
bar1_follow,LONDON,120,H30,HIGH,Validation,333,0.5225225225225225,0.7537537537537538
bar1_follow,LONDON,120,H30,HIGH,OOS,87,0.45977011494252873,-3.353448275862069
bar1_follow,LONDON,120,H60,ALL,IS,1980,0.4803030303030303,-0.2772727272727273
bar1_follow,LONDON,120,H60,ALL,Validation,752,0.5039893617021277,-0.23371010638297873
bar1_follow,LONDON,120,H60,ALL,OOS,397,0.4634760705289673,-2.3652392947103276
bar1_follow,LONDON,120,H60,HIGH,IS,677,0.4918759231905465,0.861890694239291
bar1_follow,LONDON,120,H60,HIGH,Validation,333,0.5075075075075075,0.7665165165165165
bar1_follow,LONDON,120,H60,HIGH,OOS,87,0.3563218390804598,-10.310344827586206
bar1_follow,LONDON,120,SESS_END,ALL,IS,1980,0.5055555555555555,0.04734848484848485
bar1_follow,LONDON,120,SESS_END,ALL,Validation,752,0.48271276595744683,-2.3949468085106385
bar1_follow,LONDON,120,SESS_END,ALL,OOS,397,0.5062972292191436,5.964105793450882
bar1_follow,LONDON,120,SESS_END,HIGH,IS,677,0.5066469719350074,0.8264401772525849
bar1_follow,LONDON,120,SESS_END,HIGH,Validation,333,0.4864864864864865,-1.2214714714714714
bar1_follow,LONDON,120,SESS_END,HIGH,OOS,87,0.367816091954023,-12.597701149425287
bar1_follow,NY_PM,15,H30,ALL,IS,2122,0.49717247879359094,0.11687087653157399
bar1_follow,NY_PM,15,H30,ALL,Validation,732,0.48770491803278687,-0.578551912568306
bar1_follow,NY_PM,15,H30,ALL,OOS,392,0.5255102040816326,3.7448979591836733
bar1_follow,NY_PM,15,H30,HIGH,IS,731,0.5047879616963065,0.8009575923392613
bar1_follow,NY_PM,15,H30,HIGH,Validation,281,0.5266903914590747,1.459964412811388
bar1_follow,NY_PM,15,H30,HIGH,OOS,129,0.5658914728682171,7.054263565891473
bar1_follow,NY_PM,15,H60,ALL,IS,2122,0.5122525918944392,0.9033930254476908
bar1_follow,NY_PM,15,H60,ALL,Validation,732,0.4959016393442623,-0.7984972677595629
bar1_follow,NY_PM,15,H60,ALL,OOS,392,0.5280612244897959,2.267219387755102
bar1_follow,NY_PM,15,H60,HIGH,IS,731,0.5198358413132695,2.2171682626538987
bar1_follow,NY_PM,15,H60,HIGH,Validation,281,0.5195729537366548,1.4991103202846976
bar1_follow,NY_PM,15,H60,HIGH,OOS,129,0.5891472868217055,9.176356589147288
bar1_follow,NY_PM,15,SESS_END,ALL,IS,2122,0.5089538171536286,1.2307964184731386
bar1_follow,NY_PM,15,SESS_END,ALL,Validation,732,0.4726775956284153,-6.334357923497268
bar1_follow,NY_PM,15,SESS_END,ALL,OOS,392,0.5306122448979592,15.887755102040817
