run,n_trades,total_pnl_nq,expectancy_r,expectancy_usd
0,400,-28398.250000000076,-0.10153584563319601,-70.99562500000019
1,400,-3201.2500000003183,-0.1383411047225543,-8.003125000000797
2,400,-4077.750000000524,-0.03779427076863182,-10.19437500000131
3,400,-478.9999999995325,-0.08556455955597901,-1.1974999999988314
4,400,-31336.7499999999,-0.19010378963887867,-78.34187499999976
5,400,-12650.999999999867,-0.08956847983214895,-31.627499999999667
6,400,-34186.25000000011,-0.17331862911617468,-85.46562500000027
7,400,-4640.999999999599,-0.11021484195155237,-11.602499999998997
8,400,1476.2500000002638,0.018532031941306662,3.6906250000006593
9,400,10254.000000000115,-0.05222562636136105,25.635000000000286
10,400,16748.00000000013,0.05684615002579738,41.870000000000324
11,400,15103.499999999876,0.08348163485279683,37.758749999999694
12,400,9847.499999999993,0.032436725839677355,24.61874999999998
13,400,-25397.499999999814,-0.22441348968220226,-63.49374999999954
14,400,-8924.499999999925,-0.1498619577388158,-22.311249999999813
15,400,-3756.2500000001,-0.1155479390402131,-9.39062500000025
16,400,-47.75000000021464,-0.016856378945789816,-0.11937500000053661
17,400,10785.750000000528,0.05416585237089024,26.96437500000132
18,400,2453.2499999997435,-0.022279860478952505,6.1331249999993585
19,400,2063.7500000002046,-0.10717859172224724,5.159375000000511
20,400,-20663.000000000193,-0.10841624956521029,-51.65750000000048
21,400,-1740.7500000004075,-0.18249863073878672,-4.3518750000010185
22,400,-16882.499999999724,-0.06267186397356539,-42.20624999999931
23,400,-4277.749999999846,-0.03753143360332389,-10.694374999999615
24,400,23978.500000000175,0.059382733582394966,59.94625000000044
25,400,-1398.7499999999818,-0.10469447357347982,-3.4968749999999544
26,400,-3688.2499999998527,-0.07997233476149304,-9.220624999999632
27,400,-11529.999999999909,-0.11327904562602392,-28.824999999999772
28,400,1722.000000000071,-0.10570356037425874,4.305000000000177
29,400,-16090.250000000166,-0.09604945320823095,-40.22562500000041
30,400,-6070.999999999967,-0.09662949569973632,-15.177499999999919
31,400,-23375.499999999738,-0.17020282364387185,-58.438749999999345
32,400,-30469.750000000266,-0.16821844120487847,-76.17437500000067
