weekday,n,expectancy_r,pnl
0,9,0.06894581251879726,-705.0
1,9,-0.5231512059158938,905.0
2,10,-0.8188502745482374,-2445.0
3,7,0.57338048855906,705.0
4,4,-0.2952035240325639,-560.0
