rank,candidate,label,eligible,train_trades,train_net_points,train_avg_net_points,train_profit_factor,train_max_drawdown_points,train_avg_risk_points,inner_trades,inner_net_points,inner_avg_net_points,inner_profit_factor,inner_max_drawdown_points,inner_avg_risk_points,combined_trades,combined_net_points,combined_avg_net_points,combined_profit_factor,combined_max_drawdown_points,combined_avg_risk_points
1,baseline_control,#1 Baseline control,True,1441,-1429.0,-0.9916724496877168,0.8974616557538793,-2117.25,32.61832061068702,677,2393.75,3.5358197932053175,1.1374553180493547,-1065.25,99.67355982274742,2118,964.75,0.4555004721435316,1.0307725431405697,-2184.25,54.051935788479696
2,target_1_5r,#3 1.5R target,True,1441,-1512.875,-1.0498785565579458,0.8941286586539303,-2438.0,32.61832061068702,677,2328.0,3.4387001477104873,1.131033124138125,-1099.125,99.67355982274742,2118,815.125,0.38485599622285177,1.0254279586664068,-2438.0,54.051935788479696
3,half_ib_stop,#2 Half-IB stop,True,1441,-1181.5,-0.8199167244968771,0.8830082186355085,-1602.125,14.910131852879944,677,1478.625,2.1840841949778436,1.1143683106285471,-873.0,45.67115952732644,2118,297.125,0.14028564683663833,1.0129029806590997,-1630.5,24.742622757318223
4,early_breakout,#4 Early-breakout filter,True,1115,-1244.75,-1.1163677130044842,0.8936565570269116,-2031.75,32.59394618834081,527,1205.0,2.286527514231499,1.0797485109199205,-1038.75,100.15749525616698,1642,-39.75,-0.024208282582216807,0.9985176207346634,-2031.75,54.27847137637028
5,half_ib_early,#5 Half-IB stop + early-breakout filter,True,1115,-780.0,-0.6995515695067265,0.90324531344487,-1369.0,14.840022421524663,527,748.75,1.4207779886148009,1.0702326235812776,-1179.875,45.69924098671727,1642,-31.25,-0.01903166869671133,0.9983308964421389,-1369.0,24.744290499390985
