split,regime,n,ret1_mean,ret1_n,ret5_mean,ret5_n,ret10_mean,ret10_n,ret15_mean,ret15_n,ret30_mean,ret30_n,ret60_mean,ret60_n,rv5_mean,rv15_mean,rv30_mean,rv60_mean
Validation,C,389,-4.792114306961033e-06,389,-2.5918278895051393e-05,389,-9.346390930128194e-05,389,-0.00016438693631796582,389,-0.0003097667621616973,389,-0.0005651826887367298,389,0.0006772311205712882,0.0012888223228694775,0.0018832038201600872,0.002678429726813066
OOS,C,9714,-8.933830507845155e-07,9714,-4.236718622963692e-06,9714,1.2268540289444206e-05,9709,3.014148649582125e-05,9704,9.01074643008514e-05,9689,0.00021035998788905303,9659,0.00048381816887710984,0.0009229267687896215,0.0013503584790694068,0.0019815697835114813
