market,timeframe,arm,split,trades,win_rate,gross_expectancy_pts,net_expectancy_pts,net_total_pts,profit_factor,cost_burden_of_abs_gross
NQ,1m,breakout,IS,5866,0.1965564268666894,0.03703545857483805,-0.962964541425162,-5648.75,0.43475759243508283,0.47545135863508337
NQ,1m,retest,IS,1583,0.2255211623499684,0.10723310170562224,-0.8927668982943777,-1413.25,0.5022891354111639,0.41787104863723357
NQ,1m,breakout,Validation,1550,0.4206451612903226,0.7469354838709678,-0.25306451612903225,-392.25,0.9209731036566938,0.16426016690952444
NQ,1m,retest,Validation,593,0.3591905564924115,0.2575885328836425,-0.7424114671163575,-440.25,0.7384135472370766,0.2088947600176134
NQ,1m,breakout,OOS,828,0.4468599033816425,0.9317632850241546,-0.06823671497584541,-56.5,0.9889885012668096,0.08143594787312515
NQ,1m,retest,OOS,304,0.48026315789473684,2.096217105263158,1.096217105263158,333.25,1.2331642469826831,0.09508171084525764
NQ,5m,breakout,IS,5164,0.3634779240898528,0.40448295894655306,-0.5955170410534469,-3075.25,0.8013789317315766,0.19023235681460265
NQ,5m,retest,IS,2573,0.3688301593470657,0.21871356393315197,-0.781286436066848,-2010.25,0.7515679550159112,0.18636487098234494
NQ,5m,breakout,Validation,1548,0.417312661498708,-0.5182493540051679,-1.518249354005168,-2350.25,0.7604474569360922,0.09064691329107438
NQ,5m,retest,Validation,880,0.4431818181818182,0.6264204545454546,-0.37357954545454547,-328.75,0.9300717894177081,0.09742326534001274
NQ,5m,breakout,OOS,826,0.46731234866828086,-0.5214891041162227,-1.5214891041162228,-1256.75,0.8620472008781559,0.04878985218328682
NQ,5m,retest,OOS,458,0.46943231441048033,-0.8067685589519651,-1.806768558951965,-827.5,0.8502601221443112,0.04486237633460672
NQ,15m,breakout,IS,4434,0.43527289129454216,-0.42089535408209294,-1.420895354082093,-6300.25,0.7975156477233466,0.07973923794537485
NQ,15m,retest,IS,2678,0.44100074682598955,-0.4308252427184466,-1.4308252427184467,-3831.75,0.8160620207135743,0.07112456758892231
NQ,15m,breakout,Validation,1442,0.4403606102635229,-2.330617198335645,-3.330617198335645,-4802.75,0.7797863316444669,0.03729012988188442
NQ,15m,retest,Validation,932,0.43991416309012876,-3.89887339055794,-4.89887339055794,-4565.75,0.6998734614057287,0.03617275205945993
NQ,15m,breakout,OOS,768,0.5078125,0.12044270833333333,-0.8795572916666666,-675.5,0.9609362575720337,0.022631167950965803
NQ,15m,retest,OOS,478,0.5230125523012552,1.4869246861924685,0.4869246861924686,232.75,1.0213141025641026,0.02163067211204507
NQ,30m,breakout,IS,3297,0.4537458295420079,-0.7860175917500758,-1.7860175917500758,-5888.5,0.8466206932478983,0.04662574951917638
NQ,30m,retest,IS,1964,0.4404276985743381,-2.471359470468432,-3.471359470468432,-6817.75,0.7376930919723755,0.04365584347023945
NQ,30m,breakout,Validation,1217,0.4560394412489729,-5.968570254724733,-6.968570254724733,-8480.75,0.7573184341555543,0.01984759590490441
NQ,30m,retest,Validation,822,0.4744525547445255,-5.673053527980535,-6.673053527980535,-5485.25,0.7827128950156966,0.018280783493920306
NQ,30m,breakout,OOS,644,0.4953416149068323,-1.000388198757764,-2.000388198757764,-1288.25,0.9493253874596805,0.01299677603265339
NQ,30m,retest,OOS,409,0.4743276283618582,-0.5330073349633252,-1.533007334963325,-627.0,0.9636268708666899,0.012090575854321864
NQ,1h,breakout,IS,2103,0.4992867332382311,1.673204945316215,0.6732049453162149,1415.75,1.0455356855681708,0.033049538948716636
NQ,1h,retest,IS,1147,0.46817785527462946,-1.3391455972101134,-2.339145597210113,-2683.0,0.8736177679381043,0.028870961652214405
NQ,1h,breakout,Validation,843,0.4958481613285884,1.7093712930011862,0.7093712930011863,598.0,1.0184296291730552,0.012870916766544777
NQ,1h,retest,Validation,549,0.49544626593806923,-2.5860655737704916,-3.5860655737704916,-1968.75,0.9186366078439476,0.01182622557071232
NQ,1h,breakout,OOS,445,0.48089887640449436,-7.531460674157303,-8.531460674157303,-3796.5,0.8610524004282067,0.008753897451533899
NQ,1h,retest,OOS,283,0.48056537102473496,-3.067137809187279,-4.067137809187279,-1151.0,0.9397933830260233,0.007633073053633801
NQ,2h,breakout,IS,1381,0.5155684286748733,-1.6214699493120928,-2.6214699493120928,-3620.25,0.885958418648606,0.023041916767123975
NQ,2h,retest,IS,812,0.5,-2.5985221674876846,-3.5985221674876846,-2922.0,0.8650502251472116,0.02010249300621395
NQ,2h,breakout,Validation,563,0.4920071047957371,6.088365896980462,5.088365896980462,2864.75,1.1126756408617586,0.010482853645025998
NQ,2h,retest,Validation,336,0.48214285714285715,6.383184523809524,5.383184523809524,1808.75,1.1098408939090303,0.009674284685981645
NQ,2h,breakout,OOS,280,0.48214285714285715,-15.407142857142857,-16.40714285714286,-4594.0,0.7934538260947757,0.007021063189568706
NQ,2h,retest,OOS,173,0.48554913294797686,-6.861271676300578,-7.861271676300578,-1360.0,0.908249144052217,0.006116964853970723
NQ,4h,breakout,IS,817,0.5214198286413708,-0.8011015911872705,-1.8011015911872705,-1471.5,0.9514804800844104,0.013794850147741664
NQ,4h,retest,IS,539,0.49165120593692024,-4.044990723562152,-5.044990723562152,-2719.25,0.8807464175684417,0.012570475707380782
NQ,4h,breakout,Validation,352,0.4914772727272727,-0.3884943181818182,-1.3884943181818181,-488.75,0.9823930977340682,0.0063970631664554
NQ,4h,retest,Validation,220,0.4954545454545455,2.246590909090909,1.246590909090909,274.25,1.0146448262512182,0.0058312515323601325
NQ,4h,breakout,OOS,178,0.42696629213483145,-23.415730337078653,-24.415730337078653,-4346.0,0.808990122073156,0.0043273730657493285
NQ,4h,retest,OOS,118,0.3898305084745763,-13.96822033898305,-14.96822033898305,-1766.25,0.879185334655768,0.00429923397123521
