resolver,session,T_offset,outcome,universe,split,n,win,E
gap_follow,NY_PM,90,SESS_END,ALL,IS,2329,0.5023615285530271,0.26363246028338344
gap_follow,NY_PM,90,SESS_END,ALL,Validation,746,0.5844504021447721,9.058981233243967
gap_follow,NY_PM,90,SESS_END,ALL,OOS,397,0.5188916876574308,5.015113350125945
gap_follow,NY_PM,90,SESS_END,HIGH,IS,789,0.49049429657794674,-1.0754119138149556
gap_follow,NY_PM,90,SESS_END,HIGH,Validation,295,0.576271186440678,4.986440677966102
gap_follow,NY_PM,90,SESS_END,HIGH,OOS,142,0.47183098591549294,1.772887323943662
gap_follow,NY_PM,120,SESS_END,ALL,IS,2329,0.49763847144697293,-0.09263632460283383
gap_follow,NY_PM,120,SESS_END,ALL,Validation,746,0.5750670241286864,9.074731903485254
gap_follow,NY_PM,120,SESS_END,ALL,OOS,397,0.491183879093199,4.740554156171284
gap_follow,NY_PM,120,SESS_END,HIGH,IS,790,0.5050632911392405,-0.18037974683544303
gap_follow,NY_PM,120,SESS_END,HIGH,Validation,296,0.5506756756756757,2.7432432432432434
gap_follow,NY_PM,120,SESS_END,HIGH,OOS,137,0.48905109489051096,1.7116788321167884
gap_follow,NY_AM,30,SESS_END,ALL,IS,2402,0.5233139050791007,1.7594712739383847
gap_follow,NY_AM,30,SESS_END,ALL,Validation,774,0.4909560723514212,-5.718023255813954
gap_follow,NY_AM,30,SESS_END,ALL,OOS,412,0.4878640776699029,-11.239684466019417
gap_follow,NY_AM,30,SESS_END,HIGH,IS,815,0.5558282208588957,2.6616564417177915
gap_follow,NY_AM,30,SESS_END,HIGH,Validation,214,0.5280373831775701,3.921728971962617
gap_follow,NY_AM,30,SESS_END,HIGH,OOS,149,0.5369127516778524,-11.310402684563758
gap_follow,NY_AM,60,SESS_END,ALL,IS,2405,0.5072765072765073,1.0103950103950103
gap_follow,NY_AM,60,SESS_END,ALL,Validation,774,0.5219638242894057,-3.2464470284237725
gap_follow,NY_AM,60,SESS_END,ALL,OOS,412,0.4830097087378641,-9.005461165048544
gap_follow,NY_AM,60,SESS_END,HIGH,IS,817,0.5299877600979193,1.0553855569155446
gap_follow,NY_AM,60,SESS_END,HIGH,Validation,240,0.5208333333333334,2.2875
gap_follow,NY_AM,60,SESS_END,HIGH,OOS,153,0.46405228758169936,-10.357843137254902
gap_follow,NY_AM,90,SESS_END,ALL,IS,2405,0.501039501039501,0.8217255717255717
gap_follow,NY_AM,90,SESS_END,ALL,Validation,774,0.524547803617571,-1.7897286821705427
gap_follow,NY_AM,90,SESS_END,ALL,OOS,412,0.5121359223300971,-5.41747572815534
gap_follow,NY_AM,90,SESS_END,HIGH,IS,815,0.50920245398773,0.20306748466257668
gap_follow,NY_AM,90,SESS_END,HIGH,Validation,249,0.5421686746987951,5.168674698795181
gap_follow,NY_AM,90,SESS_END,HIGH,OOS,135,0.5259259259259259,-6.157407407407407
gap_follow,ASIA,30,H240,ALL,IS,1899,0.5002632964718273,-0.5766192733017378
gap_follow,ASIA,30,H240,ALL,Validation,737,0.48846675712347354,-1.896540027137042
gap_follow,ASIA,30,H240,ALL,OOS,396,0.5075757575757576,3.827651515151515
gap_follow,ASIA,30,H240,HIGH,IS,687,0.5094614264919942,0.24199417758369723
gap_follow,ASIA,30,H240,HIGH,Validation,198,0.5353535353535354,-2.457070707070707
gap_follow,ASIA,30,H240,HIGH,OOS,215,0.4604651162790698,0.12906976744186047
gap_follow,ASIA,30,SESS_END,ALL,IS,1999,0.49824912456228115,-1.159079539769885
gap_follow,ASIA,30,SESS_END,ALL,Validation,737,0.5305291723202171,1.6977611940298507
gap_follow,ASIA,30,SESS_END,ALL,OOS,397,0.5390428211586902,4.9691435768261965
gap_follow,ASIA,30,SESS_END,HIGH,IS,700,0.5057142857142857,-0.5796428571428571
gap_follow,ASIA,30,SESS_END,HIGH,Validation,198,0.5757575757575758,5.877525252525253
gap_follow,ASIA,30,SESS_END,HIGH,OOS,216,0.5185185185185185,5.326388888888889
gap_follow,ASIA,60,H240,ALL,IS,1774,0.4983089064261556,-0.11006200676437429
gap_follow,ASIA,60,H240,ALL,Validation,737,0.5047489823609227,-0.2194708276797829
gap_follow,ASIA,60,H240,ALL,OOS,396,0.5025252525252525,3.6035353535353534
gap_follow,ASIA,60,H240,HIGH,IS,631,0.49920760697305866,0.5249603803486529
gap_follow,ASIA,60,H240,HIGH,Validation,175,0.5542857142857143,1.0285714285714285
gap_follow,ASIA,60,H240,HIGH,OOS,199,0.45226130653266333,-8.146984924623116
gap_follow,ASIA,60,SESS_END,ALL,IS,1891,0.4907456372289794,-0.9124801692226335
gap_follow,ASIA,60,SESS_END,ALL,Validation,737,0.519674355495251,2.4196065128900948
gap_follow,ASIA,60,SESS_END,ALL,OOS,397,0.5617128463476071,4.479848866498741
gap_follow,ASIA,60,SESS_END,HIGH,IS,656,0.4801829268292683,-1.5419207317073171
gap_follow,ASIA,60,SESS_END,HIGH,Validation,175,0.5485714285714286,6.118571428571428
gap_follow,ASIA,60,SESS_END,HIGH,OOS,200,0.51,-5.33
gap_follow,ASIA,90,H240,ALL,IS,1628,0.4975429975429975,-0.5006142506142506
gap_follow,ASIA,90,H240,ALL,Validation,737,0.47489823609226595,-1.2262550881953866
gap_follow,ASIA,90,H240,ALL,OOS,396,0.51010101010101,1.6534090909090908
gap_follow,ASIA,90,H240,HIGH,IS,573,0.4973821989528796,0.1457242582897033
gap_follow,ASIA,90,H240,HIGH,Validation,163,0.4723926380368098,-8.035276073619633
gap_follow,ASIA,90,H240,HIGH,OOS,195,0.48717948717948717,-6.65
gap_follow,ASIA,90,SESS_END,ALL,IS,1732,0.4959584295612009,-0.8370381062355658
gap_follow,ASIA,90,SESS_END,ALL,Validation,737,0.5101763907734057,1.521709633649932
gap_follow,ASIA,90,SESS_END,ALL,OOS,397,0.5440806045340051,1.7865239294710327
gap_follow,ASIA,90,SESS_END,HIGH,IS,588,0.49489795918367346,-1.155187074829932
gap_follow,ASIA,90,SESS_END,HIGH,Validation,163,0.4785276073619632,-2.0521472392638036
gap_follow,ASIA,90,SESS_END,HIGH,OOS,196,0.5204081632653061,-3.544642857142857
gap_follow,ASIA,120,H240,ALL,IS,2043,0.5007342143906021,-0.5597161037689672
gap_follow,ASIA,120,H240,ALL,Validation,737,0.48846675712347354,-0.03867028493894165
gap_follow,ASIA,120,H240,ALL,OOS,396,0.5252525252525253,2.486111111111111
gap_follow,ASIA,120,H240,HIGH,IS,714,0.4957983193277311,-0.29446778711484595
gap_follow,ASIA,120,H240,HIGH,Validation,161,0.5341614906832298,2.108695652173913
gap_follow,ASIA,120,H240,HIGH,OOS,185,0.5459459459459459,-4.235135135135135
gap_follow,ASIA,120,SESS_END,ALL,IS,2127,0.5054066760695816,-0.8028913963328632
gap_follow,ASIA,120,SESS_END,ALL,Validation,737,0.5223880597014925,2.4304613297150612
gap_follow,ASIA,120,SESS_END,ALL,OOS,397,0.5415617128463476,2.2493702770780857
gap_follow,ASIA,120,SESS_END,HIGH,IS,739,0.5047361299052774,-0.6864005412719891
gap_follow,ASIA,120,SESS_END,HIGH,Validation,161,0.5279503105590062,4.433229813664596
gap_follow,ASIA,120,SESS_END,HIGH,OOS,186,0.532258064516129,-1.0201612903225807
gap_follow,ASIA,180,H240,ALL,IS,1922,0.48803329864724243,-0.8874869927159209
gap_follow,ASIA,180,H240,ALL,Validation,737,0.4898236092265943,0.19911804613297152
gap_follow,ASIA,180,H240,ALL,OOS,396,0.5303030303030303,3.1452020202020203
gap_follow,ASIA,180,H240,HIGH,IS,672,0.49851190476190477,-0.29055059523809523
gap_follow,ASIA,180,H240,HIGH,Validation,159,0.49056603773584906,2.3679245283018866
gap_follow,ASIA,180,H240,HIGH,OOS,189,0.5026455026455027,0.15873015873015872
gap_follow,ASIA,180,SESS_END,ALL,IS,1992,0.4939759036144578,-0.7692018072289156
gap_follow,ASIA,180,SESS_END,ALL,Validation,737,0.5101763907734057,2.462008141112619
gap_follow,ASIA,180,SESS_END,ALL,OOS,397,0.5440806045340051,2.804785894206549
gap_follow,ASIA,180,SESS_END,HIGH,IS,688,0.4956395348837209,-0.8063226744186046
gap_follow,ASIA,180,SESS_END,HIGH,Validation,159,0.49056603773584906,3.691823899371069
gap_follow,ASIA,180,SESS_END,HIGH,OOS,190,0.5157894736842106,-1.6078947368421053
prior_day_color,LONDON,30,H240,ALL,IS,2394,0.5,0.5621345029239766
prior_day_color,LONDON,30,H240,ALL,Validation,774,0.4780361757105943,-1.2806847545219637
prior_day_color,LONDON,30,H240,ALL,OOS,413,0.5230024213075061,2.9897094430992737
prior_day_color,LONDON,30,H240,HIGH,IS,816,0.5171568627450981,0.8572303921568627
prior_day_color,LONDON,30,H240,HIGH,Validation,324,0.49074074074074076,2.265432098765432
prior_day_color,LONDON,30,H240,HIGH,OOS,67,0.4925373134328358,-0.208955223880597
prior_day_color,LONDON,30,SESS_END,ALL,IS,2395,0.4893528183716075,1.1349686847599165
prior_day_color,LONDON,30,SESS_END,ALL,Validation,774,0.4844961240310077,-4.7299741602067185
prior_day_color,LONDON,30,SESS_END,ALL,OOS,413,0.5326876513317191,0.9661016949152542
prior_day_color,LONDON,30,SESS_END,HIGH,IS,816,0.5122549019607843,0.5958946078431373
prior_day_color,LONDON,30,SESS_END,HIGH,Validation,324,0.5030864197530864,-2.5285493827160495
prior_day_color,LONDON,30,SESS_END,HIGH,OOS,67,0.5373134328358209,-6.477611940298507
prior_day_color,LONDON,60,H240,ALL,IS,2392,0.4899665551839465,0.2001463210702341
prior_day_color,LONDON,60,H240,ALL,Validation,774,0.46124031007751937,-1.3517441860465116
prior_day_color,LONDON,60,H240,ALL,OOS,413,0.5302663438256658,4.7058111380145276
prior_day_color,LONDON,60,H240,HIGH,IS,816,0.5024509803921569,0.7144607843137255
prior_day_color,LONDON,60,H240,HIGH,Validation,316,0.4936708860759494,1.807753164556962
prior_day_color,LONDON,60,H240,HIGH,OOS,72,0.5,12.743055555555555
prior_day_color,LONDON,60,SESS_END,ALL,IS,2399,0.4885368903709879,1.0722175906627762
prior_day_color,LONDON,60,SESS_END,ALL,Validation,774,0.4689922480620155,-4.999031007751938
prior_day_color,LONDON,60,SESS_END,ALL,OOS,413,0.5375302663438256,3.00363196125908
prior_day_color,LONDON,60,SESS_END,HIGH,IS,817,0.4883720930232558,0.3898408812729498
prior_day_color,LONDON,60,SESS_END,HIGH,Validation,316,0.5031645569620253,-2.1479430379746836
prior_day_color,LONDON,60,SESS_END,HIGH,OOS,72,0.5138888888888888,0.1736111111111111
prior_day_color,LONDON,90,H240,ALL,IS,2382,0.4966414777497901,0.2716204869857263
prior_day_color,LONDON,90,H240,ALL,Validation,774,0.4883720930232558,-0.3084625322997416
prior_day_color,LONDON,90,H240,ALL,OOS,413,0.49878934624697335,-2.391041162227603
prior_day_color,LONDON,90,H240,HIGH,IS,813,0.5055350553505535,0.3016605166051661
prior_day_color,LONDON,90,H240,HIGH,Validation,331,0.48338368580060426,1.3564954682779455
prior_day_color,LONDON,90,H240,HIGH,OOS,89,0.5393258426966292,6.98314606741573
prior_day_color,LONDON,90,SESS_END,ALL,IS,2394,0.49373433583959897,1.02015455304929
prior_day_color,LONDON,90,SESS_END,ALL,Validation,774,0.4754521963824289,-2.977390180878553
prior_day_color,LONDON,90,SESS_END,ALL,OOS,413,0.5375302663438256,1.8771186440677967
prior_day_color,LONDON,90,SESS_END,HIGH,IS,815,0.5030674846625767,0.9831288343558282
prior_day_color,LONDON,90,SESS_END,HIGH,Validation,331,0.4622356495468278,-2.0709969788519635
prior_day_color,LONDON,90,SESS_END,HIGH,OOS,89,0.5393258426966292,-1.3792134831460674
prior_day_color,LONDON,120,H240,ALL,IS,2364,0.4890016920473773,0.581324027072758
prior_day_color,LONDON,120,H240,ALL,Validation,774,0.4689922480620155,-3.731589147286822
prior_day_color,LONDON,120,H240,ALL,OOS,413,0.5520581113801453,-3.1573849878934626
prior_day_color,LONDON,120,H240,HIGH,IS,808,0.4876237623762376,0.9610148514851485
prior_day_color,LONDON,120,H240,HIGH,Validation,343,0.46647230320699706,-3.2346938775510203
prior_day_color,LONDON,120,H240,HIGH,OOS,90,0.5888888888888889,-0.6944444444444444
prior_day_color,LONDON,120,SESS_END,ALL,IS,2385,0.49769392033542975,0.8010482180293501
prior_day_color,LONDON,120,SESS_END,ALL,Validation,774,0.47416020671834624,-3.2038113695090438
prior_day_color,LONDON,120,SESS_END,ALL,OOS,413,0.5375302663438256,1.7663438256658595
prior_day_color,LONDON,120,SESS_END,HIGH,IS,811,0.5080147965474723,1.1982120838471024
prior_day_color,LONDON,120,SESS_END,HIGH,Validation,343,0.46647230320699706,-1.7988338192419826
prior_day_color,LONDON,120,SESS_END,HIGH,OOS,90,0.5444444444444444,-1.7083333333333333
prior_day_color,NY_PM,30,SESS_END,ALL,IS,2393,0.4985374007521939,-0.9619724195570414
prior_day_color,NY_PM,30,SESS_END,ALL,Validation,773,0.517464424320828,4.465394566623544
prior_day_color,NY_PM,30,SESS_END,ALL,OOS,412,0.5121359223300971,-6.373179611650485
