session,T_offset,horizon,universe,split,n,win,E
LONDON,15,120,ALL_am_follow,Y2025,116,0.47413793103448276,-0.33836206896551724
LONDON,15,120,ALL_am_follow,Y2026,40,0.625,2.51875
LONDON,15,120,HIGH_am_follow,IS,239,0.5188284518828452,1.6809623430962344
LONDON,15,120,HIGH_am_follow,Validation,63,0.4444444444444444,-0.47619047619047616
LONDON,15,120,HIGH_am_follow,OOS,23,0.391304347826087,-7.619565217391305
LONDON,15,120,HIGH_am_follow,Y2025,23,0.391304347826087,-7.619565217391305
LONDON,15,120,HIGH_long,IS,384,0.5625,0.6979166666666666
LONDON,15,120,HIGH_long,Validation,88,0.4318181818181818,-5.153409090909091
LONDON,15,120,HIGH_long,OOS,37,0.5135135135135135,-9.547297297297296
LONDON,15,120,HIGH_long,Y2025,35,0.5142857142857142,-10.45
LONDON,15,120,ALL_long,IS,1090,0.5330275229357798,-0.2506880733944954
LONDON,15,120,ALL_long,Validation,216,0.5092592592592593,1.6064814814814814
LONDON,15,120,ALL_long,OOS,265,0.5471698113207547,-0.2830188679245283
LONDON,15,120,ALL_long,Y2025,200,0.52,-0.32
LONDON,15,120,ALL_long,Y2026,65,0.6307692307692307,-0.16923076923076924
LONDON,30,30,ALL_lev_fade,IS,563,0.5293072824156305,0.6256660746003553
LONDON,30,30,ALL_lev_fade,Validation,145,0.42758620689655175,-4.177586206896552
LONDON,30,30,ALL_lev_fade,OOS,183,0.48633879781420764,0.07650273224043716
LONDON,30,30,ALL_lev_fade,Y2025,138,0.4855072463768116,0.23007246376811594
LONDON,30,30,ALL_lev_fade,Y2026,45,0.4888888888888889,-0.39444444444444443
LONDON,30,30,HIGH_lev_fade,IS,205,0.5219512195121951,-0.7975609756097561
LONDON,30,30,HIGH_lev_fade,Validation,58,0.39655172413793105,-5.991379310344827
LONDON,30,30,HIGH_lev_fade,OOS,22,0.5,4.318181818181818
LONDON,30,30,HIGH_lev_fade,Y2025,21,0.5238095238095238,5.845238095238095
LONDON,30,30,ALL_am_follow,IS,685,0.48613138686131385,0.06350364963503649
LONDON,30,30,ALL_am_follow,Validation,146,0.5136986301369864,2.835616438356164
LONDON,30,30,ALL_am_follow,OOS,156,0.5192307692307693,0.7900641025641025
LONDON,30,30,ALL_am_follow,Y2025,116,0.5172413793103449,1.1616379310344827
LONDON,30,30,ALL_am_follow,Y2026,40,0.525,-0.2875
LONDON,30,30,HIGH_am_follow,IS,253,0.4743083003952569,0.45849802371541504
LONDON,30,30,HIGH_am_follow,Validation,65,0.4461538461538462,1.0153846153846153
LONDON,30,30,HIGH_am_follow,OOS,30,0.43333333333333335,-0.6333333333333333
LONDON,30,30,HIGH_am_follow,Y2025,30,0.43333333333333335,-0.6333333333333333
LONDON,30,30,HIGH_long,IS,389,0.4987146529562982,-0.2917737789203085
LONDON,30,30,HIGH_long,Validation,93,0.45161290322580644,0.27419354838709675
LONDON,30,30,HIGH_long,OOS,42,0.5238095238095238,-4.220238095238095
LONDON,30,30,HIGH_long,Y2025,41,0.5365853658536586,-3.6463414634146343
LONDON,30,30,ALL_long,IS,1091,0.4912923923006416,-0.18492208982584785
LONDON,30,30,ALL_long,Validation,216,0.5324074074074074,3.361111111111111
LONDON,30,30,ALL_long,OOS,265,0.5245283018867924,0.03679245283018868
LONDON,30,30,ALL_long,Y2025,200,0.525,-0.17875
LONDON,30,30,ALL_long,Y2026,65,0.5230769230769231,0.7
LONDON,30,60,ALL_lev_fade,IS,563,0.5097690941385435,0.7650976909413855
LONDON,30,60,ALL_lev_fade,Validation,145,0.4896551724137931,-5.189655172413793
LONDON,30,60,ALL_lev_fade,OOS,183,0.5245901639344263,1.4153005464480874
LONDON,30,60,ALL_lev_fade,Y2025,138,0.5,1.1358695652173914
LONDON,30,60,ALL_lev_fade,Y2026,45,0.6,2.272222222222222
