signal,session,T_offset,horizon,tier,HIGH_cot_IS_n,HIGH_cot_IS_win,ALL_cot_IS_win,HIGH_long_IS_win,lift_vs_ALL_win,lift_vs_ALL_E,lift_vs_HIGH_long_win,lift_vs_HIGH_long_E
lev_fade,LONDON,60,30,soft,199,0.49748743718592964,0.49733570159857904,0.46701846965699206,0.00015173558735059878,0.5699344859287556,0.030468967528937574,1.384319354026067
lev_fade,NY_PM,90,120,soft,199,0.49246231155778897,0.48628884826325414,0.53125,0.006173463294534831,2.7344744747503515,-0.03878768844221103,2.8122971628978224
lev_fade,NY_AM,30,30,strong,179,0.5865921787709497,0.5310834813499112,0.5616045845272206,0.05550869742103848,0.8248509084414102,0.024987594243729094,0.5738902850922828
lev_fade,NY_AM,30,60,soft,179,0.553072625698324,0.5115452930728241,0.5272206303724928,0.0415273326254999,-0.3451705250205901,0.025851995325831267,-0.145555537769525
lev_fade,ASIA,15,30,soft,205,0.5170731707317073,0.4767225325884544,0.49340369393139843,0.04035063814325296,1.7134373438706452,0.023669476800308897,2.162703520175043
lev_fade,ASIA,15,60,soft,205,0.5121951219512195,0.4832089552238806,0.5582010582010583,0.028986166727338947,2.240182471787404,-0.04600593624983873,2.5409085043231383
lev_fade,ASIA,15,120,soft,205,0.526829268292683,0.5290806754221389,0.544973544973545,-0.002251407129455929,2.0429643527204506,-0.018144276680862048,1.0339495418763713
lev_fade,ASIA,30,30,soft,213,0.5164319248826291,0.49625468164794007,0.5028089887640449,0.020177243234689057,0.5418644827768108,0.013622936118584228,1.1916772168592078
lev_fade,ASIA,30,60,soft,212,0.5188679245283019,0.5103578154425612,0.5169491525423728,0.00851010908574068,0.717991596489358,0.0019187719859290464,1.0423795437586612
lev_fade,ASIA,30,120,soft,212,0.5188679245283019,0.5,0.5225988700564972,0.018867924528301883,0.7288718553459118,-0.0037309455281953063,0.1488047649504316
lev_fade,ASIA,90,30,soft,164,0.5548780487804879,0.5246252676659529,0.49473684210526314,0.030252781114535,-0.36384616388990443,0.06014120667522471,-1.0893185708172872
lev_fade,ASIA,180,60,soft,190,0.5157894736842106,0.49625468164794007,0.515850144092219,0.01953479203627051,0.805849595899862,-6.067040800838974e-05,0.7283406643409677
lev_fade,ASIA,180,120,soft,190,0.4631578947368421,0.46441947565543074,0.5648414985590778,-0.001261580918588634,0.7556869702345752,-0.10168360382223574,0.6487524647353253
am_follow,LONDON,15,60,soft,239,0.5062761506276151,0.5190058479532164,0.5494791666666666,-0.012729697325601252,0.8024495950475911,-0.04320301603905152,1.3044940943165968
am_follow,LONDON,15,120,soft,239,0.5188284518828452,0.5190058479532164,0.5625,-0.00017739607037114968,1.0837401208740123,-0.04367154811715479,0.9830456764295677
am_follow,LONDON,30,60,soft,253,0.5177865612648221,0.5357664233576642,0.5012853470437018,-0.01797986209284208,1.4463921987247916,0.016501214221120386,2.290856762551185
am_follow,LONDON,30,120,soft,253,0.4980237154150198,0.5094890510948905,0.506426735218509,-0.011465335679870736,1.5502697556331324,-0.008403019803489231,2.3944059461271934
am_follow,LONDON,60,30,soft,238,0.5336134453781513,0.5138686131386861,0.46701846965699206,0.019744832239465104,0.5638502116174937,0.06659497572115919,1.665251324804328
am_follow,LONDON,60,60,soft,238,0.49159663865546216,0.5007299270072992,0.49340369393139843,-0.009133288351837077,1.1404603447218302,-0.0018070552759362757,1.8452722777765458
am_follow,LONDON,60,120,soft,238,0.4957983193277311,0.5036496350364964,0.49076517150395776,-0.007851315708765294,2.198070907194995,0.005033147823773343,1.8220882020354319
am_follow,LONDON,90,60,soft,238,0.4789915966386555,0.5102339181286549,0.5456919060052219,-0.031242321489999447,0.927579365079365,-0.0667003093665664,0.7208597538232002
am_follow,LONDON,90,120,soft,238,0.4957983193277311,0.5190058479532164,0.5169712793733682,-0.023207528625485252,1.3723340213278294,-0.021172960045637068,0.9481646444478575
am_follow,LONDON,120,30,soft,239,0.5146443514644351,0.4904831625183016,0.5225464190981433,0.024161188946133505,0.5570229175983386,-0.007902067633708154,0.3003090907073016
am_follow,LONDON,120,60,soft,239,0.5188284518828452,0.5065885797950219,0.4880636604774536,0.01223987208782329,0.9681368194710759,0.030764791405391623,0.5905158540781106
am_follow,LONDON,120,120,soft,239,0.5188284518828452,0.5124450951683748,0.5437665782493368,0.006383356714470434,1.3647886202270318,-0.02493812636649162,0.05240391551890622
am_follow,NY_PM,30,30,soft,239,0.497907949790795,0.5015060240963856,0.5506493506493506,-0.0035980743055905595,0.6446098200332712,-0.05274140085855561,1.1739988045427376
am_follow,NY_PM,30,60,strong,236,0.5254237288135594,0.5015197568389058,0.5144356955380578,0.02390397197465355,1.8395948173715935,0.010988033275501574,2.070499132523689
am_follow,NY_PM,30,120,soft,236,0.5,0.513677811550152,0.5354330708661418,-0.01367781155015202,1.2650301375508735,-0.03543307086614178,2.9338438097780153
am_follow,NY_PM,60,30,strong,242,0.5537190082644629,0.513677811550152,0.5226666666666666,0.040041196714310834,1.1109610892009345,0.03105234159779624,0.8740137741046832
am_follow,NY_PM,60,60,strong,242,0.5289256198347108,0.5273556231003039,0.5173333333333333,0.001569996734406831,1.7100592830766912,0.011592286501377447,5.532465564738292
am_follow,NY_AM,15,30,soft,233,0.5364806866952789,0.4941348973607038,0.5181058495821727,0.04234578933457511,0.17516330409172717,0.01837483711310628,0.004811888053367103
