side,signal_entry,signal_exit,entry_date,exit_date,entry_px,exit_px,gross_pts,net_pts,hold_days,sma_fast_at_signal,sma_slow_at_signal
LONG,2011-12-09,2012-12-26,2011-12-12,2012-12-28,2316.0,2625.0,309.0,308.0,382,2669.665,2670.53625
LONG,2013-02-01,2015-09-29,2013-02-04,2015-09-30,2759.25,4078.75,1319.5,1318.5,968,4374.79,4378.695
LONG,2015-11-19,2016-02-04,2015-11-20,2016-02-05,4656.75,4146.5,-510.25,-511.25,77,4443.555,4451.37125
LONG,2016-05-04,2016-06-29,2016-05-05,2016-06-30,4308.25,4375.0,66.75,65.75,56,4406.39,4407.5125
LONG,2016-07-13,2018-11-29,2016-07-14,2018-11-30,4561.0,6902.25,2341.25,2340.25,869,7094.18,7097.21875
LONG,2019-04-01,2020-04-28,2019-04-02,2020-04-29,7495.25,8759.25,1264.0,1263.0,393,8252.745,8272.39625
LONG,2020-05-22,2022-02-25,2020-05-25,2022-02-28,9396.25,13900.25,4504.0,4503.0,644,15103.715,15124.57875
LONG,2023-03-08,2025-04-11,2023-03-09,2025-04-14,12231.0,19225.0,6994.0,6993.0,767,20379.595,20417.0075
LONG,2025-06-24,EOD_FORCE_FLAT,2025-06-25,2026-08-07,22412.0,29839.5,7427.5,7426.5,408,29540.315,26816.40875
