day_id,entry_time,exit_time,trade_type,entry_price,pnl_pts,year,exit_reason,orb_range_x,signal_bar,pnl_usd,session_date,orb_range_y,rth_range,rth_open,rth_close,overnight_range,prior_rth_range,prior_trend_pts,prior_trend_ratio,prior_range_day,prior_atr14,orb_pct_252,dow,dow_name,vix_date,vix_close,vix_change,roll_exp_60d,roll_pf_60d,roll_n_60d,sample,orb_hi,orb_lo,orb_r,stop_px,tp_px,risk_from_entry,reward_to_tp,through_stop_at_entry,fill_open,fill_high,fill_low,fill_close,exit_open,exit_high,exit_low,exit_close,exit_bar_hits_stop,exit_bar_hits_tp,same_bar_ambiguous,exit_on_fill_bar,exit_class
2010-08-30,2010-08-30 13:46:00+00:00,2010-08-30 15:43:00+00:00,SHORT,1795.25,10.450000000000044,2010,TP,12.75,4794,61.20000000000027,2010-08-30,12.75,26.25,1782.75,1772.0,23.75,,,,,,,0,Monday,2010-08-27,24.450000762939453,-2.9200000762939453,,,0,IS,1795.0,1782.25,12.75,1810.0,1784.8,14.75,10.450000000000045,False,1796.25,1796.25,1794.75,1796.25,1787.25,1787.25,1784.5,1784.5,False,True,False,False,structural_TP
2010-10-25,2010-10-25 13:51:00+00:00,2010-10-25 14:43:00+00:00,SHORT,2121.0,9.25,2010,TP,12.5,7890,54.0,2010-10-25,12.5,16.25,2109.75,2111.0,21.0,,,,,,0.8181818181818182,0,Monday,2010-10-22,18.780000686645508,-0.489999771118164,,,1,IS,2121.75,2109.25,12.5,2136.75,2111.75,15.75,9.25,False,2122.0,2122.25,2120.75,2120.75,2114.0,2114.25,2111.5,2112.75,False,True,False,False,structural_TP
2011-01-03,2011-01-03 14:46:00+00:00,2011-01-03 16:38:00+00:00,SHORT,2252.0,-15.5,2011,SL,15.0,11761,-94.5,2011-01-03,15.0,30.25,2238.0,2253.25,22.0,,,,,,0.9090909090909092,0,Monday,2010-12-31,17.75,0.2299995422363281,,,0,IS,2252.5,2237.5,15.0,2267.5,2240.5,15.5,11.5,False,2253.0,2253.0,2252.0,2252.25,2266.75,2267.5,2266.5,2267.25,True,False,False,False,adverse_stop
2011-01-10,2011-01-10 14:46:00+00:00,2011-01-10 14:58:00+00:00,SHORT,2274.25,7.949999999999818,2011,TP,10.25,12113,46.19999999999891,2011-01-10,10.25,23.75,2268.75,2281.75,15.0,,,,,,0.6470588235294118,0,Monday,2011-01-07,17.139999389648438,-0.2600002288818359,,,1,IS,2274.5,2264.25,10.25,2289.5,2266.3,15.25,7.949999999999818,False,2275.25,2275.25,2274.0,2274.25,2267.25,2268.25,2266.0,2266.25,False,True,False,False,structural_TP
2011-01-10,2011-01-10 15:00:00+00:00,2011-01-10 15:12:00+00:00,LONG,2266.75,5.699999999999818,2011,TP,10.25,12127,32.69999999999891,2011-01-10,10.25,23.75,2268.75,2281.75,15.0,,,,,,0.6470588235294118,0,Monday,2011-01-07,17.139999389648438,-0.2600002288818359,,,2,IS,2274.5,2264.25,10.25,2249.25,2272.45,17.5,5.699999999999818,False,2265.75,2266.5,2264.5,2265.75,2270.5,2272.5,2270.5,2272.5,False,True,False,False,structural_TP
2011-01-31,2011-01-31 14:47:00+00:00,2011-01-31 16:27:00+00:00,LONG,2262.25,10.099999999999907,2011,TP,12.0,13482,59.099999999999454,2011-01-31,12.0,31.25,2271.25,2280.25,28.5,,,,,,0.7631578947368421,0,Monday,2011-01-28,20.040000915527344,3.8900012969970703,,,3,IS,2274.75,2262.75,12.0,2247.75,2272.35,14.5,10.099999999999909,False,2261.25,2262.5,2258.25,2259.5,2271.5,2273.0,2271.25,2273.0,False,True,False,False,structural_TP
2011-02-22,2011-02-22 15:29:00+00:00,2011-02-22 16:53:00+00:00,SHORT,2362.0,16.90000000000009,2011,TP,19.25,14879,99.90000000000056,2011-02-22,19.25,48.75,2360.5,2317.75,17.75,20.25,12.75,0.6296296296296297,20.25,,1.0,1,Tuesday,2011-02-18,16.43000030517578,-0.1599998474121093,,,4,IS,2360.5,2341.25,19.25,2375.5,2345.1,13.5,16.90000000000009,False,2363.0,2363.5,2361.25,2361.25,2345.5,2346.5,2344.75,2346.25,False,True,False,False,structural_TP
2011-03-14,2011-03-14 13:51:00+00:00,2011-03-14 14:31:00+00:00,SHORT,2293.75,8.449999999999818,2011,TP,12.75,15916,49.19999999999891,2011-03-14,12.75,29.75,2284.0,2286.5,24.5,,,,,,0.8444444444444444,0,Monday,2011-03-11,20.07999992370605,-1.7999992370605469,,,2,IS,2295.5,2282.75,12.75,2310.5,2285.3,16.75,8.449999999999818,False,2294.75,2297.25,2294.0,2297.0,2286.75,2287.0,2284.0,2284.0,False,True,False,False,structural_TP
2011-03-15,2011-03-15 14:41:00+00:00,2011-03-15 15:22:00+00:00,SHORT,2239.5,-7.0,2011,SL,17.75,16326,-43.5,2011-03-15,17.75,55.75,2221.25,2254.5,74.25,29.75,2.5,0.0840336134453781,29.75,,0.9555555555555556,1,Tuesday,2011-03-14,21.1299991607666,1.0499992370605469,,,3,IS,2231.5,2213.75,17.75,2246.5,2217.3,7.0,22.199999999999818,False,2240.5,2242.0,2240.0,2240.25,2244.25,2246.5,2244.25,2245.5,True,False,False,False,adverse_stop
2011-04-15,2011-04-15 13:46:00+00:00,2011-04-15 14:01:00+00:00,LONG,2291.25,8.900000000000091,2011,TP,11.75,19463,51.90000000000055,2011-04-15,11.75,24.5,2299.75,2304.25,12.0,24.5,10.5,0.4285714285714285,24.5,24.0,0.7222222222222222,4,Friday,2011-04-14,16.270000457763672,-0.6499996185302734,,,3,IS,2302.5,2290.75,11.75,2275.75,2300.15,15.5,8.900000000000091,False,2290.25,2291.25,2289.75,2290.75,2300.0,2300.5,2298.5,2300.5,False,True,False,False,structural_TP
2011-06-02,2011-06-02 13:56:00+00:00,2011-06-02 15:29:00+00:00,SHORT,2328.0,7.050000000000182,2011,TP,9.75,24280,40.80000000000109,2011-06-02,9.75,21.0,2327.25,2326.75,67.0,,,,,24.75,0.5882352941176471,3,Thursday,2011-06-01,18.299999237060547,2.84999942779541,,,1,IS,2328.75,2319.0,9.75,2343.75,2320.95,15.75,7.050000000000182,False,2329.0,2329.5,2328.0,2328.0,2322.25,2322.5,2320.75,2322.5,False,True,False,False,structural_TP
2011-06-06,2011-06-06 13:54:00+00:00,2011-06-06 14:18:00+00:00,SHORT,2295.25,6.699999999999818,2011,TP,10.25,24635,38.69999999999891,2011-06-06,10.25,27.25,2287.25,2272.5,16.0,,,,,20.35,0.6617647058823529,0,Monday,2011-06-03,17.950000762939453,-0.1399993896484375,,,2,IS,2296.75,2286.5,10.25,2311.75,2288.55,16.5,6.699999999999818,False,2296.25,2296.5,2294.75,2296.0,2291.25,2291.25,2287.75,2288.0,False,True,False,False,structural_TP
2011-06-27,2011-06-27 13:46:00+00:00,2011-06-27 14:25:00+00:00,SHORT,2219.75,-16.0,2011,SL,10.5,26768,-97.5,2011-06-27,10.5,49.75,2214.75,2246.25,28.0,,,,,23.8,0.6857142857142857,0,Monday,2011-06-24,21.100000381469727,1.8099994659423828,,,2,IS,2220.75,2210.25,10.5,2235.75,2212.35,16.0,7.400000000000091,False,2220.75,2223.25,2220.25,2222.75,2234.75,2236.25,2234.25,2235.5,True,False,False,False,adverse_stop
2011-06-27,2011-06-27 14:33:00+00:00,2011-06-27 14:33:00+00:00,SHORT,2237.25,1.5,2011,SL,10.5,26815,7.5,2011-06-27,10.5,49.75,2214.75,2246.25,28.0,,,,,23.8,0.6857142857142857,0,Monday,2011-06-24,21.100000381469727,1.8099994659423828,,,3,IS,2220.75,2210.25,10.5,2235.75,2212.35,-1.5,24.90000000000009,True,2238.25,2238.75,2237.0,2237.0,2238.25,2238.75,2237.0,2237.0,True,False,False,True,favorable_through_stop
2011-07-18,2011-07-18 14:06:00+00:00,2011-07-18 14:54:00+00:00,LONG,2337.5,-12.75,2011,SL,12.0,28168,-78.0,2011-07-18,12.0,33.0,2341.75,2341.25,24.0,,,,,,0.8309859154929577,0,Monday,2011-07-15,19.530000686645508,-1.269998550415039,,,4,IS,2351.75,2339.75,12.0,2324.75,2349.35,12.75,11.849999999999909,False,2336.5,2337.0,2332.75,2334.75,2327.75,2328.0,2324.0,2324.25,True,False,False,False,adverse_stop
2011-07-18,2011-07-18 14:55:00+00:00,2011-07-18 14:55:00+00:00,LONG,2325.5,-0.75,2011,SL,12.0,28217,-6.0,2011-07-18,12.0,33.0,2341.75,2341.25,24.0,,,,,,0.8309859154929577,0,Monday,2011-07-15,19.530000686645508,-1.269998550415039,-17.7,0.4957264957264957,5,IS,2351.75,2339.75,12.0,2324.75,2349.35,0.75,23.84999999999991,False,2324.5,2325.25,2324.25,2325.0,2324.5,2325.25,2324.25,2325.0,True,False,False,True,adverse_stop
2011-07-25,2011-07-25 13:54:00+00:00,2011-07-25 15:37:00+00:00,SHORT,2412.25,-14.75,2011,SL,9.75,28516,-90.0,2011-07-25,9.75,32.25,2406.75,2423.25,37.75,,,,,,0.5774647887323944,0,Monday,2011-07-22,17.520000457763672,-0.0399990081787109,-15.75,0.4793388429752066,6,IS,2412.0,2402.25,9.75,2427.0,2404.2,14.75,8.050000000000182,False,2413.25,2414.25,2412.0,2413.25,2425.75,2427.5,2425.25,2425.75,True,False,False,False,adverse_stop
2011-08-01,2011-08-01 13:46:00+00:00,2011-08-01 14:00:00+00:00,LONG,2379.0,-16.5,2011,SL,16.5,28868,-100.5,2011-08-01,16.5,73.25,2388.0,2350.5,14.25,,,,,,0.9295774647887324,0,Monday,2011-07-29,25.25,1.510000228881836,-26.357142857142858,0.3204419889502762,7,IS,2394.0,2377.5,16.5,2362.5,2390.7,16.5,11.699999999999818,False,2378.0,2378.0,2372.75,2373.0,2367.25,2367.5,2357.25,2359.75,True,False,False,False,adverse_stop
