structure,period,trades,wr,pf,exp,pnl,mdd,losing_streak,months_pos,months_total,monthly_pos_pct,years_pos,years_total,tp_pct,sl_pct,session_pct,sl,tp_mode,tp_val
SL30_GAP75,IS,939,65.5,0.61,-19.3,-18121.12,18313.12,10,42,102,41.2,0,11,67.0,24.5,8.5,30.0,gap_frac,0.75
SL30_GAP75,VAL,1005,62.29,0.74,-16.44,-16517.25,17015.25,7,11,36,30.6,0,3,63.7,33.6,2.7,30.0,gap_frac,0.75
SL30_GAP75,OOS,613,61.99,0.95,-3.43,-2101.12,7275.38,6,10,20,50.0,1,2,60.7,35.7,3.6,30.0,gap_frac,0.75
SL30_R1,IS,1182,45.01,0.8,-15.47,-18285.0,19915.5,17,41,110,37.3,2,11,31.6,37.9,30.5,30.0,R,1.0
SL30_R1,VAL,1081,42.92,0.76,-23.78,-25704.0,26566.5,12,8,36,22.2,0,3,41.4,52.6,5.9,30.0,R,1.0
SL30_R1,OOS,650,49.85,0.98,-1.71,-1113.0,9604.5,10,9,20,45.0,1,2,48.8,48.8,2.5,30.0,R,1.0
SL30_R1.5,IS,1182,39.68,0.79,-18.12,-21414.0,22573.5,17,42,110,38.2,2,11,20.0,42.1,37.9,30.0,R,1.5
SL30_R1.5,VAL,1081,35.25,0.78,-24.08,-26026.5,29857.5,26,11,36,30.6,0,3,30.9,59.9,9.3,30.0,R,1.5
SL30_R1.5,OOS,650,40.0,0.97,-3.45,-2242.5,10393.5,19,9,20,45.0,1,2,37.2,57.7,5.1,30.0,R,1.5
SL30_R2,IS,1182,38.07,0.85,-13.8,-16309.5,18226.5,22,40,110,36.4,3,11,14.6,43.3,42.1,30.0,R,2.0
SL30_R2,VAL,1081,30.9,0.77,-27.03,-29215.5,33742.5,26,10,36,27.8,0,3,22.5,63.6,14.0,30.0,R,2.0
SL30_R2,OOS,650,34.46,0.97,-2.95,-1920.0,14284.5,20,8,20,40.0,1,2,29.8,62.9,7.2,30.0,R,2.0
SL30_TO_THRESH,IS,939,63.15,0.63,-19.56,-18363.0,18598.5,10,41,102,40.2,0,11,64.1,26.4,9.5,30.0,to_threshold,1.0
SL30_TO_THRESH,VAL,1005,59.9,0.78,-14.42,-14496.0,15651.0,8,14,36,38.9,0,3,60.2,35.9,3.9,30.0,to_threshold,1.0
SL30_TO_THRESH,OOS,613,57.75,0.96,-3.12,-1912.5,8182.5,6,10,20,50.0,1,2,55.6,40.0,4.4,30.0,to_threshold,1.0
