session,family,verdict,IS_n,IS_win,IS_E_net,Val_E_net,OOS_E_net,OOS_win,Y2025_E_net,Y2026_E_net
LONDON,HIGH_FOLLOW,NO_TRADE,4055,0.41972872996300864,-0.9194204685573366,-0.876198948019802,-0.3000332446808511,0.4601063829787234,-0.48603479853479853,0.1929611650485437
LONDON,HIGH_FADE,NO_TRADE,4055,0.46091245376078915,-1.0805795314426634,-1.123801051980198,-1.6999667553191489,0.5132978723404256,-1.5139652014652014,-2.1929611650485437
LONDON,BLIND_FOLLOW,NO_TRADE,11842,0.40018577942915046,-1.0275449670663739,-0.953100699844479,-0.7241253644314869,0.46695821185617103,-0.947216796875,-0.3570854755784062
LONDON,BLIND_FADE,NO_TRADE,11842,0.4333727410910319,-0.9724550329336261,-1.046899300155521,-1.275874635568513,0.4975704567541302,-1.052783203125,-1.642914524421594
NY_PM,HIGH_FOLLOW,NO_TRADE,3959,0.4445567062389492,-0.7949134882546097,0.10043252595155709,-1.0156705539358601,0.49271137026239065,0.39605543710021324,-4.066820276497696
NY_PM,HIGH_FADE,NO_TRADE,3959,0.45188178833038645,-1.2165793129578177,-2.1777681660899653,-0.98432944606414,0.4956268221574344,-2.3960554371002134,2.0668202764976957
NY_PM,BLIND_FOLLOW,NO_TRADE,11538,0.4343040388282198,-1.002042165019934,-0.6462245171673819,-0.503931806743835,0.49773527931555106,0.47495961227786754,-2.1219125500667557
NY_PM,BLIND_FADE,NO_TRADE,11538,0.43690414283237994,-1.0023455104870862,-1.3837513412017168,-1.496068193256165,0.48465022647206846,-2.4749596122778676,0.12191255006675568
NY_AM,HIGH_FOLLOW,NO_TRADE,3269,0.4912817375344142,-0.8277951973080453,-0.41926518438177873,0.3452586206896552,0.5258620689655172,0.5783959537572254,0.0005341880341880342
NY_AM,HIGH_FADE,NO_TRADE,3269,0.49984704802691954,-1.1854351483634138,-1.6200515184381779,-2.345258620689655,0.47413793103448276,-2.5783959537572256,-2.0005341880341883
NY_AM,BLIND_FOLLOW,NO_TRADE,9592,0.4817556296914095,-1.0843736968306923,0.12853621079857744,-1.008158773527626,0.5045537340619308,-0.18463972736124634,-2.3722782258064514
NY_AM,BLIND_FADE,NO_TRADE,9592,0.4934320266889074,-0.9214645016680567,-2.1402562237310057,-0.991841226472374,0.49058894960534305,-1.8153602726387537,0.3722782258064516
ASIA,HIGH_FOLLOW,NO_TRADE,4157,0.36179937454895356,-1.3843817656964157,-0.7401227678571428,0.2548461231015188,0.49960031974420466,-1.4198994252873562,2.3550675675675676
ASIA,HIGH_FADE,NO_TRADE,4157,0.42169834014914603,-0.6481236468607169,-1.264453125,-2.4980515587529974,0.47322142286171065,-0.5801005747126436,-4.903265765765766
ASIA,BLIND_FOLLOW,NO_TRADE,12050,0.3507883817427386,-1.3246887966804979,-0.9143868944636678,-0.16557551766138856,0.488022736500203,-1.235586319218241,1.6043238146551724
ASIA,BLIND_FADE,NO_TRADE,12050,0.39551867219917014,-0.7034543568464731,-1.0867214532871972,-1.957952699959399,0.46731628095818106,-0.764413680781759,-3.9321794181034484
