catalog,from_state,to_state,transition,split,n_transition,n_stay_baseline,median_hl_range_trans,median_hl_range_stay,delta_hl_range,rel_gap,median_abs_net_trans,median_abs_net_stay,median_net_trans,median_abs_max_trans
C,COMPRESSION,HIGH_ACTIVITY,COMPRESSION->HIGH_ACTIVITY,ALL,3437,110483,29.5,20.5,9.0,0.43902439024390244,10.5,7.25,0.75,21.5
C,COMPRESSION,LOW_ACTIVITY,COMPRESSION->LOW_ACTIVITY,IS,1151,69346,5.25,10.5,-5.25,-0.5,2.25,4.25,0.25,4.0
C,COMPRESSION,LOW_ACTIVITY,COMPRESSION->LOW_ACTIVITY,Validation,126,27203,20.75,38.5,-17.75,-0.461038961038961,8.25,16.25,1.125,15.25
C,COMPRESSION,LOW_ACTIVITY,COMPRESSION->LOW_ACTIVITY,OOS,107,13934,26.25,51.5,-25.25,-0.49029126213592233,10.25,20.75,-2.25,20.0
C,COMPRESSION,LOW_ACTIVITY,COMPRESSION->LOW_ACTIVITY,ALL,1384,110483,6.25,20.5,-14.25,-0.6951219512195121,2.5,7.25,0.25,4.75
C,COMPRESSION,TRANSITION_MIXED,COMPRESSION->TRANSITION_MIXED,IS,1634,69346,8.0,10.5,-2.5,-0.23809523809523808,3.25,4.25,0.25,6.25
C,COMPRESSION,TRANSITION_MIXED,COMPRESSION->TRANSITION_MIXED,Validation,472,27203,27.75,38.5,-10.75,-0.2792207792207792,12.25,16.25,1.375,21.0
C,COMPRESSION,TRANSITION_MIXED,COMPRESSION->TRANSITION_MIXED,OOS,252,13934,37.25,51.5,-14.25,-0.2766990291262136,15.125,20.75,1.5,27.75
C,COMPRESSION,TRANSITION_MIXED,COMPRESSION->TRANSITION_MIXED,ALL,2358,110483,12.75,20.5,-7.75,-0.3780487804878049,4.75,7.25,0.5,10.0
C,COMPRESSION,TRENDING,COMPRESSION->TRENDING,IS,6834,69346,12.0,10.5,1.5,0.14285714285714285,5.0,4.25,0.25,9.25
C,COMPRESSION,TRENDING,COMPRESSION->TRENDING,Validation,2634,27203,43.0,38.5,4.5,0.11688311688311688,17.75,16.25,1.0,32.75
C,COMPRESSION,TRENDING,COMPRESSION->TRENDING,OOS,1326,13934,59.5,51.5,8.0,0.1553398058252427,24.25,20.75,1.25,44.125
C,COMPRESSION,TRENDING,COMPRESSION->TRENDING,ALL,10794,110483,22.5,20.5,2.0,0.0975609756097561,8.25,7.25,0.5,16.75
C,EXPANSION,CHOP_RANGE,EXPANSION->CHOP_RANGE,IS,6481,46671,8.5,8.5,0.0,0.0,3.5,3.5,0.25,6.5
C,EXPANSION,CHOP_RANGE,EXPANSION->CHOP_RANGE,Validation,1586,11785,36.25,35.75,0.5,0.013986013986013986,14.625,14.5,1.5,27.0
C,EXPANSION,CHOP_RANGE,EXPANSION->CHOP_RANGE,OOS,871,6412,49.25,47.5,1.75,0.03684210526315789,19.5,18.0,1.5,38.0
C,EXPANSION,CHOP_RANGE,EXPANSION->CHOP_RANGE,ALL,8938,64868,13.5,13.5,0.0,0.0,5.0,5.0,0.5,10.25
C,EXPANSION,COMPRESSION,EXPANSION->COMPRESSION,IS,13,46671,5.25,8.5,-3.25,-0.38235294117647056,2.5,3.5,1.0,3.75
C,EXPANSION,COMPRESSION,EXPANSION->COMPRESSION,Validation,1,11785,40.5,35.75,4.75,0.13286713286713286,32.0,14.5,32.0,36.75
C,EXPANSION,COMPRESSION,EXPANSION->COMPRESSION,OOS,1,6412,60.0,47.5,12.5,0.2631578947368421,21.0,18.0,-21.0,32.5
C,EXPANSION,COMPRESSION,EXPANSION->COMPRESSION,ALL,15,64868,5.5,13.5,-8.0,-0.5925925925925926,2.75,5.0,1.0,4.0
C,EXPANSION,HIGH_ACTIVITY,EXPANSION->HIGH_ACTIVITY,IS,1403,46671,14.75,8.5,6.25,0.7352941176470589,6.0,3.5,0.75,11.25
C,EXPANSION,HIGH_ACTIVITY,EXPANSION->HIGH_ACTIVITY,Validation,462,11785,44.0,35.75,8.25,0.23076923076923078,21.75,14.5,-0.375,35.125
C,EXPANSION,HIGH_ACTIVITY,EXPANSION->HIGH_ACTIVITY,OOS,219,6412,76.5,47.5,29.0,0.6105263157894737,29.5,18.0,-1.0,53.75
C,EXPANSION,HIGH_ACTIVITY,EXPANSION->HIGH_ACTIVITY,ALL,2084,64868,25.5,13.5,12.0,0.8888888888888888,9.5,5.0,0.5,19.5
C,EXPANSION,LOW_ACTIVITY,EXPANSION->LOW_ACTIVITY,IS,593,46671,4.75,8.5,-3.75,-0.4411764705882353,2.0,3.5,0.0,3.75
C,EXPANSION,LOW_ACTIVITY,EXPANSION->LOW_ACTIVITY,Validation,48,11785,16.375,35.75,-19.375,-0.541958041958042,5.75,14.5,0.375,11.5
C,EXPANSION,LOW_ACTIVITY,EXPANSION->LOW_ACTIVITY,OOS,45,6412,22.0,47.5,-25.5,-0.5368421052631579,10.5,18.0,-1.5,16.75
C,EXPANSION,LOW_ACTIVITY,EXPANSION->LOW_ACTIVITY,ALL,686,64868,5.5,13.5,-8.0,-0.5925925925925926,2.25,5.0,0.0,4.25
C,EXPANSION,TRANSITION_MIXED,EXPANSION->TRANSITION_MIXED,IS,1065,46671,7.0,8.5,-1.5,-0.17647058823529413,3.0,3.5,0.25,5.5
C,EXPANSION,TRANSITION_MIXED,EXPANSION->TRANSITION_MIXED,Validation,197,11785,27.25,35.75,-8.5,-0.23776223776223776,13.0,14.5,0.0,21.5
