mechanism,T_offset,horizon,split,n,win,mean,rate,n_high,follow_win,delta_win_vs_follow,delta_mean_vs_follow,delta_win_vs_long
vol_decel_follow,10,30,IS,266,0.5375939849624061,0.9595864661654135,0.32439024390243903,820.0,0.5104551045510455,0.02713888041136059,1.2557119274200261,0.024179350816064593
heavy_vol_follow,10,30,IS,264,0.4621212121212121,-1.518939393939394,0.32195121951219513,820.0,0.5104551045510455,-0.04833389242983338,-1.2228139326847816,-0.051293422025129376
thin_vol_follow,10,30,IS,279,0.5806451612903226,0.6021505376344086,0.3402439024390244,820.0,0.5104551045510455,0.07019005673927714,0.8982759988890212,0.06723052714398114
hivol_impulse,10,30,IS,294,0.5306122448979592,-0.6879251700680272,0.35853658536585364,820.0,0.5104551045510455,0.020157140346913738,-0.3917997088134147,0.017197610751617742
lovol_move,10,30,IS,268,0.5186567164179104,0.7145522388059702,0.32682926829268294,820.0,0.5104551045510455,0.008201611866864966,1.0106777000605827,0.005242082271568971
vol_exp_dir,10,30,IS,279,0.5340501792114696,-0.9399641577060932,0.3402439024390244,820.0,0.5104551045510455,0.023595074660424098,-0.6438386964514806,0.020635545065128102
vol_exp_efficient,10,30,IS,99,0.5858585858585859,1.1994949494949494,0.12073170731707317,820.0,0.5104551045510455,0.07540348130754038,1.4956204107495619,0.07244395171224438
hivol_efficient,10,30,IS,96,0.5520833333333334,1.5026041666666667,0.11707317073170732,820.0,0.5104551045510455,0.04162822878228789,1.7987296279212792,0.038668699186991895
HIGH_ALONE_FOLLOW,10,10,Validation,201,0.5771144278606966,2.300995024875622,1.0,,,,,
HIGH_ALONE_LONG,10,10,Validation,201,0.4577114427860697,-3.870646766169154,1.0,,,,,
tod_high_vol_follow,10,10,Validation,82,0.5365853658536586,-2.7591463414634148,0.4079601990049751,201.0,0.5771144278606966,-0.040529062007037986,-5.060141366339037,0.07887392306758889
tod_low_vol_follow,10,10,Validation,62,0.6451612903225806,10.915322580645162,0.30845771144278605,201.0,0.5771144278606966,0.06804686246188407,8.61432755576954,0.18744984753651095
vol_pct_high_follow,10,10,Validation,82,0.5365853658536586,-2.7591463414634148,0.4079601990049751,201.0,0.5771144278606966,-0.040529062007037986,-5.060141366339037,0.07887392306758889
vol_pct_low_follow,10,10,Validation,62,0.6451612903225806,10.915322580645162,0.30845771144278605,201.0,0.5771144278606966,0.06804686246188407,8.61432755576954,0.18744984753651095
vol_accel_follow,10,10,Validation,27,0.48148148148148145,-7.222222222222222,0.13432835820895522,201.0,0.5771144278606966,-0.0956329463792151,-9.523217247097843,0.023770038695411777
vol_decel_follow,10,10,Validation,80,0.6375,4.05625,0.39800995024875624,201.0,0.5771144278606966,0.0603855721393034,1.7552549751243784,0.17978855721393028
heavy_vol_follow,10,10,Validation,29,0.6551724137931034,6.439655172413793,0.14427860696517414,201.0,0.5771144278606966,0.07805798593240687,4.138660147538171,0.19746097100703375
thin_vol_follow,10,10,Validation,148,0.5743243243243243,2.0152027027027026,0.736318407960199,201.0,0.5771144278606966,-0.0027901035363722126,-0.2857923221729193,0.11661288153825466
hivol_impulse,10,10,Validation,82,0.5365853658536586,-2.7591463414634148,0.4079601990049751,201.0,0.5771144278606966,-0.040529062007037986,-5.060141366339037,0.07887392306758889
lovol_move,10,10,Validation,62,0.6451612903225806,10.915322580645162,0.30845771144278605,201.0,0.5771144278606966,0.06804686246188407,8.61432755576954,0.18744984753651095
vol_exp_dir,10,10,Validation,27,0.48148148148148145,-7.222222222222222,0.13432835820895522,201.0,0.5771144278606966,-0.0956329463792151,-9.523217247097843,0.023770038695411777
hivol_efficient,10,10,Validation,26,0.23076923076923078,-25.134615384615383,0.12935323383084577,201.0,0.5771144278606966,-0.3463451970914658,-27.435610409491005,-0.2269422120168389
HIGH_ALONE_FOLLOW,10,15,Validation,201,0.5771144278606966,4.791044776119403,1.0,,,,,
HIGH_ALONE_LONG,10,15,Validation,201,0.47761194029850745,-2.6965174129353233,1.0,,,,,
tod_high_vol_follow,10,15,Validation,82,0.5,-3.7439024390243905,0.4079601990049751,201.0,0.5771144278606966,-0.07711442786069655,-8.534947215143793,0.022388059701492546
tod_low_vol_follow,10,15,Validation,62,0.6451612903225806,14.935483870967742,0.30845771144278605,201.0,0.5771144278606966,0.06804686246188407,10.14443909484834,0.16754935002407317
vol_pct_high_follow,10,15,Validation,82,0.5,-3.7439024390243905,0.4079601990049751,201.0,0.5771144278606966,-0.07711442786069655,-8.534947215143793,0.022388059701492546
vol_pct_low_follow,10,15,Validation,62,0.6451612903225806,14.935483870967742,0.30845771144278605,201.0,0.5771144278606966,0.06804686246188407,10.14443909484834,0.16754935002407317
vol_accel_follow,10,15,Validation,27,0.5555555555555556,-3.675925925925926,0.13432835820895522,201.0,0.5771144278606966,-0.021558872305140975,-8.466970702045328,0.07794361525704813
vol_decel_follow,10,15,Validation,80,0.6375,5.86875,0.39800995024875624,201.0,0.5771144278606966,0.0603855721393034,1.0777052238805975,0.1598880597014925
heavy_vol_follow,10,15,Validation,29,0.6206896551724138,5.793103448275862,0.14427860696517414,201.0,0.5771144278606966,0.04357522731171726,1.0020586721564593,0.14307771487390636
thin_vol_follow,10,15,Validation,148,0.6013513513513513,5.964527027027027,0.736318407960199,201.0,0.5771144278606966,0.02423692349065476,1.1734822509076244,0.12373941105284386
hivol_impulse,10,15,Validation,82,0.5,-3.7439024390243905,0.4079601990049751,201.0,0.5771144278606966,-0.07711442786069655,-8.534947215143793,0.022388059701492546
lovol_move,10,15,Validation,62,0.6451612903225806,14.935483870967742,0.30845771144278605,201.0,0.5771144278606966,0.06804686246188407,10.14443909484834,0.16754935002407317
vol_exp_dir,10,15,Validation,27,0.5555555555555556,-3.675925925925926,0.13432835820895522,201.0,0.5771144278606966,-0.021558872305140975,-8.466970702045328,0.07794361525704813
hivol_efficient,10,15,Validation,26,0.3076923076923077,-19.625,0.12935323383084577,201.0,0.5771144278606966,-0.26942212016838885,-24.416044776119403,-0.16991963260619974
HIGH_ALONE_FOLLOW,10,30,Validation,201,0.5472636815920398,6.029850746268656,1.0,,,,,
HIGH_ALONE_LONG,10,30,Validation,201,0.47761194029850745,-8.109452736318408,1.0,,,,,
tod_high_vol_follow,10,30,Validation,82,0.45121951219512196,-8.317073170731707,0.4079601990049751,201.0,0.5472636815920398,-0.09604416939691779,-14.346923917000364,-0.02639242810338549
tod_low_vol_follow,10,30,Validation,62,0.5967741935483871,20.068548387096776,0.30845771144278605,201.0,0.5472636815920398,0.04951051195634737,14.038697640828119,0.11916225324987967
vol_pct_high_follow,10,30,Validation,82,0.45121951219512196,-8.317073170731707,0.4079601990049751,201.0,0.5472636815920398,-0.09604416939691779,-14.346923917000364,-0.02639242810338549
vol_pct_low_follow,10,30,Validation,62,0.5967741935483871,20.068548387096776,0.30845771144278605,201.0,0.5472636815920398,0.04951051195634737,14.038697640828119,0.11916225324987967
vol_accel_follow,10,30,Validation,27,0.6296296296296297,4.064814814814815,0.13432835820895522,201.0,0.5472636815920398,0.0823659480375899,-1.9650359314538415,0.1520176893311222
vol_decel_follow,10,30,Validation,80,0.475,2.5625,0.39800995024875624,201.0,0.5472636815920398,-0.07226368159203977,-3.4673507462686564,-0.0026119402985074758
heavy_vol_follow,10,30,Validation,29,0.5517241379310345,4.0344827586206895,0.14427860696517414,201.0,0.5472636815920398,0.004460456338994723,-1.9953679876479669,0.07411219763252702
thin_vol_follow,10,30,Validation,148,0.5675675675675675,7.866554054054054,0.736318407960199,201.0,0.5472636815920398,0.02030388597552779,1.836703307785398,0.08995562726906009
hivol_impulse,10,30,Validation,82,0.45121951219512196,-8.317073170731707,0.4079601990049751,201.0,0.5472636815920398,-0.09604416939691779,-14.346923917000364,-0.02639242810338549
lovol_move,10,30,Validation,62,0.5967741935483871,20.068548387096776,0.30845771144278605,201.0,0.5472636815920398,0.04951051195634737,14.038697640828119,0.11916225324987967
vol_exp_dir,10,30,Validation,27,0.6296296296296297,4.064814814814815,0.13432835820895522,201.0,0.5472636815920398,0.0823659480375899,-1.9650359314538415,0.1520176893311222
hivol_efficient,10,30,Validation,26,0.34615384615384615,-24.134615384615383,0.12935323383084577,201.0,0.5472636815920398,-0.2011098354381936,-30.16446613088404,-0.1314580941446613
HIGH_ALONE_FOLLOW,10,10,OOS,108,0.5370370370370371,7.481481481481482,1.0,,,,,
HIGH_ALONE_LONG,10,10,OOS,108,0.5555555555555556,-5.342592592592593,1.0,,,,,
tod_high_vol_follow,10,10,OOS,45,0.6222222222222222,20.305555555555557,0.4166666666666667,108.0,0.5370370370370371,0.08518518518518514,12.824074074074076,0.06666666666666665
tod_low_vol_follow,10,10,OOS,32,0.4375,-12.0234375,0.2962962962962963,108.0,0.5370370370370371,-0.09953703703703709,-19.50491898148148,-0.11805555555555558
vol_pct_high_follow,10,10,OOS,45,0.6222222222222222,20.305555555555557,0.4166666666666667,108.0,0.5370370370370371,0.08518518518518514,12.824074074074076,0.06666666666666665
vol_pct_low_follow,10,10,OOS,32,0.4375,-12.0234375,0.2962962962962963,108.0,0.5370370370370371,-0.09953703703703709,-19.50491898148148,-0.11805555555555558
vol_decel_follow,10,10,OOS,46,0.5217391304347826,-3.6902173913043477,0.42592592592592593,108.0,0.5370370370370371,-0.015297906602254496,-11.171698872785829,-0.033816425120772986
thin_vol_follow,10,10,OOS,93,0.5806451612903226,8.14247311827957,0.8611111111111112,108.0,0.5370370370370371,0.04360812425328553,0.6609916367980881,0.02508960573476704
hivol_impulse,10,10,OOS,45,0.6222222222222222,20.305555555555557,0.4166666666666667,108.0,0.5370370370370371,0.08518518518518514,12.824074074074076,0.06666666666666665
lovol_move,10,10,OOS,32,0.4375,-12.0234375,0.2962962962962963,108.0,0.5370370370370371,-0.09953703703703709,-19.50491898148148,-0.11805555555555558
HIGH_ALONE_FOLLOW,10,15,OOS,108,0.5370370370370371,11.050925925925926,1.0,,,,,
HIGH_ALONE_LONG,10,15,OOS,108,0.5185185185185185,-12.199074074074074,1.0,,,,,
tod_high_vol_follow,10,15,OOS,45,0.6444444444444445,24.488888888888887,0.4166666666666667,108.0,0.5370370370370371,0.1074074074074074,13.437962962962962,0.125925925925926
tod_low_vol_follow,10,15,OOS,32,0.375,-16.6640625,0.2962962962962963,108.0,0.5370370370370371,-0.1620370370370371,-27.714988425925924,-0.1435185185185185
vol_pct_high_follow,10,15,OOS,45,0.6444444444444445,24.488888888888887,0.4166666666666667,108.0,0.5370370370370371,0.1074074074074074,13.437962962962962,0.125925925925926
vol_pct_low_follow,10,15,OOS,32,0.375,-16.6640625,0.2962962962962963,108.0,0.5370370370370371,-0.1620370370370371,-27.714988425925924,-0.1435185185185185
vol_decel_follow,10,15,OOS,46,0.5,-2.4510869565217392,0.42592592592592593,108.0,0.5370370370370371,-0.03703703703703709,-13.502012882447666,-0.01851851851851849
thin_vol_follow,10,15,OOS,93,0.5698924731182796,11.508064516129032,0.8611111111111112,108.0,0.5370370370370371,0.03285543608124253,0.45713859020310643,0.05137395459976113
hivol_impulse,10,15,OOS,45,0.6444444444444445,24.488888888888887,0.4166666666666667,108.0,0.5370370370370371,0.1074074074074074,13.437962962962962,0.125925925925926
lovol_move,10,15,OOS,32,0.375,-16.6640625,0.2962962962962963,108.0,0.5370370370370371,-0.1620370370370371,-27.714988425925924,-0.1435185185185185
HIGH_ALONE_FOLLOW,10,30,OOS,108,0.5462962962962963,14.590277777777779,1.0,,,,,
HIGH_ALONE_LONG,10,30,OOS,108,0.5277777777777778,-16.04398148148148,1.0,,,,,
tod_high_vol_follow,10,30,OOS,45,0.6666666666666666,33.81111111111111,0.4166666666666667,108.0,0.5462962962962963,0.12037037037037035,19.22083333333333,0.13888888888888884
tod_low_vol_follow,10,30,OOS,32,0.375,-33.59375,0.2962962962962963,108.0,0.5462962962962963,-0.17129629629629628,-48.18402777777778,-0.1527777777777778
vol_pct_high_follow,10,30,OOS,45,0.6666666666666666,33.81111111111111,0.4166666666666667,108.0,0.5462962962962963,0.12037037037037035,19.22083333333333,0.13888888888888884
vol_pct_low_follow,10,30,OOS,32,0.375,-33.59375,0.2962962962962963,108.0,0.5462962962962963,-0.17129629629629628,-48.18402777777778,-0.1527777777777778
vol_decel_follow,10,30,OOS,46,0.5,1.315217391304348,0.42592592592592593,108.0,0.5462962962962963,-0.04629629629629628,-13.275060386473431,-0.02777777777777779
thin_vol_follow,10,30,OOS,93,0.5806451612903226,18.53494623655914,0.8611111111111112,108.0,0.5462962962962963,0.03434886499402634,3.9446684587813614,0.05286738351254483
hivol_impulse,10,30,OOS,45,0.6666666666666666,33.81111111111111,0.4166666666666667,108.0,0.5462962962962963,0.12037037037037035,19.22083333333333,0.13888888888888884
lovol_move,10,30,OOS,32,0.375,-33.59375,0.2962962962962963,108.0,0.5462962962962963,-0.17129629629629628,-48.18402777777778,-0.1527777777777778
HIGH_ALONE_FOLLOW,10,10,ALL,1122,0.4893048128342246,0.3694295900178253,0.9937998228520815,,,,,
HIGH_ALONE_LONG,10,10,ALL,1129,0.5013286093888397,-1.2883082373782109,1.0,,,,,
tod_high_vol_follow,10,10,ALL,421,0.5154394299287411,1.3461995249406176,0.3728963684676705,1129.0,0.4893048128342246,0.026134617094516532,0.9767699349227923,0.014110820539901425
tod_low_vol_follow,10,10,ALL,362,0.47513812154696133,-0.08839779005524862,0.32063773250664307,1129.0,0.4893048128342246,-0.014166691287263278,-0.45782738007307394,-0.026190487841878385
vol_pct_high_follow,10,10,ALL,421,0.5154394299287411,1.3461995249406176,0.3728963684676705,1129.0,0.4893048128342246,0.026134617094516532,0.9767699349227923,0.014110820539901425
vol_pct_low_follow,10,10,ALL,362,0.47513812154696133,-0.08839779005524862,0.32063773250664307,1129.0,0.4893048128342246,-0.014166691287263278,-0.45782738007307394,-0.026190487841878385
vol_accel_follow,10,10,ALL,330,0.48787878787878786,0.25606060606060604,0.29229406554472986,1129.0,0.4893048128342246,-0.0014260249554367554,-0.11336898395721928,-0.013449821510051863
vol_decel_follow,10,10,ALL,392,0.4897959183673469,-0.6403061224489796,0.34720992028343667,1129.0,0.4893048128342246,0.0004911055331223158,-1.009735712466805,-0.011532691021492791
heavy_vol_follow,10,10,ALL,298,0.44966442953020136,0.6233221476510067,0.26395039858281666,1129.0,0.4893048128342246,-0.03964038330402325,0.25389255763318136,-0.05166417985863836
thin_vol_follow,10,10,ALL,520,0.5423076923076923,1.1567307692307693,0.46058458813108943,1129.0,0.4893048128342246,0.05300287947346766,0.7873011792129441,0.04097908291885255
hivol_impulse,10,10,ALL,421,0.5154394299287411,1.3461995249406176,0.3728963684676705,1129.0,0.4893048128342246,0.026134617094516532,0.9767699349227923,0.014110820539901425
lovol_move,10,10,ALL,362,0.47513812154696133,-0.08839779005524862,0.32063773250664307,1129.0,0.4893048128342246,-0.014166691287263278,-0.45782738007307394,-0.026190487841878385
vol_exp_dir,10,10,ALL,330,0.48787878787878786,0.25606060606060604,0.29229406554472986,1129.0,0.4893048128342246,-0.0014260249554367554,-0.11336898395721928,-0.013449821510051863
vol_exp_efficient,10,10,ALL,120,0.48333333333333334,-0.06041666666666667,0.10628875110717449,1129.0,0.4893048128342246,-0.005971479500891275,-0.429846256684492,-0.017995276055506382
hivol_efficient,10,10,ALL,137,0.4744525547445255,-2.585766423357664,0.12134632418069087,1129.0,0.4893048128342246,-0.014852258089699089,-2.9551960133754895,-0.026876054644314196
HIGH_ALONE_FOLLOW,10,15,ALL,1122,0.5106951871657754,1.1477272727272727,0.9937998228520815,,,,,
HIGH_ALONE_LONG,10,15,ALL,1129,0.508414526129318,-1.3184233835252437,1.0,,,,,
tod_high_vol_follow,10,15,ALL,421,0.5130641330166271,1.1092636579572446,0.3728963684676705,1129.0,0.5106951871657754,0.002368945850851678,-0.03846361477002813,0.004649606887309088
tod_low_vol_follow,10,15,ALL,362,0.5027624309392266,0.7638121546961326,0.32063773250664307,1129.0,0.5106951871657754,-0.007932756226548876,-0.3839151180311401,-0.005652095190091466
vol_pct_high_follow,10,15,ALL,421,0.5130641330166271,1.1092636579572446,0.3728963684676705,1129.0,0.5106951871657754,0.002368945850851678,-0.03846361477002813,0.004649606887309088
vol_pct_low_follow,10,15,ALL,362,0.5027624309392266,0.7638121546961326,0.32063773250664307,1129.0,0.5106951871657754,-0.007932756226548876,-0.3839151180311401,-0.005652095190091466
vol_accel_follow,10,15,ALL,330,0.509090909090909,-0.08106060606060606,0.29229406554472986,1129.0,0.5106951871657754,-0.0016042780748664054,-1.2287878787878788,0.0006763829615910044
vol_decel_follow,10,15,ALL,392,0.5229591836734694,0.4406887755102041,0.34720992028343667,1129.0,0.5106951871657754,0.012263996507693942,-0.7070384972170687,0.014544657544151351
heavy_vol_follow,10,15,ALL,298,0.47315436241610737,0.6820469798657718,0.26395039858281666,1129.0,0.5106951871657754,-0.03754082474966808,-0.4656802928615009,-0.03526016371321067
thin_vol_follow,10,15,ALL,520,0.5653846153846154,3.016826923076923,0.46058458813108943,1129.0,0.5106951871657754,0.05468942821883993,1.8690996503496502,0.05697008925529734
hivol_impulse,10,15,ALL,421,0.5130641330166271,1.1092636579572446,0.3728963684676705,1129.0,0.5106951871657754,0.002368945850851678,-0.03846361477002813,0.004649606887309088
lovol_move,10,15,ALL,362,0.5027624309392266,0.7638121546961326,0.32063773250664307,1129.0,0.5106951871657754,-0.007932756226548876,-0.3839151180311401,-0.005652095190091466
vol_exp_dir,10,15,ALL,330,0.509090909090909,-0.08106060606060606,0.29229406554472986,1129.0,0.5106951871657754,-0.0016042780748664054,-1.2287878787878788,0.0006763829615910044
vol_exp_efficient,10,15,ALL,120,0.5083333333333333,-0.7,0.10628875110717449,1129.0,0.5106951871657754,-0.00236185383244214,-1.8477272727272727,-8.119279598473028e-05
hivol_efficient,10,15,ALL,137,0.46715328467153283,-2.8996350364963503,0.12134632418069087,1129.0,0.5106951871657754,-0.04354190249424261,-4.047362309223623,-0.0412612414577852
HIGH_ALONE_FOLLOW,10,30,ALL,1122,0.5204991087344029,2.270053475935829,0.9937998228520815,,,,,
HIGH_ALONE_LONG,10,30,ALL,1129,0.508414526129318,-2.5569087688219665,1.0,,,,,
tod_high_vol_follow,10,30,ALL,421,0.5296912114014252,1.5136579572446556,0.3728963684676705,1129.0,0.5204991087344029,0.009192102667022306,-0.7563955186911733,0.021276685272107132
tod_low_vol_follow,10,30,ALL,362,0.5193370165745856,0.9965469613259669,0.32063773250664307,1129.0,0.5204991087344029,-0.0011620921598172185,-1.273506514609862,0.010922490445267607
vol_pct_high_follow,10,30,ALL,421,0.5296912114014252,1.5136579572446556,0.3728963684676705,1129.0,0.5204991087344029,0.009192102667022306,-0.7563955186911733,0.021276685272107132
vol_pct_low_follow,10,30,ALL,362,0.5193370165745856,0.9965469613259669,0.32063773250664307,1129.0,0.5204991087344029,-0.0011620921598172185,-1.273506514609862,0.010922490445267607
vol_accel_follow,10,30,ALL,330,0.5424242424242425,1.209090909090909,0.29229406554472986,1129.0,0.5204991087344029,0.021925133689839615,-1.0609625668449199,0.03400971629492444
vol_decel_follow,10,30,ALL,392,0.5204081632653061,1.3284438775510203,0.34720992028343667,1129.0,0.5204991087344029,-9.094546909671486e-05,-0.9416095983848085,0.011993637135988111
heavy_vol_follow,10,30,ALL,298,0.47315436241610737,-0.3724832214765101,0.26395039858281666,1129.0,0.5204991087344029,-0.047344746318295494,-2.6425366974123388,-0.03526016371321067
thin_vol_follow,10,30,ALL,520,0.5769230769230769,5.876923076923077,0.46058458813108943,1129.0,0.5204991087344029,0.05642396818867401,3.6068696009872485,0.06850855079375884
hivol_impulse,10,30,ALL,421,0.5296912114014252,1.5136579572446556,0.3728963684676705,1129.0,0.5204991087344029,0.009192102667022306,-0.7563955186911733,0.021276685272107132
lovol_move,10,30,ALL,362,0.5193370165745856,0.9965469613259669,0.32063773250664307,1129.0,0.5204991087344029,-0.0011620921598172185,-1.273506514609862,0.010922490445267607
vol_exp_dir,10,30,ALL,330,0.5424242424242425,1.209090909090909,0.29229406554472986,1129.0,0.5204991087344029,0.021925133689839615,-1.0609625668449199,0.03400971629492444
vol_exp_efficient,10,30,ALL,120,0.5916666666666667,3.90625,0.10628875110717449,1129.0,0.5204991087344029,0.07116755793226381,1.6361965240641712,0.08325214053734864
hivol_efficient,10,30,ALL,137,0.5109489051094891,-3.9507299270072993,0.12134632418069087,1129.0,0.5204991087344029,-0.009550203624913767,-6.220783402943129,0.0025343789801710592
HIGH_ALONE_FOLLOW,15,10,IS,820,0.5073170731707317,0.5033536585365853,0.9987819732034104,,,,,
HIGH_ALONE_LONG,15,10,IS,821,0.48112058465286234,-0.015225334957369063,1.0,,,,,
tod_high_vol_follow,15,10,IS,289,0.4982698961937716,0.8036332179930796,0.3520097442143727,821.0,0.5073170731707317,-0.009047176976960114,0.3002795594564943,0.017149311540909262
tod_low_vol_follow,15,10,IS,295,0.5152542372881356,0.9338983050847458,0.35931790499390986,821.0,0.5073170731707317,0.007937164117403861,0.4305446465481605,0.03413365263527324
vol_pct_high_follow,15,10,IS,289,0.4982698961937716,0.8036332179930796,0.3520097442143727,821.0,0.5073170731707317,-0.009047176976960114,0.3002795594564943,0.017149311540909262
vol_pct_low_follow,15,10,IS,295,0.5152542372881356,0.9338983050847458,0.35931790499390986,821.0,0.5073170731707317,0.007937164117403861,0.4305446465481605,0.03413365263527324
