mechanism,T_offset,horizon,split,n,rate,win,mean,median,mean_mfe,mean_mae,mfe_gt_mae,n_high,delta_win_vs_follow,delta_mean_vs_follow,delta_win_vs_long,follow_win,follow_mean,long_win
HIGH_ALONE_LONG,15,30,Validation,222,1.0,0.5585585585585585,1.0326576576576576,5.75,46.5472972972973,48.322072072072075,0.46396396396396394,,,,,,,
HIGH_ALONE_FOLLOW,15,30,Validation,222,1.0,0.5,1.4087837837837838,0.125,46.5472972972973,48.322072072072075,0.46396396396396394,,,,,,,
HIGH_ALONE_LONG,15,10,OOS,120,1.0,0.425,-10.5625,-9.0,39.29375,49.93541666666667,0.5,,,,,,,
HIGH_ALONE_FOLLOW,15,10,OOS,120,1.0,0.525,0.9,2.875,39.29375,49.93541666666667,0.5,,,,,,,
HIGH_ALONE_LONG,15,15,OOS,120,1.0,0.43333333333333335,-22.635416666666668,-14.75,44.452083333333334,68.50625,0.44166666666666665,,,,,,,
HIGH_ALONE_FOLLOW,15,15,OOS,120,1.0,0.55,8.75625,7.125,44.452083333333334,68.50625,0.44166666666666665,,,,,,,
HIGH_ALONE_LONG,15,30,OOS,120,1.0,0.425,-22.84375,-11.5,56.797916666666666,88.43958333333333,0.4666666666666667,,,,,,,
HIGH_ALONE_FOLLOW,15,30,OOS,120,1.0,0.5083333333333333,9.460416666666667,0.375,56.797916666666666,88.43958333333333,0.4666666666666667,,,,,,,
HIGH_ALONE_LONG,15,10,ALL,1163,1.0,0.4858125537403267,-0.5025795356835769,-0.25,14.858125537403268,16.547936371453137,0.469475494411006,,,,,,,
HIGH_ALONE_FOLLOW,15,10,ALL,1162,0.999140154772141,0.5086058519793459,0.6379087779690189,0.25,14.870051635111876,16.558089500860586,0.46987951807228917,,,,,,,
HIGH_ALONE_LONG,15,15,ALL,1163,1.0,0.4995700773860705,-1.6986242476354256,0.0,18.121453138435083,20.84243336199484,0.48495270851246775,,,,,,,
HIGH_ALONE_FOLLOW,15,15,ALL,1162,0.999140154772141,0.5215146299483648,1.6166092943201378,0.75,18.13618760757315,20.854561101549052,0.4853700516351119,,,,,,,
