mechanism,T_offset,horizon,split,n,rate,win,mean,median,mean_z,mean_mfe,mean_mae,mfe_gt_mae,p_hit_plus_first,delta_win_vs_unc,delta_mean_vs_unc,n_base,hit_n,med_exc_ratio,med_t_adv,frac_hit_ext_pre,unc_win,unc_mean,delta_win_vs_50
UNCOND_LONG,15,5,IS,2350,1.0,0.4765957446808511,-0.9134042553191489,-0.25,-0.09047920092526299,6.947340425531915,7.67563829787234,0.4825531914893617,0.4875066454013822,0.0,0.0,,,,,,,,
UNCOND_LONG,15,10,IS,2350,1.0,0.49319148936170215,-0.4208510638297872,0.0,-0.07713651737884515,9.402340425531914,10.762765957446808,0.4702127659574468,0.4918625678119349,0.0,0.0,,,,,,,,
UNCOND_LONG,15,15,IS,2350,1.0,0.5234042553191489,0.29138297872340424,0.75,-0.021530710826143013,11.647127659574467,12.692978723404256,0.48851063829787233,0.4917102966841187,0.0,0.0,,,,,,,,
UNCOND_LONG,15,30,IS,2350,1.0,0.5153191489361703,-0.2403191489361702,0.75,-0.08407379641497639,15.84840425531915,17.431382978723406,0.48851063829787233,0.49314481576692376,0.0,0.0,,,,,,,,
UNCOND_LONG,15,45,IS,2350,1.0,0.5259574468085106,0.5318085106382979,1.25,-0.0070875710389487175,18.569787234042554,20.31744680851064,0.48808510638297875,0.49249892841834547,0.0,0.0,,,,,,,,
UNCOND_LONG,15,60,IS,2350,1.0,0.5348936170212766,0.23606382978723403,1.5,0.011352156039699171,20.72659574468085,22.81255319148936,0.4940425531914894,0.49249892841834547,0.0,0.0,,,,,,,,
UNCOND_LONG,15,5,Validation,753,1.0,0.50199203187251,-1.2918326693227091,0.5,-0.07970653251016604,20.0929614873838,21.697875166002657,0.4847277556440903,0.48653198653198654,0.0,0.0,,,,,,,,
UNCOND_LONG,15,10,Validation,753,1.0,0.50066401062417,0.10823373173970784,0.25,-0.01767345936262734,27.10225763612218,28.426626826029217,0.4860557768924303,0.5020746887966805,0.0,0.0,,,,,,,,
UNCOND_LONG,15,15,Validation,753,1.0,0.49933598937583,-0.4867197875166003,0.0,-0.032253452966637904,34.4601593625498,35.74169986719787,0.49933598937583,0.49931787175989084,0.0,0.0,,,,,,,,
UNCOND_LONG,15,30,Validation,753,1.0,0.5179282868525896,-1.2320717131474104,2.75,-0.06674070707989907,46.51593625498008,51.19887118193891,0.4754316069057105,0.4986413043478261,0.0,0.0,,,,,,,,
UNCOND_LONG,15,45,Validation,753,1.0,0.50199203187251,-1.1859229747675963,0.25,-0.08345429826983146,54.993027888446214,59.375830013280215,0.4847277556440903,0.4986413043478261,0.0,0.0,,,,,,,,
UNCOND_LONG,15,60,Validation,753,1.0,0.5086321381142098,-1.7619521912350598,2.0,-0.1130170690685007,61.168326693227094,66.68094289508632,0.4940239043824701,0.4986413043478261,0.0,0.0,,,,,,,,
UNCOND_LONG,15,5,OOS,400,1.0,0.535,1.97,2.625,0.02065418638637972,32.43625,31.701875,0.515,0.5130434782608696,0.0,0.0,,,,,,,,
UNCOND_LONG,15,10,OOS,400,1.0,0.5125,2.27375,1.625,0.04439740746520189,44.935625,43.328125,0.5225,0.5,0.0,0.0,,,,,,,,
UNCOND_LONG,15,15,OOS,400,1.0,0.5225,0.665,4.375,-0.014538081519899852,55.27625,56.97125,0.5175,0.4987146529562982,0.0,0.0,,,,,,,,
UNCOND_LONG,15,30,OOS,400,1.0,0.5275,3.24875,5.875,0.08221881273335428,72.539375,73.725625,0.505,0.5012787723785166,0.0,0.0,,,,,,,,
UNCOND_LONG,15,45,OOS,400,1.0,0.54,2.148125,10.875,0.05234419642696108,83.3225,87.910625,0.4975,0.5,0.0,0.0,,,,,,,,
UNCOND_LONG,15,60,OOS,400,1.0,0.5525,2.198125,12.5,0.07710853793171203,91.03625,98.195,0.4925,0.4987146529562982,0.0,0.0,,,,,,,,
UNCOND_LONG,30,5,IS,2350,1.0,0.49872340425531914,-0.054787234042553194,0.0,-0.005995511745087606,6.526702127659575,7.0071276595744685,0.48595744680851066,0.48921620199894794,0.0,0.0,,,,,,,,
fade_fail_10,30,5,IS,257,0.10936170212765957,0.4785992217898833,0.3453307392996109,0.0,-0.012949120061110053,6.938715953307393,6.377431906614786,0.5214007782101168,0.4928909952606635,-0.020124182465435847,0.4001179733421641,2350.0,211.0,0.5091487669053302,1.0,0.0,0.49872340425531914,-0.054787234042553194,-0.02140077821011671
fade_reject_10,30,5,IS,525,0.22340425531914893,0.4704761904761905,0.07952380952380952,-0.25,-0.05036733429821345,6.378571428571429,6.733333333333333,0.4895238095238095,0.47641509433962265,-0.028247213779128644,0.13431104356636273,2350.0,424.0,1.029490616621984,1.0,0.5104761904761905,0.49872340425531914,-0.054787234042553194,-0.029523809523809508
fade_weak_10,30,5,IS,126,0.05361702127659575,0.47619047619047616,0.4880952380952381,-0.125,-0.013877282515204547,7.091269841269841,6.444444444444445,0.49206349206349204,0.4766355140186916,-0.022532928064842972,0.5428824721377913,2350.0,107.0,0.20520409421630287,1.0,0.0,0.49872340425531914,-0.054787234042553194,-0.023809523809523836
fade_fail_15,30,5,IS,238,0.10127659574468086,0.4957983193277311,0.7457983193277311,0.0,-0.016774599041543024,7.66281512605042,6.7710084033613445,0.5168067226890757,0.5263157894736842,-0.0029250849275880286,0.8005855533702843,2350.0,190.0,0.5148996763754046,1.0,0.0,0.49872340425531914,-0.054787234042553194,-0.004201680672268893
