mechanism,T_offset,horizon,split,n,rate,win,mean,n_high,follow_win,follow_mean,long_win,delta_win_vs_follow,delta_mean_vs_follow,delta_win_vs_long
HIGH_ALONE_LONG,10,10,IS,819,1.0,0.5042735042735043,-0.12576312576312576,,,,,,,
HIGH_ALONE_FOLLOW,10,10,IS,812,0.9914529914529915,0.4618226600985222,-1.0498768472906403,,,,,,,
HIGH_ALONE_LONG,10,15,IS,819,1.0,0.5152625152625152,0.4539072039072039,,,,,,,
HIGH_ALONE_FOLLOW,10,15,IS,812,0.9914529914529915,0.49014778325123154,-1.0708128078817734,,,,,,,
HIGH_ALONE_LONG,10,30,IS,819,1.0,0.514041514041514,0.5824175824175825,,,,,,,
HIGH_ALONE_FOLLOW,10,30,IS,812,0.9914529914529915,0.5098522167487685,-0.2977216748768473,,,,,,,
follow_es,10,10,IS,798,0.9743589743589743,0.45614035087719296,-1.1854636591478698,819.0,0.4618226600985222,-1.0498768472906403,0.5042735042735043,-0.005682309221329229,-0.13558681185722943,-0.0481331533963113
follow_es,10,15,IS,798,0.9743589743589743,0.474937343358396,-1.3715538847117794,819.0,0.49014778325123154,-1.0708128078817734,0.5152625152625152,-0.015210439892835548,-0.30074107683000606,-0.04032517190411922
follow_es,10,30,IS,798,0.9743589743589743,0.49624060150375937,-0.5162907268170426,819.0,0.5098522167487685,-0.2977216748768473,0.514041514041514,-0.01361161524500909,-0.21856905194019527,-0.01780091253775462
rs_continue,10,10,IS,817,0.9975579975579976,0.46878824969400246,-0.6664626682986536,819.0,0.4618226600985222,-1.0498768472906403,0.5042735042735043,0.0069655895954802705,0.3834141789919867,-0.0354852545795018
rs_continue,10,15,IS,817,0.9975579975579976,0.4908200734394125,-0.7203182374541004,819.0,0.49014778325123154,-1.0708128078817734,0.5152625152625152,0.0006722901881809351,0.35049457042767296,-0.024442441823102734
rs_continue,10,30,IS,817,0.9975579975579976,0.5067319461444308,-0.5532435740514076,819.0,0.5098522167487685,-0.2977216748768473,0.514041514041514,-0.003120270604337616,-0.25552189917456025,-0.007309567897083147
rs_fade,10,10,IS,817,0.9975579975579976,0.5214198286413708,0.6664626682986536,819.0,0.4618226600985222,-1.0498768472906403,0.5042735042735043,0.05959716854284863,1.716339515589294,0.01714632436786656
rs_fade,10,15,IS,817,0.9975579975579976,0.49571603427172584,0.7203182374541004,819.0,0.49014778325123154,-1.0708128078817734,0.5152625152625152,0.005568251020494297,1.7911310453358738,-0.019546480990789372
rs_fade,10,30,IS,817,0.9975579975579976,0.4847001223990208,0.5532435740514076,819.0,0.5098522167487685,-0.2977216748768473,0.514041514041514,-0.025152094349747633,0.8509652489282549,-0.029341391642493164
es_last5,10,10,IS,778,0.9499389499389499,0.4884318766066838,-0.11311053984575835,819.0,0.4618226600985222,-1.0498768472906403,0.5042735042735043,0.026609216508161615,0.936766307444882,-0.015841627666820457
es_last5,10,15,IS,778,0.9499389499389499,0.4897172236503856,0.07455012853470437,819.0,0.49014778325123154,-1.0708128078817734,0.5152625152625152,-0.0004305596008459256,1.1453629364164777,-0.025545291612129595
es_last5,10,30,IS,778,0.9499389499389499,0.4910025706940874,-0.480719794344473,819.0,0.5098522167487685,-0.2977216748768473,0.514041514041514,-0.018849646054681035,-0.18299811946762568,-0.023038943347426566
agree_nq_es,10,10,IS,689,0.8412698412698413,0.4528301886792453,-1.3392597968069666,819.0,0.4618226600985222,-1.0498768472906403,0.5042735042735043,-0.008992471419276893,-0.28938294951632626,-0.051443315594258965
agree_nq_es,10,15,IS,689,0.8412698412698413,0.48040638606676345,-1.4775036284470247,819.0,0.49014778325123154,-1.0708128078817734,0.5152625152625152,-0.009741397184468092,-0.4066908205652513,-0.03485612919575176
agree_nq_es,10,30,IS,689,0.8412698412698413,0.5036284470246735,-0.5370101596516691,819.0,0.5098522167487685,-0.2977216748768473,0.514041514041514,-0.006223769724094996,-0.23928848477482179,-0.010413067016840527
disagree_follow_es,10,10,IS,104,0.12698412698412698,0.4807692307692308,-0.21394230769230768,819.0,0.4618226600985222,-1.0498768472906403,0.5042735042735043,0.018946570670708596,0.8359345395983326,-0.023504273504273476
disagree_follow_es,10,15,IS,104,0.12698412698412698,0.4423076923076923,-0.7115384615384616,819.0,0.49014778325123154,-1.0708128078817734,0.5152625152625152,-0.04784009094353925,0.3592743463433118,-0.07295482295482292
disagree_follow_es,10,30,IS,104,0.12698412698412698,0.4423076923076923,-0.4831730769230769,819.0,0.5098522167487685,-0.2977216748768473,0.514041514041514,-0.06754452444107617,-0.18545140204622962,-0.0717338217338217
disagree_follow_nq,10,10,IS,104,0.12698412698412698,0.5192307692307693,0.21394230769230768,819.0,0.4618226600985222,-1.0498768472906403,0.5042735042735043,0.05740810913224709,1.263819154982948,0.014957264957265015
