mechanism,T_offset,horizon,split,n,win,mean,rate,delta_vs_50,n_base,delta_vs_long
fade_1,0,60,OOS,410,0.4609756097560976,-4.390853658536585,0.9951456310679612,-0.03902439024390242,412.0,-0.065723419370116
follow_1_ext,0,60,OOS,182,0.554945054945055,7.184065934065934,0.441747572815534,0.05494505494505497,412.0,0.02824602581884139
fade_1_ext,0,60,OOS,182,0.44505494505494503,-7.184065934065934,0.441747572815534,-0.05494505494505497,412.0,-0.08164408407126855
UNCOND_LONG,15,5,IS,2400,0.47875,-0.879375,1.0,-0.02124999999999999,,
follow_1,15,5,IS,2321,0.5028005170185265,0.41910814304179234,0.9670833333333333,0.0028005170185264605,2400.0,0.02405051701852645
fade_1,15,5,IS,2321,0.4799655320982335,-0.41910814304179234,0.9670833333333333,-0.020034467901766495,2400.0,0.001215532098233496
follow_1_ext,15,5,IS,816,0.5098039215686274,0.1871936274509804,0.34,0.009803921568627416,2400.0,0.031053921568627407
fade_1_ext,15,5,IS,816,0.46691176470588236,-0.1871936274509804,0.34,-0.03308823529411764,2400.0,-0.01183823529411765
follow_5,15,5,IS,2358,0.4910941475826972,0.12425784563189143,0.9825,-0.008905852417302795,2400.0,0.012344147582697196
fade_5,15,5,IS,2358,0.4919423240033927,-0.12425784563189143,0.9825,-0.008057675996607283,2400.0,0.013192324003392708
follow_5_ext,15,5,IS,816,0.5134803921568627,0.3795955882352941,0.34,0.013480392156862697,2400.0,0.03473039215686269
fade_5_ext,15,5,IS,816,0.47671568627450983,-0.3795955882352941,0.34,-0.02328431372549017,2400.0,-0.0020343137254901777
follow_15,15,5,IS,2374,0.4827295703454086,-0.14995787700084245,0.9891666666666666,-0.017270429654591413,2400.0,0.0039795703454085785
fade_15,15,5,IS,2374,0.4995787700084246,0.14995787700084245,0.9891666666666666,-0.0004212299915754003,2400.0,0.02082877000842459
follow_15_ext,15,5,IS,816,0.4987745098039216,-0.025122549019607844,0.34,-0.001225490196078427,2400.0,0.020024509803921564
fade_15_ext,15,5,IS,816,0.48161764705882354,0.025122549019607844,0.34,-0.01838235294117646,2400.0,0.0028676470588235303
run_continue,15,5,IS,514,0.5155642023346303,1.1361867704280155,0.21416666666666667,0.015564202334630295,2400.0,0.036814202334630286
run_fade,15,5,IS,514,0.4727626459143969,-1.1361867704280155,0.21416666666666667,-0.027237354085603127,2400.0,-0.005987354085603136
alt_fade,15,5,IS,589,0.44991511035653653,-0.15831918505942275,0.24541666666666667,-0.05008488964346347,2400.0,-0.02883488964346348
UNCOND_LONG,15,15,IS,2400,0.52625,0.3202083333333333,1.0,0.026249999999999996,,
follow_1,15,15,IS,2321,0.4950452391210685,-0.20831538130116328,0.9670833333333333,-0.004954760878931486,2400.0,-0.03120476087893148
fade_1,15,15,IS,2321,0.4911676001723395,0.20831538130116328,0.9670833333333333,-0.008832399827660486,2400.0,-0.03508239982766048
follow_1_ext,15,15,IS,816,0.49387254901960786,-0.7919730392156863,0.34,-0.006127450980392135,2400.0,-0.03237745098039213
fade_1_ext,15,15,IS,816,0.49142156862745096,0.7919730392156863,0.34,-0.008578431372549045,2400.0,-0.03482843137254904
follow_5,15,15,IS,2358,0.49787955894826125,-0.0671119592875318,0.9825,-0.002120441051738753,2400.0,-0.02837044105173875
fade_5,15,15,IS,2358,0.48812553011026294,0.0671119592875318,0.9825,-0.01187446988973706,2400.0,-0.038124469889737056
follow_5_ext,15,15,IS,816,0.508578431372549,-0.10294117647058823,0.34,0.008578431372548989,2400.0,-0.017671568627451006
fade_5_ext,15,15,IS,816,0.4791666666666667,0.10294117647058823,0.34,-0.020833333333333315,2400.0,-0.04708333333333331
follow_15,15,15,IS,2374,0.4941027801179444,-0.4930497051390059,0.9891666666666666,-0.005897219882055604,2400.0,-0.0321472198820556
fade_15,15,15,IS,2374,0.4924178601516428,0.4930497051390059,0.9891666666666666,-0.0075821398483572056,2400.0,-0.0338321398483572
follow_15_ext,15,15,IS,816,0.5073529411764706,-0.5254289215686274,0.34,0.007352941176470562,2400.0,-0.018897058823529433
fade_15_ext,15,15,IS,816,0.4791666666666667,0.5254289215686274,0.34,-0.020833333333333315,2400.0,-0.04708333333333331
run_continue,15,15,IS,514,0.5233463035019456,0.8827821011673151,0.21416666666666667,0.023346303501945553,2400.0,-0.002903696498054442
run_fade,15,15,IS,514,0.4727626459143969,-0.8827821011673151,0.21416666666666667,-0.027237354085603127,2400.0,-0.05348735408560312
alt_fade,15,15,IS,589,0.5008488964346349,0.5577249575551783,0.24541666666666667,0.000848896434634927,2400.0,-0.02540110356536507
UNCOND_LONG,15,30,IS,2400,0.5154166666666666,-0.21197916666666666,1.0,0.015416666666666634,,
follow_1,15,30,IS,2321,0.4971994829814735,-0.17169323567427833,0.9670833333333333,-0.002800517018526516,2400.0,-0.01821718368519315
fade_1,15,30,IS,2321,0.4959069366652305,0.17169323567427833,0.9670833333333333,-0.004093063334769498,2400.0,-0.019509730001436132
follow_1_ext,15,30,IS,816,0.49754901960784315,-0.6467524509803921,0.34,-0.002450980392156854,2400.0,-0.017867647058823488
fade_1_ext,15,30,IS,816,0.4950980392156863,0.6467524509803921,0.34,-0.004901960784313708,2400.0,-0.020318627450980342
follow_5,15,30,IS,2358,0.49363867684478374,0.10464376590330789,0.9825,-0.006361323155216259,2400.0,-0.021777989821882893
fade_5,15,30,IS,2358,0.49957591178965227,-0.10464376590330789,0.9825,-0.00042408821034772837,2400.0,-0.015840754877014362
follow_5_ext,15,30,IS,816,0.5012254901960784,0.25643382352941174,0.34,0.001225490196078427,2400.0,-0.014191176470588207
fade_5_ext,15,30,IS,816,0.49264705882352944,-0.25643382352941174,0.34,-0.007352941176470562,2400.0,-0.022769607843137196
follow_15,15,30,IS,2374,0.5,-0.6348989048020219,0.9891666666666666,0.0,2400.0,-0.015416666666666634
fade_15,15,30,IS,2374,0.4932603201347936,0.6348989048020219,0.9891666666666666,-0.006739679865206405,2400.0,-0.02215634653187304
follow_15_ext,15,30,IS,816,0.5269607843137255,-0.9534313725490197,0.34,0.026960784313725505,2400.0,0.011544117647058871
fade_15_ext,15,30,IS,816,0.4632352941176471,0.9534313725490197,0.34,-0.03676470588235292,2400.0,-0.052181372549019556
run_continue,15,30,IS,514,0.5019455252918288,0.997568093385214,0.21416666666666667,0.0019455252918287869,2400.0,-0.013471141374837847
run_fade,15,30,IS,514,0.49416342412451364,-0.997568093385214,0.21416666666666667,-0.005836575875486361,2400.0,-0.021253242542152995
alt_fade,15,30,IS,589,0.4770797962648557,0.04838709677419355,0.24541666666666667,-0.022920203735144307,2400.0,-0.03833687040181094
UNCOND_LONG,15,60,IS,2400,0.5366666666666666,0.2683333333333333,1.0,0.036666666666666625,,
follow_1,15,60,IS,2321,0.5006462731581215,-0.5538560965101249,0.9670833333333333,0.0006462731581214909,2400.0,-0.036020393508545134
fade_1,15,60,IS,2321,0.4933218440327445,0.5538560965101249,0.9670833333333333,-0.006678155967255517,2400.0,-0.04334482263392214
follow_1_ext,15,60,IS,816,0.49754901960784315,0.15349264705882354,0.34,-0.002450980392156854,2400.0,-0.03911764705882348
fade_1_ext,15,60,IS,816,0.4987745098039216,-0.15349264705882354,0.34,-0.001225490196078427,2400.0,-0.03789215686274505
follow_5,15,60,IS,2358,0.5059372349448685,0.3055555555555556,0.9825,0.00593723494486853,2400.0,-0.030729431721798095
fade_5,15,60,IS,2358,0.48854961832061067,-0.3055555555555556,0.9825,-0.011450381679389332,2400.0,-0.04811704834605596
follow_5_ext,15,60,IS,816,0.5171568627450981,0.48682598039215685,0.34,0.01715686274509809,2400.0,-0.019509803921568536
fade_5_ext,15,60,IS,816,0.47794117647058826,-0.48682598039215685,0.34,-0.022058823529411742,2400.0,-0.05872549019607837
follow_15,15,60,IS,2374,0.5016849199663016,-0.2734835720303286,0.9891666666666666,0.0016849199663016012,2400.0,-0.034981746700365024
fade_15,15,60,IS,2374,0.4924178601516428,0.2734835720303286,0.9891666666666666,-0.0075821398483572056,2400.0,-0.04424880651502383
follow_15_ext,15,60,IS,816,0.5294117647058824,0.5287990196078431,0.34,0.02941176470588236,2400.0,-0.007254901960784266
fade_15_ext,15,60,IS,816,0.4644607843137255,-0.5287990196078431,0.34,-0.035539215686274495,2400.0,-0.07220588235294112
run_continue,15,60,IS,514,0.519455252918288,0.9508754863813229,0.21416666666666667,0.01945525291828798,2400.0,-0.017211413748378646
run_fade,15,60,IS,514,0.4766536964980545,-0.9508754863813229,0.21416666666666667,-0.023346303501945498,2400.0,-0.06001297016861212
alt_fade,15,60,IS,589,0.5144312393887945,1.0420203735144313,0.24541666666666667,0.014431239388794537,2400.0,-0.02223542727787209
UNCOND_LONG,15,5,Validation,774,0.49870801033591733,-1.324612403100775,1.0,-0.0012919896640826711,,
follow_1,15,5,Validation,769,0.4720416124837451,-1.055591677503251,0.9935400516795866,-0.0279583875162549,774.0,-0.02666639785217223
fade_1,15,5,Validation,769,0.5253576072821846,1.055591677503251,0.9935400516795866,0.025357607282184613,774.0,0.026649596946267284
follow_1_ext,15,5,Validation,273,0.4835164835164835,0.5741758241758241,0.35271317829457366,-0.01648351648351648,774.0,-0.01519152681943381
fade_1_ext,15,5,Validation,273,0.5164835164835165,-0.5741758241758241,0.35271317829457366,0.016483516483516536,774.0,0.017775506147599207
follow_5,15,5,Validation,773,0.48253557567917205,-1.5048512289780078,0.9987080103359173,-0.017464424320827954,774.0,-0.016172434656745283
fade_5,15,5,Validation,773,0.5148771021992238,1.5048512289780078,0.9987080103359173,0.01487710219922378,774.0,0.01616909186330645
follow_5_ext,15,5,Validation,290,0.47586206896551725,-1.4655172413793103,0.37467700258397935,-0.02413793103448275,774.0,-0.02284594137040008
fade_5_ext,15,5,Validation,290,0.5241379310344828,1.4655172413793103,0.37467700258397935,0.024137931034482807,774.0,0.025429920698565478
follow_15,15,5,Validation,772,0.5194300518134715,-0.2713730569948187,0.9974160206718347,0.01943005181347146,774.0,0.02072204147755413
fade_15,15,5,Validation,772,0.47797927461139894,0.2713730569948187,0.9974160206718347,-0.02202072538860106,774.0,-0.020728735724518388
follow_15_ext,15,5,Validation,247,0.5020242914979757,-0.3724696356275304,0.31912144702842377,0.002024291497975672,774.0,0.0033162811620583432
fade_15_ext,15,5,Validation,247,0.4898785425101215,0.3724696356275304,0.31912144702842377,-0.010121457489878527,774.0,-0.008829467825795856
run_continue,15,5,Validation,181,0.4861878453038674,1.1726519337016574,0.23385012919896642,-0.013812154696132617,774.0,-0.012520165032049946
run_fade,15,5,Validation,181,0.5082872928176796,-1.1726519337016574,0.23385012919896642,0.008287292817679592,774.0,0.009579282481762263
alt_fade,15,5,Validation,176,0.5,2.252840909090909,0.22739018087855298,0.0,774.0,0.0012919896640826711
UNCOND_LONG,15,15,Validation,774,0.4935400516795866,-0.5494186046511628,1.0,-0.006459948320413411,,
follow_1,15,15,Validation,769,0.505851755526658,0.19895968790637192,0.9935400516795866,0.0058517555266579535,774.0,0.012311703847071365
fade_1,15,15,Validation,769,0.4928478543563069,-0.19895968790637192,0.9935400516795866,-0.0071521456436930975,774.0,-0.0006921973232796863
follow_1_ext,15,15,Validation,273,0.5128205128205128,0.3992673992673993,0.35271317829457366,0.012820512820512775,774.0,0.019280461140926186
fade_1_ext,15,15,Validation,273,0.48717948717948717,-0.3992673992673993,0.35271317829457366,-0.01282051282051283,774.0,-0.006360564500099419
follow_5,15,15,Validation,773,0.49288486416558863,-2.8978007761966365,0.9987080103359173,-0.007115135834411368,774.0,-0.0006551875139979568
fade_5,15,15,Validation,773,0.5058214747736093,2.8978007761966365,0.9987080103359173,0.005821474773609281,774.0,0.012281423094022692
follow_5_ext,15,15,Validation,290,0.4896551724137931,-1.2706896551724138,0.37467700258397935,-0.010344827586206917,774.0,-0.003884879265793506
fade_5_ext,15,15,Validation,290,0.5103448275862069,1.2706896551724138,0.37467700258397935,0.010344827586206917,774.0,0.01680477590662033
follow_15,15,15,Validation,772,0.5155440414507773,-0.32091968911917096,0.9974160206718347,0.015544041450777257,774.0,0.02200398977119067
fade_15,15,15,Validation,772,0.483160621761658,0.32091968911917096,0.9974160206718347,-0.016839378238341973,774.0,-0.010379429917928562
follow_15_ext,15,15,Validation,247,0.5506072874493927,1.3856275303643724,0.31912144702842377,0.05060728744939269,774.0,0.0570672357698061
fade_15_ext,15,15,Validation,247,0.4493927125506073,-1.3856275303643724,0.31912144702842377,-0.05060728744939269,774.0,-0.04414733912897928
run_continue,15,15,Validation,181,0.5580110497237569,5.846685082872928,0.23385012919896642,0.058011049723756924,774.0,0.06447099804417034
run_fade,15,15,Validation,181,0.4419889502762431,-5.846685082872928,0.23385012919896642,-0.058011049723756924,774.0,-0.05155110140334351
alt_fade,15,15,Validation,176,0.4943181818181818,-0.7627840909090909,0.22739018087855298,-0.005681818181818177,774.0,0.0007781301385952344
UNCOND_LONG,15,30,Validation,774,0.5116279069767442,-1.321705426356589,1.0,0.011627906976744207,,
follow_1,15,30,Validation,769,0.494148244473342,0.2308192457737321,0.9935400516795866,-0.005851755526658009,774.0,-0.017479662503402216
fade_1,15,30,Validation,769,0.5045513654096229,-0.2308192457737321,0.9935400516795866,0.004551365409622865,774.0,-0.007076541567121342
follow_1_ext,15,30,Validation,273,0.5091575091575091,0.5366300366300366,0.35271317829457366,0.009157509157509125,774.0,-0.0024703978192350817
fade_1_ext,15,30,Validation,273,0.4908424908424908,-0.5366300366300366,0.35271317829457366,-0.00915750915750918,774.0,-0.020785416134253387
follow_5,15,30,Validation,773,0.47865459249676584,-4.4139715394566625,0.9987080103359173,-0.02134540750323416,774.0,-0.032973314479978366
fade_5,15,30,Validation,773,0.5200517464424321,4.4139715394566625,0.9987080103359173,0.020051746442432128,774.0,0.008423839465687921
follow_5_ext,15,30,Validation,290,0.4862068965517241,-3.007758620689655,0.37467700258397935,-0.01379310344827589,774.0,-0.025421010425020096
fade_5_ext,15,30,Validation,290,0.5103448275862069,3.007758620689655,0.37467700258397935,0.010344827586206917,774.0,-0.0012830793905372895
follow_15,15,30,Validation,772,0.5090673575129534,0.9067357512953368,0.9974160206718347,0.0090673575129534,774.0,-0.0025605494637908066
fade_15,15,30,Validation,772,0.4896373056994819,-0.9067357512953368,0.9974160206718347,-0.010362694300518116,774.0,-0.021990601277262323
follow_15_ext,15,30,Validation,247,0.5101214574898786,1.298582995951417,0.31912144702842377,0.010121457489878583,774.0,-0.0015064494868656242
fade_15_ext,15,30,Validation,247,0.4898785425101215,-1.298582995951417,0.31912144702842377,-0.010121457489878527,774.0,-0.021749364466622734
run_continue,15,30,Validation,181,0.5524861878453039,4.552486187845304,0.23385012919896642,0.0524861878453039,774.0,0.04085828086855969
run_fade,15,30,Validation,181,0.4419889502762431,-4.552486187845304,0.23385012919896642,-0.058011049723756924,774.0,-0.06963895670050113
alt_fade,15,30,Validation,176,0.5511363636363636,2.3963068181818183,0.22739018087855298,0.051136363636363646,774.0,0.03950845665961944
UNCOND_LONG,15,60,Validation,774,0.5103359173126615,-1.691860465116279,1.0,0.01033591731266148,,
follow_1,15,60,Validation,769,0.49934980494148246,0.11215864759427828,0.9935400516795866,-0.0006501950585175442,774.0,-0.010986112371179024
fade_1,15,60,Validation,769,0.49934980494148246,-0.11215864759427828,0.9935400516795866,-0.0006501950585175442,774.0,-0.010986112371179024
follow_1_ext,15,60,Validation,273,0.5128205128205128,1.4972527472527473,0.35271317829457366,0.012820512820512775,774.0,0.002484595507851295
fade_1_ext,15,60,Validation,273,0.4835164835164835,-1.4972527472527473,0.35271317829457366,-0.01648351648351648,774.0,-0.02681943379617796
follow_5,15,60,Validation,773,0.48124191461837,-6.045924967658474,0.9987080103359173,-0.018758085381629985,774.0,-0.029094002694291465
fade_5,15,60,Validation,773,0.517464424320828,6.045924967658474,0.9987080103359173,0.017464424320827954,774.0,0.007128507008166474
follow_5_ext,15,60,Validation,290,0.5,-4.074137931034483,0.37467700258397935,0.0,774.0,-0.01033591731266148
fade_5_ext,15,60,Validation,290,0.5,4.074137931034483,0.37467700258397935,0.0,774.0,-0.01033591731266148
follow_15,15,60,Validation,772,0.5012953367875648,-0.20012953367875647,0.9974160206718347,0.0012953367875647714,774.0,-0.009040580525096709
fade_15,15,60,Validation,772,0.49740932642487046,0.20012953367875647,0.9974160206718347,-0.002590673575129543,774.0,-0.012926590887791023
follow_15_ext,15,60,Validation,247,0.5263157894736842,0.5506072874493927,0.31912144702842377,0.02631578947368418,774.0,0.0159798721610227
fade_15_ext,15,60,Validation,247,0.47368421052631576,-0.5506072874493927,0.31912144702842377,-0.026315789473684237,774.0,-0.03665170678634572
run_continue,15,60,Validation,181,0.49171270718232046,-1.0828729281767955,0.23385012919896642,-0.008287292817679537,774.0,-0.018623210130341017
run_fade,15,60,Validation,181,0.5082872928176796,1.0828729281767955,0.23385012919896642,0.008287292817679592,774.0,-0.0020486244949818877
alt_fade,15,60,Validation,176,0.5227272727272727,4.262784090909091,0.22739018087855298,0.022727272727272707,774.0,0.012391355414611227
UNCOND_LONG,15,5,OOS,412,0.5339805825242718,1.954490291262136,1.0,0.03398058252427183,,
follow_1,15,5,OOS,410,0.47073170731707314,-2.832317073170732,0.9951456310679612,-0.029268292682926855,412.0,-0.06324887520719868
fade_1,15,5,OOS,410,0.524390243902439,2.832317073170732,0.9951456310679612,0.024390243902439046,412.0,-0.009590338621832784
follow_1_ext,15,5,OOS,154,0.42857142857142855,-4.983766233766234,0.3737864077669903,-0.07142857142857145,412.0,-0.10540915395284328
fade_1_ext,15,5,OOS,154,0.564935064935065,4.983766233766234,0.3737864077669903,0.06493506493506496,412.0,0.030954482410793127
follow_5,15,5,OOS,409,0.48655256723716384,-1.8392420537897312,0.9927184466019418,-0.013447432762836165,412.0,-0.047428015287107994
fade_5,15,5,OOS,409,0.508557457212714,1.8392420537897312,0.9927184466019418,0.008557457212713948,412.0,-0.02542312531155788
follow_5_ext,15,5,OOS,165,0.44242424242424244,-4.593939393939394,0.40048543689320387,-0.05757575757575756,412.0,-0.09155634010002939
fade_5_ext,15,5,OOS,165,0.5515151515151515,4.593939393939394,0.40048543689320387,0.051515151515151514,412.0,0.017534568990879684
follow_15,15,5,OOS,412,0.47815533980582525,-3.4241504854368934,1.0,-0.021844660194174748,412.0,-0.05582524271844658
fade_15,15,5,OOS,412,0.5169902912621359,3.4241504854368934,1.0,0.016990291262135915,412.0,-0.016990291262135915
follow_15_ext,15,5,OOS,145,0.4482758620689655,-5.441379310344828,0.35194174757281554,-0.051724137931034475,412.0,-0.0857047204553063
fade_15_ext,15,5,OOS,145,0.5448275862068965,5.441379310344828,0.35194174757281554,0.04482758620689653,412.0,0.0108470036826247
run_continue,15,5,OOS,105,0.5047619047619047,-1.5333333333333334,0.25485436893203883,0.004761904761904745,412.0,-0.029218677762367085
run_fade,15,5,OOS,105,0.49523809523809526,1.5333333333333334,0.25485436893203883,-0.004761904761904745,412.0,-0.038742487286176575
alt_fade,15,5,OOS,94,0.574468085106383,3.851063829787234,0.22815533980582525,0.07446808510638303,412.0,0.0404875025821112
UNCOND_LONG,15,15,OOS,412,0.5218446601941747,0.870752427184466,1.0,0.021844660194174748,,
follow_1,15,15,OOS,410,0.5048780487804878,-1.5646341463414635,0.9951456310679612,0.004878048780487809,412.0,-0.01696661141368694
fade_1,15,15,OOS,410,0.4926829268292683,1.5646341463414635,0.9951456310679612,-0.007317073170731714,412.0,-0.02916173336490646
follow_1_ext,15,15,OOS,154,0.5064935064935064,4.310064935064935,0.3737864077669903,0.00649350649350644,412.0,-0.015351153700668307
fade_1_ext,15,15,OOS,154,0.487012987012987,-4.310064935064935,0.3737864077669903,-0.012987012987012991,412.0,-0.03483167318118774
follow_5,15,15,OOS,409,0.5281173594132029,4.916259168704157,0.9927184466019418,0.028117359413202925,412.0,0.006272699219028177
fade_5,15,15,OOS,409,0.46943765281173594,-4.916259168704157,0.9927184466019418,-0.03056234718826406,412.0,-0.05240700738243881
follow_5_ext,15,15,OOS,165,0.503030303030303,4.968181818181818,0.40048543689320387,0.00303030303030305,412.0,-0.018814357163871698
fade_5_ext,15,15,OOS,165,0.4909090909090909,-4.968181818181818,0.40048543689320387,-0.009090909090909094,412.0,-0.03093556928508384
follow_15,15,15,OOS,412,0.49029126213592233,-1.0527912621359223,1.0,-0.009708737864077666,412.0,-0.03155339805825241
fade_15,15,15,OOS,412,0.5072815533980582,1.0527912621359223,1.0,0.007281553398058249,412.0,-0.014563106796116498
