mechanism,T_offset,horizon,split,n,rate,win,mean,median,mean_z,mean_mfe,mean_mae,mfe_gt_mae,p_hit_plus_first,delta_win_vs_unc,delta_mean_vs_unc,n_base,hit_n,unc_win,unc_mean,delta_win_vs_50
UNCOND_LONG,0,5,IS,2352,1.0,0.5195578231292517,0.44834183673469385,0.5,0.06975477416901976,9.655187074829932,9.451849489795919,0.5055272108843537,0.513646288209607,0.0,0.0,,,,,
UNCOND_LONG,0,10,IS,2352,1.0,0.51828231292517,0.062181122448979595,0.75,0.06423036740428138,12.959077380952381,13.021364795918368,0.5063775510204082,0.5114539504441328,0.0,0.0,,,,,
UNCOND_LONG,0,15,IS,2352,1.0,0.5284863945578231,0.7300170068027211,0.75,0.10792172064953269,14.903486394557824,14.987457482993197,0.5097789115646258,0.511554145899411,0.0,0.0,,,,,
UNCOND_LONG,0,30,IS,2352,1.0,0.5276360544217688,0.9774659863945578,1.5,0.10107519398787607,18.8953018707483,19.738095238095237,0.5025510204081632,0.513347921225383,0.0,0.0,,,,,
UNCOND_LONG,0,45,IS,2352,1.0,0.5178571428571429,0.4573767006802721,1.0,0.061245447645273024,21.797937925170068,23.12202380952381,0.49447278911564624,0.5130548302872062,0.0,0.0,,,,,
UNCOND_LONG,0,60,IS,2352,1.0,0.5284863945578231,1.2687074829931972,1.5,0.1343678011302582,23.907100340136054,25.42580782312925,0.4927721088435374,0.5130208333333334,0.0,0.0,,,,,
UNCOND_LONG,0,5,Validation,753,1.0,0.49269588313413015,-2.146746347941567,-0.25,-0.056159351789288596,24.97941567065073,27.198539176626827,0.49269588313413015,0.4974271012006861,0.0,0.0,,,,,
UNCOND_LONG,0,10,Validation,753,1.0,0.5112881806108898,-1.5879814077025232,1.0,-0.015440150058267252,32.89143426294821,35.42330677290837,0.4953519256308101,0.5,0.0,0.0,,,,,
UNCOND_LONG,0,15,Validation,753,1.0,0.5033200531208499,-1.4136786188579018,0.5,-0.016973095922455578,38.909030544488715,41.90969455511288,0.5112881806108898,0.5028409090909091,0.0,0.0,,,,,
UNCOND_LONG,0,30,Validation,753,1.0,0.49800796812749004,-1.8927622841965472,0.0,-0.030732838064455634,51.85557768924303,55.33764940239044,0.48339973439575035,0.4993141289437586,0.0,0.0,,,,,
UNCOND_LONG,0,45,Validation,753,1.0,0.4900398406374502,-2.638114209827357,-1.25,-0.07045405710641477,60.07171314741036,67.08466135458167,0.4754316069057105,0.49727520435967304,0.0,0.0,,,,,
UNCOND_LONG,0,60,Validation,753,1.0,0.4953519256308101,-2.5919654714475433,-1.0,-0.08800207327233502,66.73871181938911,73.43459495351925,0.48871181938911024,0.49795918367346936,0.0,0.0,,,,,
UNCOND_LONG,0,5,OOS,400,1.0,0.49,1.92125,-1.875,0.01580596837740474,37.9475,37.36625,0.475,0.48863636363636365,0.0,0.0,,,,,
UNCOND_LONG,0,10,OOS,400,1.0,0.475,-0.13,-4.75,-0.009608623443132118,49.71,50.238125,0.4775,0.47865853658536583,0.0,0.0,,,,,
UNCOND_LONG,0,15,OOS,400,1.0,0.5075,1.201875,1.75,0.012806515635027736,58.40625,61.210625,0.475,0.480225988700565,0.0,0.0,,,,,
UNCOND_LONG,0,30,OOS,400,1.0,0.5425,1.82125,5.25,0.009432554162398823,80.438125,85.233125,0.515,0.4779220779220779,0.0,0.0,,,,,
UNCOND_LONG,0,45,OOS,400,1.0,0.5275,4.405,6.875,0.08883514114828465,93.8325,97.5375,0.5125,0.4731457800511509,0.0,0.0,,,,,
UNCOND_LONG,0,60,OOS,400,1.0,0.535,3.304375,13.25,0.04465183700026647,102.51,109.195,0.5075,0.4719387755102041,0.0,0.0,,,,,
UNCOND_LONG,15,5,IS,2350,1.0,0.4765957446808511,-0.9134042553191489,-0.25,-0.09047920092526299,6.947340425531915,7.67563829787234,0.4825531914893617,0.4875066454013822,0.0,0.0,,,,,
cont_5,15,5,IS,470,0.2,0.5191489361702127,0.6654255319148936,0.5,0.10089367964032207,7.811702127659575,6.843617021276596,0.5085106382978724,0.5308310991957105,0.04255319148936165,1.5788297872340427,2350.0,373.0,0.4765957446808511,-0.9134042553191489,0.019148936170212738
fade_5,15,5,IS,470,0.2,0.474468085106383,-0.6654255319148936,-0.5,-0.10089367964032207,6.843617021276596,7.811702127659575,0.474468085106383,0.4691689008042895,-0.002127659574468088,0.2479787234042553,2350.0,373.0,0.4765957446808511,-0.9134042553191489,-0.025531914893617003
cont_15,15,5,IS,470,0.2,0.4978723404255319,-0.24308510638297873,0.0,0.10754136665303629,6.607978723404256,6.732978723404256,0.4723404255319149,0.5084269662921348,0.021276595744680826,0.6703191489361702,2350.0,356.0,0.4765957446808511,-0.9134042553191489,-0.002127659574468088
fade_15,15,5,IS,470,0.2,0.4829787234042553,0.24308510638297873,0.0,-0.10754136665303629,6.732978723404256,6.607978723404256,0.5085106382978724,0.49157303370786515,0.006382978723404209,1.1564893617021277,2350.0,356.0,0.4765957446808511,-0.9134042553191489,-0.017021276595744705
UNCOND_LONG,15,10,IS,2350,1.0,0.49319148936170215,-0.4208510638297872,0.0,-0.07713651737884515,9.402340425531914,10.762765957446808,0.4702127659574468,0.4918625678119349,0.0,0.0,,,,,
cont_5,15,10,IS,470,0.2,0.4957446808510638,-0.07712765957446809,0.0,-0.010281535167748523,10.087234042553192,9.96063829787234,0.49361702127659574,0.5148063781321185,0.0025531914893616725,0.3437234042553191,2350.0,439.0,0.49319148936170215,-0.4208510638297872,-0.004255319148936176
fade_5,15,10,IS,470,0.2,0.4978723404255319,0.07712765957446809,0.0,0.010281535167748523,9.96063829787234,10.087234042553192,0.49361702127659574,0.48519362186788156,0.004680851063829761,0.4979787234042553,2350.0,439.0,0.49319148936170215,-0.4208510638297872,-0.002127659574468088
cont_15,15,10,IS,470,0.2,0.5170212765957447,-0.9037234042553192,0.5,0.07197507833703268,8.980851063829787,9.63031914893617,0.502127659574468,0.5,0.023829787234042554,-0.48287234042553195,2350.0,434.0,0.49319148936170215,-0.4208510638297872,0.017021276595744705
fade_15,15,10,IS,470,0.2,0.4723404255319149,0.9037234042553192,-0.5,-0.07197507833703268,9.63031914893617,8.980851063829787,0.4723404255319149,0.5,-0.020851063829787242,1.3245744680851064,2350.0,434.0,0.49319148936170215,-0.4208510638297872,-0.02765957446808509
UNCOND_LONG,15,15,IS,2350,1.0,0.5234042553191489,0.29138297872340424,0.75,-0.021530710826143013,11.647127659574467,12.692978723404256,0.48851063829787233,0.4917102966841187,0.0,0.0,,,,,
cont_5,15,15,IS,470,0.2,0.49361702127659574,-0.43031914893617024,0.0,-0.02257900051383756,11.818085106382979,12.14468085106383,0.4978723404255319,0.5120350109409191,-0.02978723404255318,-0.7217021276595745,2350.0,457.0,0.5234042553191489,0.29138297872340424,-0.0063829787234042645
fade_5,15,15,IS,470,0.2,0.49148936170212765,0.43031914893617024,0.0,0.02257900051383756,12.14468085106383,11.818085106382979,0.4978723404255319,0.487964989059081,-0.03191489361702127,0.138936170212766,2350.0,457.0,0.5234042553191489,0.29138297872340424,-0.008510638297872353
cont_15,15,15,IS,470,0.2,0.5425531914893617,-0.022340425531914895,0.875,0.2485149108330608,11.134574468085106,11.600531914893617,0.5170212765957447,0.49122807017543857,0.019148936170212738,-0.31372340425531914,2350.0,456.0,0.5234042553191489,0.29138297872340424,0.04255319148936165
fade_15,15,15,IS,470,0.2,0.44468085106382976,0.022340425531914895,-0.875,-0.2485149108330608,11.600531914893617,11.134574468085106,0.4787234042553192,0.5087719298245614,-0.07872340425531915,-0.26904255319148934,2350.0,456.0,0.5234042553191489,0.29138297872340424,-0.05531914893617024
UNCOND_LONG,15,30,IS,2350,1.0,0.5153191489361703,-0.2403191489361702,0.75,-0.08407379641497639,15.84840425531915,17.431382978723406,0.48851063829787233,0.49314481576692376,0.0,0.0,,,,,
cont_5,15,30,IS,470,0.2,0.5106382978723404,0.09680851063829787,0.5,0.10019946802700312,16.02659574468085,16.6281914893617,0.4978723404255319,0.5096774193548387,-0.004680851063829872,0.3371276595744681,2350.0,465.0,0.5153191489361703,-0.2403191489361702,0.010638297872340385
fade_5,15,30,IS,470,0.2,0.4787234042553192,-0.09680851063829787,-0.5,-0.10019946802700312,16.6281914893617,16.02659574468085,0.5,0.49032258064516127,-0.03659574468085108,0.14351063829787233,2350.0,465.0,0.5153191489361703,-0.2403191489361702,-0.021276595744680826
cont_15,15,30,IS,470,0.2,0.551063829787234,0.33670212765957447,1.5,0.3126244346636223,15.946808510638299,15.49468085106383,0.551063829787234,0.5010660980810234,0.03574468085106375,0.5770212765957446,2350.0,469.0,0.5153191489361703,-0.2403191489361702,0.051063829787234005
fade_15,15,30,IS,470,0.2,0.4340425531914894,-0.33670212765957447,-1.5,-0.3126244346636223,15.49468085106383,15.946808510638299,0.44893617021276594,0.4989339019189765,-0.08127659574468088,-0.09638297872340426,2350.0,469.0,0.5153191489361703,-0.2403191489361702,-0.06595744680851062
UNCOND_LONG,15,45,IS,2350,1.0,0.5259574468085106,0.5318085106382979,1.25,-0.0070875710389487175,18.569787234042554,20.31744680851064,0.48808510638297875,0.49249892841834547,0.0,0.0,,,,,
