mechanism,T_offset,horizon,split,n,rate,win,mean,median,mean_z,mean_mfe,mean_mae,mfe_gt_mae,p_hit_plus_first,delta_win_vs_unc,delta_mean_vs_unc,n_base,hit_n,med_rho,med_t_mark,med_speed_ratio,unc_win,unc_mean,delta_win_vs_50
UNCOND_LONG,15,5,IS,2350,1.0,0.4765957446808511,-0.9134042553191489,-0.25,-0.09047920092526299,6.947340425531915,7.67563829787234,0.4825531914893617,0.4875066454013822,0.0,0.0,,,,,,,,
UNCOND_LONG,15,10,IS,2350,1.0,0.49319148936170215,-0.4208510638297872,0.0,-0.07713651737884515,9.402340425531914,10.762765957446808,0.4702127659574468,0.4918625678119349,0.0,0.0,,,,,,,,
UNCOND_LONG,15,15,IS,2350,1.0,0.5234042553191489,0.29138297872340424,0.75,-0.021530710826143013,11.647127659574467,12.692978723404256,0.48851063829787233,0.4917102966841187,0.0,0.0,,,,,,,,
UNCOND_LONG,15,30,IS,2350,1.0,0.5153191489361703,-0.2403191489361702,0.75,-0.08407379641497639,15.84840425531915,17.431382978723406,0.48851063829787233,0.49314481576692376,0.0,0.0,,,,,,,,
UNCOND_LONG,15,45,IS,2350,1.0,0.5259574468085106,0.5318085106382979,1.25,-0.0070875710389487175,18.569787234042554,20.31744680851064,0.48808510638297875,0.49249892841834547,0.0,0.0,,,,,,,,
UNCOND_LONG,15,60,IS,2350,1.0,0.5348936170212766,0.23606382978723403,1.5,0.011352156039699171,20.72659574468085,22.81255319148936,0.4940425531914894,0.49249892841834547,0.0,0.0,,,,,,,,
UNCOND_LONG,15,5,Validation,753,1.0,0.50199203187251,-1.2918326693227091,0.5,-0.07970653251016604,20.0929614873838,21.697875166002657,0.4847277556440903,0.48653198653198654,0.0,0.0,,,,,,,,
UNCOND_LONG,15,10,Validation,753,1.0,0.50066401062417,0.10823373173970784,0.25,-0.01767345936262734,27.10225763612218,28.426626826029217,0.4860557768924303,0.5020746887966805,0.0,0.0,,,,,,,,
UNCOND_LONG,15,15,Validation,753,1.0,0.49933598937583,-0.4867197875166003,0.0,-0.032253452966637904,34.4601593625498,35.74169986719787,0.49933598937583,0.49931787175989084,0.0,0.0,,,,,,,,
UNCOND_LONG,15,30,Validation,753,1.0,0.5179282868525896,-1.2320717131474104,2.75,-0.06674070707989907,46.51593625498008,51.19887118193891,0.4754316069057105,0.4986413043478261,0.0,0.0,,,,,,,,
UNCOND_LONG,15,45,Validation,753,1.0,0.50199203187251,-1.1859229747675963,0.25,-0.08345429826983146,54.993027888446214,59.375830013280215,0.4847277556440903,0.4986413043478261,0.0,0.0,,,,,,,,
UNCOND_LONG,15,60,Validation,753,1.0,0.5086321381142098,-1.7619521912350598,2.0,-0.1130170690685007,61.168326693227094,66.68094289508632,0.4940239043824701,0.4986413043478261,0.0,0.0,,,,,,,,
UNCOND_LONG,15,5,OOS,400,1.0,0.535,1.97,2.625,0.02065418638637972,32.43625,31.701875,0.515,0.5130434782608696,0.0,0.0,,,,,,,,
UNCOND_LONG,15,10,OOS,400,1.0,0.5125,2.27375,1.625,0.04439740746520189,44.935625,43.328125,0.5225,0.5,0.0,0.0,,,,,,,,
UNCOND_LONG,15,15,OOS,400,1.0,0.5225,0.665,4.375,-0.014538081519899852,55.27625,56.97125,0.5175,0.4987146529562982,0.0,0.0,,,,,,,,
UNCOND_LONG,15,30,OOS,400,1.0,0.5275,3.24875,5.875,0.08221881273335428,72.539375,73.725625,0.505,0.5012787723785166,0.0,0.0,,,,,,,,
UNCOND_LONG,15,45,OOS,400,1.0,0.54,2.148125,10.875,0.05234419642696108,83.3225,87.910625,0.4975,0.5,0.0,0.0,,,,,,,,
UNCOND_LONG,15,60,OOS,400,1.0,0.5525,2.198125,12.5,0.07710853793171203,91.03625,98.195,0.4925,0.4987146529562982,0.0,0.0,,,,,,,,
UNCOND_LONG,30,5,IS,2350,1.0,0.49872340425531914,-0.054787234042553194,0.0,-0.005995511745087606,6.526702127659575,7.0071276595744685,0.48595744680851066,0.48921620199894794,0.0,0.0,,,,,,,,
cont_min_15,30,5,IS,196,0.08340425531914894,0.5561224489795918,1.2308673469387754,0.75,0.21760987188699935,6.82780612244898,4.669642857142857,0.5918367346938775,0.6037735849056604,0.05739904472427271,1.2856545809813287,2350.0,159.0,0.16261362294888443,,,0.49872340425531914,-0.054787234042553194,0.056122448979591844
cont_shallow_15,30,5,IS,266,0.11319148936170213,0.4774436090225564,0.021616541353383457,-0.25,0.02690491650534985,7.31484962406015,6.484962406015038,0.5037593984962406,0.5158371040723982,-0.021279795232762744,0.07640377539593665,2350.0,221.0,0.37472466960352424,4.0,1.2375,0.49872340425531914,-0.054787234042553194,-0.022556390977443608
rev_deep_15,30,5,IS,337,0.14340425531914894,0.4896142433234421,0.21216617210682492,-0.25,-0.0371499631249306,7.491839762611276,7.362759643916914,0.49554896142433236,0.4891304347826087,-0.009109160931877025,0.2669534061493781,2350.0,276.0,0.7340425531914894,1.0,4.95,0.49872340425531914,-0.054787234042553194,-0.010385756676557889
rev_618_15,30,5,IS,230,0.09787234042553192,0.508695652173913,0.9445652173913044,0.25,0.02292190368734792,7.873913043478261,6.941304347826087,0.5173913043478261,0.5187165775401069,0.009972247918593857,0.9993524514338575,2350.0,187.0,0.8620350711645828,1.0,4.95,0.49872340425531914,-0.054787234042553194,0.008695652173912993
