split,instrument,horizon_m,feature,target,n,spearman
Discovery,es,15,surf_near_oi_gamma_abs_share,rv,7544,-0.5020618912087904
Discovery,es,15,surf_oi_gamma_m_slope,ret,7545,-0.014843556086039402
Discovery,es,15,surf_oi_gamma_m_slope,absret,7545,0.057812386414720536
Discovery,es,15,surf_oi_gamma_m_slope,rv,7544,0.08913210498320592
Discovery,es,15,surf_peak_abs_oi_gamma_dist,ret,7545,-0.002108459084247524
Discovery,es,15,surf_peak_abs_oi_gamma_dist,absret,7545,0.016141338511119655
Discovery,es,15,surf_peak_abs_oi_gamma_dist,rv,7544,0.0029674483190097575
Discovery,es,15,volg_gamma_sum,ret,7608,-0.03246060220029516
Discovery,es,15,volg_gamma_sum,absret,7608,-0.1373817577273491
Discovery,es,15,volg_gamma_sum,rv,7607,-0.2023696922671419
Discovery,es,15,volg_gamma_balance,ret,7608,-0.03246060220029516
Discovery,es,15,volg_gamma_balance,absret,7608,-0.1373817577273491
Discovery,es,15,volg_gamma_balance,rv,7607,-0.2023696922671419
Discovery,es,15,surf_iv_atm,ret,7608,-0.03154617619698703
Discovery,es,15,surf_iv_atm,absret,7608,0.3955573717159128
Discovery,es,15,surf_iv_atm,rv,7607,0.5951270822217505
Discovery,es,15,surf_iv_skew_wing,ret,7608,-0.007549151575813839
Discovery,es,15,surf_iv_skew_wing,absret,7608,0.31951075167085674
Discovery,es,15,surf_iv_skew_wing,rv,7607,0.4723812197086418
Discovery,es,15,surf_delta_oi_sum,ret,7608,0.04060466175233752
Discovery,es,15,surf_delta_oi_sum,absret,7608,-0.21519270243978272
Discovery,es,15,surf_delta_oi_sum,rv,7607,-0.36235761928705224
Discovery,es,15,surf_vega_oi_sum,ret,7608,0.028109084710254105
Discovery,es,15,surf_vega_oi_sum,absret,7608,0.061296376864329996
Discovery,es,15,surf_vega_oi_sum,rv,7607,0.11233882198352571
Discovery,es,15,d30_surf_oi_gamma_sum,ret,6536,-0.0028256938408104037
Discovery,es,15,d30_surf_oi_gamma_sum,absret,6536,0.00047530448703324524
Discovery,es,15,d30_surf_oi_gamma_sum,rv,6535,-0.0025159032677549834
Discovery,es,15,d30_surf_oi_gamma_balance,ret,6536,-0.0011427713233720246
Discovery,es,15,d30_surf_oi_gamma_balance,absret,6536,0.019174168964582208
Discovery,es,15,d30_surf_oi_gamma_balance,rv,6535,0.039286759442399365
Discovery,es,15,d30_surf_atm_oi_gamma_abs_share,ret,6480,-0.027620484751558465
Discovery,es,15,d30_surf_atm_oi_gamma_abs_share,absret,6480,0.07442851828393734
Discovery,es,15,d30_surf_atm_oi_gamma_abs_share,rv,6479,0.1159420649412766
Discovery,es,15,d30_surf_iv_atm,ret,6536,-0.03700040042814746
Discovery,es,15,d30_surf_iv_atm,absret,6536,0.0016846974930429888
Discovery,es,15,d30_surf_iv_atm,rv,6535,-0.010809740705644073
Discovery,es,15,d30_surf_iv_skew_wing,ret,6536,-0.004150679744017135
Discovery,es,15,d30_surf_iv_skew_wing,absret,6536,-0.023744563575492577
Discovery,es,15,d30_surf_iv_skew_wing,rv,6535,-0.05631484079125742
Discovery,es,15,d30_volg_gamma_sum,ret,6536,-0.031419885780239264
Discovery,es,15,d30_volg_gamma_sum,absret,6536,0.04145154531377444
Discovery,es,15,d30_volg_gamma_sum,rv,6535,0.027167999717343926
Discovery,es,30,surf_oi_gamma_sum,ret,7608,-0.012651297951098431
Discovery,es,30,surf_oi_gamma_sum,absret,7608,-0.1705742953319736
Discovery,es,30,surf_oi_gamma_sum,rv,7607,-0.2560000321550747
Discovery,es,30,surf_oi_gamma_balance,ret,7608,-0.0007234487512862976
Discovery,es,30,surf_oi_gamma_balance,absret,7608,-0.10484163804628753
Discovery,es,30,surf_oi_gamma_balance,rv,7607,-0.13951911718432267
Discovery,es,30,surf_oi_gamma_pc_asym,ret,7608,-0.07168684599048933
Discovery,es,30,surf_oi_gamma_pc_asym,absret,7608,0.1997047349969645
Discovery,es,30,surf_oi_gamma_pc_asym,rv,7607,0.3391154899165098
Discovery,es,30,surf_atm_oi_gamma_abs_share,ret,7545,-0.018223899835521615
Discovery,es,30,surf_atm_oi_gamma_abs_share,absret,7545,-0.28105721930138666
Discovery,es,30,surf_atm_oi_gamma_abs_share,rv,7544,-0.4427101667018894
Discovery,es,30,surf_near_oi_gamma_abs_share,ret,7545,-0.01169845016536277
Discovery,es,30,surf_near_oi_gamma_abs_share,absret,7545,-0.2792603352245462
Discovery,es,30,surf_near_oi_gamma_abs_share,rv,7544,-0.44196541101444603
Discovery,es,30,surf_oi_gamma_m_slope,ret,7545,-0.012158902635911361
Discovery,es,30,surf_oi_gamma_m_slope,absret,7545,0.05205285573461741
Discovery,es,30,surf_oi_gamma_m_slope,rv,7544,0.09181512363542568
Discovery,es,30,surf_peak_abs_oi_gamma_dist,ret,7545,0.0049571206040910296
Discovery,es,30,surf_peak_abs_oi_gamma_dist,absret,7545,7.733739911509116e-06
Discovery,es,30,surf_peak_abs_oi_gamma_dist,rv,7544,-0.006808657167049591
Discovery,es,30,volg_gamma_sum,ret,7608,-0.012778862151987166
Discovery,es,30,volg_gamma_sum,absret,7608,-0.09005702009357058
Discovery,es,30,volg_gamma_sum,rv,7607,-0.13902314857965212
Discovery,es,30,volg_gamma_balance,ret,7608,-0.012778862151987166
Discovery,es,30,volg_gamma_balance,absret,7608,-0.09005702009357058
Discovery,es,30,volg_gamma_balance,rv,7607,-0.13902314857965212
Discovery,es,30,surf_iv_atm,ret,7608,-0.02322302235932555
Discovery,es,30,surf_iv_atm,absret,7608,0.4120546558811494
Discovery,es,30,surf_iv_atm,rv,7607,0.6752188554712605
Discovery,es,30,surf_iv_skew_wing,ret,7608,-0.016371747545806833
Discovery,es,30,surf_iv_skew_wing,absret,7608,0.2987050790042589
Discovery,es,30,surf_iv_skew_wing,rv,7607,0.47412328485816113
Discovery,es,30,surf_delta_oi_sum,ret,7608,0.06712222592556039
Discovery,es,30,surf_delta_oi_sum,absret,7608,-0.20242587487678798
Discovery,es,30,surf_delta_oi_sum,rv,7607,-0.3571056502528795
Discovery,es,30,surf_vega_oi_sum,ret,7608,0.02487871940121455
Discovery,es,30,surf_vega_oi_sum,absret,7608,0.024052751784101
Discovery,es,30,surf_vega_oi_sum,rv,7607,0.011766300142678456
Discovery,es,30,d30_surf_oi_gamma_sum,ret,6536,-0.0015704612444291366
Discovery,es,30,d30_surf_oi_gamma_sum,absret,6536,0.006726752056231766
Discovery,es,30,d30_surf_oi_gamma_sum,rv,6535,0.029975789183524722
Discovery,es,30,d30_surf_oi_gamma_balance,ret,6536,0.00958532533493086
Discovery,es,30,d30_surf_oi_gamma_balance,absret,6536,0.0173339750733886
Discovery,es,30,d30_surf_oi_gamma_balance,rv,6535,0.04719648000527288
Discovery,es,30,d30_surf_atm_oi_gamma_abs_share,ret,6480,-0.04065613242864233
Discovery,es,30,d30_surf_atm_oi_gamma_abs_share,absret,6480,0.08906635351737338
Discovery,es,30,d30_surf_atm_oi_gamma_abs_share,rv,6479,0.1682701896858365
Discovery,es,30,d30_surf_iv_atm,ret,6536,-0.03646904144659309
Discovery,es,30,d30_surf_iv_atm,absret,6536,0.04609855725617603
Discovery,es,30,d30_surf_iv_atm,rv,6535,0.053492958477826105
Discovery,es,30,d30_surf_iv_skew_wing,ret,6536,-0.006936636430469434
Discovery,es,30,d30_surf_iv_skew_wing,absret,6536,-0.03843978106179994
Discovery,es,30,d30_surf_iv_skew_wing,rv,6535,-0.07958802677470099
Discovery,es,30,d30_volg_gamma_sum,ret,6536,-0.02739856120848591
Discovery,es,30,d30_volg_gamma_sum,absret,6536,0.054936111341345906
Discovery,es,30,d30_volg_gamma_sum,rv,6535,0.08630061233495728
Discovery,es,60,surf_oi_gamma_sum,ret,7608,0.0042752764461682635
Discovery,es,60,surf_oi_gamma_sum,absret,7608,-0.16809430364033562
Discovery,es,60,surf_oi_gamma_sum,rv,7607,-0.25593321194634916
Discovery,es,60,surf_oi_gamma_balance,ret,7608,0.007774081424280013
Discovery,es,60,surf_oi_gamma_balance,absret,7608,-0.09160172075769764
Discovery,es,60,surf_oi_gamma_balance,rv,7607,-0.13784034491683245
Discovery,es,60,surf_oi_gamma_pc_asym,ret,7608,-0.10457991213841411
Discovery,es,60,surf_oi_gamma_pc_asym,absret,7608,0.21095056535500337
Discovery,es,60,surf_oi_gamma_pc_asym,rv,7607,0.3460398892832147
Discovery,es,60,surf_atm_oi_gamma_abs_share,ret,7545,0.0039779160020401725
Discovery,es,60,surf_atm_oi_gamma_abs_share,absret,7545,-0.28240067210473924
Discovery,es,60,surf_atm_oi_gamma_abs_share,rv,7544,-0.4426120324981742
Discovery,es,60,surf_near_oi_gamma_abs_share,ret,7545,0.005132828667893582
Discovery,es,60,surf_near_oi_gamma_abs_share,absret,7545,-0.2840664038418867
Discovery,es,60,surf_near_oi_gamma_abs_share,rv,7544,-0.4400046977530891
Discovery,es,60,surf_oi_gamma_m_slope,ret,7545,-0.02727121174784048
Discovery,es,60,surf_oi_gamma_m_slope,absret,7545,0.04691680916527372
Discovery,es,60,surf_oi_gamma_m_slope,rv,7544,0.09096176218813852
Discovery,es,60,surf_peak_abs_oi_gamma_dist,ret,7545,-0.0026791158791832125
Discovery,es,60,surf_peak_abs_oi_gamma_dist,absret,7545,-0.00916142592364906
Discovery,es,60,surf_peak_abs_oi_gamma_dist,rv,7544,-0.01049473915828475
Discovery,es,60,volg_gamma_sum,ret,7608,-0.001353234672769635
Discovery,es,60,volg_gamma_sum,absret,7608,-0.09646945469886463
Discovery,es,60,volg_gamma_sum,rv,7607,-0.15153384054687596
Discovery,es,60,volg_gamma_balance,ret,7608,-0.001353234672769635
Discovery,es,60,volg_gamma_balance,absret,7608,-0.09646945469886463
Discovery,es,60,volg_gamma_balance,rv,7607,-0.15153384054687596
Discovery,es,60,surf_iv_atm,ret,7608,-0.03113564777368125
Discovery,es,60,surf_iv_atm,absret,7608,0.4280241059625526
Discovery,es,60,surf_iv_atm,rv,7607,0.7057783922776127
Discovery,es,60,surf_iv_skew_wing,ret,7608,-0.031561042337226286
Discovery,es,60,surf_iv_skew_wing,absret,7608,0.3140440479157601
Discovery,es,60,surf_iv_skew_wing,rv,7607,0.49488937702677593
Discovery,es,60,surf_delta_oi_sum,ret,7608,0.09168056296745979
Discovery,es,60,surf_delta_oi_sum,absret,7608,-0.2203765157024722
Discovery,es,60,surf_delta_oi_sum,rv,7607,-0.3645146290572796
Discovery,es,60,surf_vega_oi_sum,ret,7608,0.02227871344681432
Discovery,es,60,surf_vega_oi_sum,absret,7608,0.010578692592246043
Discovery,es,60,surf_vega_oi_sum,rv,7607,-0.00882505037795527
Discovery,es,60,d30_surf_oi_gamma_sum,ret,6536,-0.012292755857968274
Discovery,es,60,d30_surf_oi_gamma_sum,absret,6536,0.018051710432728213
Discovery,es,60,d30_surf_oi_gamma_sum,rv,6535,0.03442507141329283
