protocol,placebo,instrument,horizon_m,target,model,n_train,n_test,r2_A,r2_ext,delta_r2,n_feat_A,n_feat_ext
fit_Discovery_score_Validation,shift_fwd_2,nq,15,rv,atm_share_only,5953,4058,0.5797272042541491,0.5800801023386551,0.0003528980845060037,6,7
fit_Discovery_score_Validation,shift_fwd_2,nq,15,rv,B_oi_gamma,5953,4058,0.5797272042541491,0.578232403270041,-0.0014948009841081467,6,15
fit_Discovery_score_Validation,shift_fwd_2,nq,30,rv,atm_share_only,5953,4058,0.6510859405770306,0.6509374119385629,-0.00014852863846770425,6,7
fit_Discovery_score_Validation,shift_fwd_2,nq,30,rv,B_oi_gamma,5953,4058,0.6510859405770306,0.6502779866384432,-0.0008079539385874579,6,15
fit_Discovery_score_Validation,shift_fwd_2,nq,60,rv,atm_share_only,5953,4058,0.6156705032676899,0.6158325319194264,0.00016202865173653436,6,7
fit_Discovery_score_Validation,shift_fwd_2,nq,60,rv,B_oi_gamma,5953,4058,0.6156705032676899,0.6152286086117299,-0.00044189465596000677,6,15
fit_Discovery_score_Validation,shift_back_1,es,15,rv,atm_share_only,6479,4409,0.5288581294751311,0.5287877853073903,-7.034416774076568e-05,6,7
fit_Discovery_score_Validation,shift_back_1,es,15,rv,B_oi_gamma,5899,4032,0.5134849707835567,0.5136899238555513,0.0002049530719946402,6,15
fit_Discovery_score_Validation,shift_back_1,es,30,rv,atm_share_only,6479,4409,0.5769970384407233,0.5775330240348464,0.0005359855941231562,6,7
fit_Discovery_score_Validation,shift_back_1,es,30,rv,B_oi_gamma,5899,4032,0.5668084880488257,0.569635822969579,0.002827334920753377,6,15
fit_Discovery_score_Validation,shift_back_1,es,60,rv,atm_share_only,6479,4409,0.5358400207683751,0.536018747364541,0.00017872659616591235,6,7
fit_Discovery_score_Validation,shift_back_1,es,60,rv,B_oi_gamma,5899,4032,0.5233668684440393,0.5252262491661118,0.001859380722072479,6,15
fit_Discovery_score_Validation,shift_back_1,nq,15,rv,atm_share_only,6479,4409,0.5008516908499112,0.5021245814667563,0.0012728906168451015,6,7
fit_Discovery_score_Validation,shift_back_1,nq,15,rv,B_oi_gamma,5899,4032,0.473672953130142,0.4751340202962758,0.0014610671661338115,6,15
fit_Discovery_score_Validation,shift_back_1,nq,30,rv,atm_share_only,6479,4409,0.5699059446956347,0.5700982453888588,0.00019230069322406784,6,7
fit_Discovery_score_Validation,shift_back_1,nq,30,rv,B_oi_gamma,5899,4032,0.5491479656956039,0.5500316255675748,0.000883659871970921,6,15
