protocol,year,instrument,horizon_m,target,model,n_train,n_test,r2_A,r2_ext,delta_r2,n_feat_A,n_feat_ext
loo_Discovery_year,2018,es,60,rv,B_oi_gamma,5326,1153,0.7809407965510609,0.7846321481561143,0.0036913516050534056,6,15
loo_Discovery_year,2019,es,60,rv,atm_share_only,6097,1447,0.43981213551035625,0.44946419659415726,0.009652061083801011,6,7
loo_Discovery_year,2019,es,60,rv,B_oi_gamma,5234,1245,0.4608130986070046,0.46450645922359746,0.0036933606165928667,6,15
loo_Discovery_year,2020,es,60,rv,atm_share_only,6084,1460,0.8064098598630896,0.7989468686561991,-0.007462991206890424,6,7
loo_Discovery_year,2020,es,60,rv,B_oi_gamma,5223,1256,0.8335961922162803,0.8300043812398414,-0.003591810976438903,6,15
loo_Discovery_year,2021,es,60,rv,atm_share_only,6087,1457,0.6500372604742395,0.6721701942316393,0.022132933757399775,6,7
loo_Discovery_year,2021,es,60,rv,B_oi_gamma,5227,1252,0.6702875507468183,0.6854230753575583,0.01513552461073997,6,15
fit_Discovery_score_year,2022,es,60,rv,atm_share_only,7544,2227,0.4609164520217933,0.4714441723744104,0.010527720352617065,6,7
fit_Discovery_score_year,2022,es,60,rv,B_oi_gamma,6479,2022,0.42580053801774076,0.457002302711603,0.031201764693862266,6,15
fit_Discovery_score_year,2023,es,60,rv,atm_share_only,7544,2590,0.4680140522687265,0.47905783473835517,0.011043782469628671,6,7
fit_Discovery_score_year,2023,es,60,rv,B_oi_gamma,6479,2387,0.42846389670815654,0.47054639588336566,0.04208249917520912,6,15
fit_Discovery_score_year,2024,es,60,rv,atm_share_only,7544,870,0.34688135637797335,0.36558310447282283,0.01870174809484948,6,7
fit_Discovery_score_year,2024,es,60,rv,B_oi_gamma,6479,802,0.3201308139613904,0.35607842458730143,0.03594761062591101,6,15
loo_Discovery_year,2016,nq,15,rv,atm_share_only,7126,418,0.6521777786011052,0.6525672821441869,0.0003895035430817595,6,7
loo_Discovery_year,2016,nq,15,rv,B_oi_gamma,6125,354,0.702898054416006,0.6951321506412145,-0.007765903774791472,6,15
loo_Discovery_year,2017,nq,15,rv,atm_share_only,6126,1418,0.5584832732132479,0.5586767270717228,0.00019345385847491237,6,7
loo_Discovery_year,2017,nq,15,rv,B_oi_gamma,5260,1219,0.5470716351242092,0.5301660813786895,-0.01690555374551972,6,15
loo_Discovery_year,2018,nq,15,rv,atm_share_only,6200,1344,0.7424286279505448,0.7419029065414661,-0.0005257214090786944,6,7
loo_Discovery_year,2018,nq,15,rv,B_oi_gamma,5326,1153,0.7641072909459047,0.7647777693224491,0.0006704783765444366,6,15
loo_Discovery_year,2019,nq,15,rv,atm_share_only,6097,1447,0.4038884987488587,0.4016867522120977,-0.0022017465367609734,6,7
loo_Discovery_year,2019,nq,15,rv,B_oi_gamma,5234,1245,0.4452469233770221,0.43903358999574915,-0.006213333381272945,6,15
loo_Discovery_year,2020,nq,15,rv,atm_share_only,6084,1460,0.7250023438646933,0.7244805019350309,-0.0005218419296624255,6,7
loo_Discovery_year,2020,nq,15,rv,B_oi_gamma,5223,1256,0.7515546949113547,0.7484403856023923,-0.003114309308962393,6,15
loo_Discovery_year,2021,nq,15,rv,atm_share_only,6087,1457,0.6614144053663824,0.6612320588266585,-0.0001823465397239321,6,7
loo_Discovery_year,2021,nq,15,rv,B_oi_gamma,5227,1252,0.6808244855195236,0.6806126703386737,-0.0002118151808498947,6,15
fit_Discovery_score_year,2022,nq,15,rv,atm_share_only,7544,2227,0.4481458081152738,0.4478742308711424,-0.0002715772441314046,6,7
fit_Discovery_score_year,2022,nq,15,rv,B_oi_gamma,6479,2022,0.41862360282047395,0.42260459188950117,0.003980989069027219,6,15
fit_Discovery_score_year,2023,nq,15,rv,atm_share_only,7544,2590,0.44336443842276074,0.4432892201858156,-7.52182369451182e-05,6,7
fit_Discovery_score_year,2023,nq,15,rv,B_oi_gamma,6479,2387,0.39472933440406077,0.3972488057653616,0.002519471361300818,6,15
fit_Discovery_score_year,2024,nq,15,rv,atm_share_only,7544,870,0.2999543177151939,0.29895346589808247,-0.0010008518171114034,6,7
fit_Discovery_score_year,2024,nq,15,rv,B_oi_gamma,6479,802,0.25354589953280815,0.2525928798190502,-0.000953019713757941,6,15
loo_Discovery_year,2016,nq,30,rv,atm_share_only,7126,418,0.6545921603888114,0.6672980577188572,0.01270589733004579,6,7
loo_Discovery_year,2016,nq,30,rv,B_oi_gamma,6125,354,0.7307152475855374,0.7220699948990628,-0.008645252686474647,6,15
loo_Discovery_year,2017,nq,30,rv,atm_share_only,6126,1418,0.604883935484839,0.6073667610514376,0.002482825566598623,6,7
loo_Discovery_year,2017,nq,30,rv,B_oi_gamma,5260,1219,0.6013823467698876,0.6025733430374177,0.0011909962675301644,6,15
loo_Discovery_year,2018,nq,30,rv,atm_share_only,6200,1344,0.7558214525509244,0.7566330949483525,0.0008116423974281473,6,7
loo_Discovery_year,2018,nq,30,rv,B_oi_gamma,5326,1153,0.7913326494024058,0.8000872666618638,0.00875461725945803,6,15
loo_Discovery_year,2019,nq,30,rv,atm_share_only,6097,1447,0.4538201921859101,0.45543449944746506,0.0016143072615549814,6,7
loo_Discovery_year,2019,nq,30,rv,B_oi_gamma,5234,1245,0.4792534436791913,0.46637228621141724,-0.012881157467774074,6,15
loo_Discovery_year,2020,nq,30,rv,atm_share_only,6084,1460,0.749088132130137,0.7349481827424582,-0.014139949387678818,6,7
loo_Discovery_year,2020,nq,30,rv,B_oi_gamma,5223,1256,0.7855814521630589,0.7896747816594236,0.0040933294963647615,6,15
loo_Discovery_year,2021,nq,30,rv,atm_share_only,6087,1457,0.6924568949697121,0.7085851459358946,0.016128250966182534,6,7
loo_Discovery_year,2021,nq,30,rv,B_oi_gamma,5227,1252,0.7100126130590239,0.7247626178766995,0.014750004817675633,6,15
fit_Discovery_score_year,2022,nq,30,rv,atm_share_only,7544,2227,0.5186771365205608,0.5227100187535438,0.004032882232983037,6,7
fit_Discovery_score_year,2022,nq,30,rv,B_oi_gamma,6479,2022,0.486680591484025,0.5056104189497554,0.018929827465730464,6,15
fit_Discovery_score_year,2023,nq,30,rv,atm_share_only,7544,2590,0.5072607716271065,0.5128818946386327,0.0056211230115261746,6,7
fit_Discovery_score_year,2023,nq,30,rv,B_oi_gamma,6479,2387,0.45851383772982157,0.47661504756868656,0.018101209838864984,6,15
fit_Discovery_score_year,2024,nq,30,rv,atm_share_only,7544,870,0.3278392641446152,0.3267796236801441,-0.0010596404644710455,6,7
