protocol,train,test,instrument,horizon_m,target,model,n_train,n_test,r2_A,r2_ext,delta_r2,n_feat_A,n_feat_ext
fit_Discovery_score_Validation,Discovery,Validation,es,15,ret,family_iv_vs_no_iv,7608,4817,0.001806046748851986,-0.0005643172237219662,-0.0023703639725739523,5,6
fit_Discovery_score_Validation,Discovery,Validation,es,30,rv,B_oi_gamma,6479,4409,0.5769970384407233,0.6101278500925831,0.033130811651859826,6,15
fit_Discovery_score_Validation,Discovery,Validation,es,30,rv,C_volg_skew,6479,4409,0.5769970384407233,0.582556759910998,0.0055597214702747255,6,13
fit_Discovery_score_Validation,Discovery,Validation,es,30,rv,atm_share_only,7544,4817,0.598407511848227,0.6121929349759474,0.013785423127720353,6,7
fit_Discovery_score_Validation,Discovery,Validation,es,30,rv,family_volg,6535,4409,0.5787951130513243,0.5954459726479181,0.016650859596593848,6,9
fit_Discovery_score_Validation,Discovery,Validation,es,30,rv,family_skew,6479,4409,0.5769970384407233,0.5655548464759048,-0.011442191964818438,6,10
fit_Discovery_score_Validation,Discovery,Validation,es,30,rv,family_iv_vs_no_iv,7607,4817,0.5807298421299626,0.6004263092996718,0.019696467169709186,5,6
fit_Discovery_score_Validation,Discovery,Validation,es,30,absret,B_oi_gamma,6480,4409,0.19365846199907533,0.2017862538591778,0.008127791860102485,6,15
fit_Discovery_score_Validation,Discovery,Validation,es,30,absret,C_volg_skew,6480,4409,0.19365846199907533,0.19872357476908475,0.005065112770009428,6,13
fit_Discovery_score_Validation,Discovery,Validation,es,30,absret,atm_share_only,7545,4817,0.19535061724011538,0.1964474778990073,0.0010968606588919183,6,7
fit_Discovery_score_Validation,Discovery,Validation,es,30,absret,family_volg,6536,4409,0.19473603980956233,0.20344059171245166,0.008704551902889324,6,9
fit_Discovery_score_Validation,Discovery,Validation,es,30,absret,family_skew,6480,4409,0.19365846199907533,0.19041130458998368,-0.00324715740909165,6,10
fit_Discovery_score_Validation,Discovery,Validation,es,30,absret,family_iv_vs_no_iv,7608,4817,0.18960104754197182,0.19644237832341938,0.006841330781447552,5,6
fit_Discovery_score_Validation,Discovery,Validation,es,30,ret,B_oi_gamma,6480,4409,-0.00012731054308789957,0.0013350693283828985,0.001462379871470798,6,15
fit_Discovery_score_Validation,Discovery,Validation,es,30,ret,C_volg_skew,6480,4409,-0.00012731054308789957,-0.006385043228836373,-0.006257732685748474,6,13
fit_Discovery_score_Validation,Discovery,Validation,es,30,ret,atm_share_only,7545,4817,-0.0017545615307816842,-0.0006999708688120165,0.0010545906619696677,6,7
fit_Discovery_score_Validation,Discovery,Validation,es,30,ret,family_volg,6536,4409,-7.174993441938504e-05,-0.0021109410181558985,-0.0020391910837365135,6,9
fit_Discovery_score_Validation,Discovery,Validation,es,30,ret,family_skew,6480,4409,-0.00012731054308789957,-0.0027366712275118665,-0.002609360684423967,6,10
fit_Discovery_score_Validation,Discovery,Validation,es,30,ret,family_iv_vs_no_iv,7608,4817,-0.002363129763906624,-0.0014570255381944897,0.0009061042257121343,5,6
fit_Discovery_score_Validation,Discovery,Validation,es,60,rv,B_oi_gamma,6479,4409,0.5358400207683751,0.5638007115608221,0.027960690792447007,6,15
fit_Discovery_score_Validation,Discovery,Validation,es,60,rv,C_volg_skew,6479,4409,0.5358400207683751,0.5384837440242716,0.0026437232558964574,6,13
fit_Discovery_score_Validation,Discovery,Validation,es,60,rv,atm_share_only,7544,4817,0.5635261846674116,0.5722134081065596,0.008687223439148073,6,7
fit_Discovery_score_Validation,Discovery,Validation,es,60,rv,family_volg,6535,4409,0.5377287451862821,0.5505289757357361,0.012800230549454006,6,9
fit_Discovery_score_Validation,Discovery,Validation,es,60,rv,family_skew,6479,4409,0.5358400207683751,0.5261245250854052,-0.009715495682969921,6,10
fit_Discovery_score_Validation,Discovery,Validation,es,60,rv,family_iv_vs_no_iv,7607,4817,0.5348956094288138,0.5657115719636392,0.030815962534825436,5,6
fit_Discovery_score_Validation,Discovery,Validation,es,60,absret,B_oi_gamma,6480,4409,0.1764663149813882,0.18142231447563928,0.004955999494251073,6,15
fit_Discovery_score_Validation,Discovery,Validation,es,60,absret,C_volg_skew,6480,4409,0.1764663149813882,0.18132485314066105,0.0048585381592728405,6,13
fit_Discovery_score_Validation,Discovery,Validation,es,60,absret,atm_share_only,7545,4817,0.16721717987266027,0.16754808102320906,0.0003309011505487902,6,7
fit_Discovery_score_Validation,Discovery,Validation,es,60,absret,family_volg,6536,4409,0.176231962377272,0.18003324091630246,0.0038012785390304504,6,9
fit_Discovery_score_Validation,Discovery,Validation,es,60,absret,family_skew,6480,4409,0.1764663149813882,0.17697218974174356,0.0005058747603553515,6,10
fit_Discovery_score_Validation,Discovery,Validation,es,60,absret,family_iv_vs_no_iv,7608,4817,0.15655684010700044,0.1670723925597093,0.010515552452708854,5,6
fit_Discovery_score_Validation,Discovery,Validation,es,60,ret,B_oi_gamma,6480,4409,-0.002209492505694355,5.824243888552516e-05,0.00226773494457988,6,15
fit_Discovery_score_Validation,Discovery,Validation,es,60,ret,C_volg_skew,6480,4409,-0.002209492505694355,-0.012347266448243577,-0.010137773942549222,6,13
fit_Discovery_score_Validation,Discovery,Validation,es,60,ret,atm_share_only,7545,4817,-0.0006808974042491478,-0.0006898594622446463,-8.96205799549854e-06,6,7
fit_Discovery_score_Validation,Discovery,Validation,es,60,ret,family_volg,6536,4409,-0.00291945115099157,-0.0032864331652342482,-0.0003669820142426783,6,9
fit_Discovery_score_Validation,Discovery,Validation,es,60,ret,family_skew,6480,4409,-0.002209492505694355,-0.005808958260063779,-0.003599465754369424,6,10
fit_Discovery_score_Validation,Discovery,Validation,es,60,ret,family_iv_vs_no_iv,7608,4817,-0.0022016502336172916,-0.0010272906037127605,0.0011743596299045311,5,6
fit_Discovery_score_Validation,Discovery,Validation,es,120,rv,B_oi_gamma,6479,4409,0.48159825761253205,0.5028590008005781,0.02126074318804605,6,15
fit_Discovery_score_Validation,Discovery,Validation,es,120,rv,C_volg_skew,6479,4409,0.48159825761253205,0.4880622576350956,0.006464000022563532,6,13
fit_Discovery_score_Validation,Discovery,Validation,es,120,rv,atm_share_only,7544,4817,0.5094982169349236,0.5101972608048198,0.0006990438698961654,6,7
fit_Discovery_score_Validation,Discovery,Validation,es,120,rv,family_volg,6535,4409,0.48358441564629673,0.49453222383410267,0.01094780818780594,6,9
fit_Discovery_score_Validation,Discovery,Validation,es,120,rv,family_skew,6479,4409,0.48159825761253205,0.47847871258314345,-0.003119545029388604,6,10
fit_Discovery_score_Validation,Discovery,Validation,es,120,rv,family_iv_vs_no_iv,7607,4817,0.4693361295849394,0.5117722018527373,0.042436072267797886,5,6
fit_Discovery_score_Validation,Discovery,Validation,es,120,absret,B_oi_gamma,6480,4409,0.15727946560688222,0.1666958538685107,0.009416388261628494,6,15
fit_Discovery_score_Validation,Discovery,Validation,es,120,absret,C_volg_skew,6480,4409,0.15727946560688222,0.17290822641877535,0.015628760811893128,6,13
fit_Discovery_score_Validation,Discovery,Validation,es,120,absret,atm_share_only,7545,4817,0.15156622675068498,0.15210882166169126,0.0005425949110062778,6,7
fit_Discovery_score_Validation,Discovery,Validation,es,120,absret,family_volg,6536,4409,0.15798389982909156,0.16377604974204407,0.005792149912952516,6,9
fit_Discovery_score_Validation,Discovery,Validation,es,120,absret,family_skew,6480,4409,0.15727946560688222,0.16595070546853907,0.008671239861656854,6,10
fit_Discovery_score_Validation,Discovery,Validation,es,120,absret,family_iv_vs_no_iv,7608,4817,0.13810359776921477,0.15214449935599939,0.014040901586784615,5,6
fit_Discovery_score_Validation,Discovery,Validation,es,120,ret,B_oi_gamma,6480,4409,-0.0001707263768262468,0.0065330762266716524,0.006703802603497899,6,15
fit_Discovery_score_Validation,Discovery,Validation,es,120,ret,C_volg_skew,6480,4409,-0.0001707263768262468,-0.008313139406150638,-0.008142413029324391,6,13
fit_Discovery_score_Validation,Discovery,Validation,es,120,ret,atm_share_only,7545,4817,0.0007311269047121094,0.0015881698465305405,0.0008570429418184311,6,7
fit_Discovery_score_Validation,Discovery,Validation,es,120,ret,family_volg,6536,4409,-0.0006552185451693671,-0.00011338767826440943,0.0005418308669049576,6,9
fit_Discovery_score_Validation,Discovery,Validation,es,120,ret,family_skew,6480,4409,-0.0001707263768262468,-0.0029899537292674694,-0.0028192273524412226,6,10
fit_Discovery_score_Validation,Discovery,Validation,es,120,ret,family_iv_vs_no_iv,7608,4817,-0.001652786403276929,0.0004212250381174787,0.0020740114413944077,5,6
fit_Discovery_score_Validation,Discovery,Validation,nq,5,rv,B_oi_gamma,6479,4409,0.3186854015363536,0.31682300455349166,-0.0018623969828619469,6,15
fit_Discovery_score_Validation,Discovery,Validation,nq,5,rv,C_volg_skew,6479,4409,0.3186854015363536,0.3120398084375836,-0.006645593098769997,6,13
fit_Discovery_score_Validation,Discovery,Validation,nq,5,rv,atm_share_only,7544,4817,0.3413749801462662,0.34246009369017305,0.001085113543906835,6,7
fit_Discovery_score_Validation,Discovery,Validation,nq,5,rv,family_volg,6535,4409,0.3185584296267526,0.31357954027433943,-0.004978889352413196,6,9
fit_Discovery_score_Validation,Discovery,Validation,nq,5,rv,family_skew,6479,4409,0.3186854015363536,0.31571784035732176,-0.0029675611790318523,6,10
fit_Discovery_score_Validation,Discovery,Validation,nq,5,rv,family_iv_vs_no_iv,7607,4817,0.3337775788882592,0.34145926870325805,0.007681689814998838,5,6
