contrast,split,horizon,n_C,n_A,p_C,p_A,delta,p_value
C_vs_A,IS,8,10,7386,0.7,0.19144327105334416,0.5085567289466558,0.0006625535325074586
C_vs_A,IS,16,10,7386,0.7,0.30354725155699974,0.3964527484430002,0.011428316000306495
C_vs_A,IS,32,10,7386,0.7,0.4406986190089358,0.25930138099106415,0.11821134353047924
C_vs_A,Validation,8,6,3768,0.5,0.22558386411889597,0.27441613588110403,0.1332264744424849
C_vs_A,Validation,16,6,3768,0.6666666666666666,0.33784501061571126,0.32882165605095537,0.18872563010069812
C_vs_A,Validation,32,6,3768,0.6666666666666666,0.4835456475583864,0.18312101910828021,0.4388941682347781
C_vs_A,OOS,8,4,1918,0.75,0.18091762252346194,0.5690823774765381,0.020732739493629554
C_vs_A,OOS,16,4,1918,0.75,0.28884254431699685,0.46115745568300315,0.07598527542644576
C_vs_A,OOS,32,4,1917,0.75,0.4460093896713615,0.3039906103286385,0.3303105645608629
